concept,n_cognates,starts,ends
above,73,1,74
again,80,75,155
all,79,156,235
and,60,236,296
ankle,83,297,380
ant,94,381,475
armpit,76,476,552
ashes,104,553,657
back,113,658,771
bad,131,772,903
belly,129,904,1033
below,100,1034,1134
big,162,1135,1297
bird,92,1298,1390
bite,57,1391,1448
black,99,1449,1548
blood,96,1549,1645
blow,64,1646,1710
blowfly,85,1711,1796
pimple,93,1797,1890
bone,104,1891,1995
boomerang,76,1996,2072
breast,84,2073,2157
burn,88,2158,2246
child,155,2247,2402
climb,76,2403,2479
cloud,134,2480,2614
cold,132,2615,2747
come,119,2748,2867
cook,81,2868,2949
true,80,2950,3030
cry,69,3031,3100
cut,101,3101,3202
sun,121,3203,3324
die,115,3325,3440
dig,74,3441,3515
digging_stick,66,3516,3582
dingo,103,3583,3686
dirty,93,3687,3780
dog,93,3781,3874
dream,62,3875,3937
drink,114,3938,4052
dry,93,4053,4146
blunt,90,4147,4237
dust,82,4238,4320
ear,71,4321,4392
earth,101,4393,4494
eat,84,4495,4579
egg,87,4580,4667
eye,52,4668,4720
faeces,49,4721,4770
fall,97,4771,4868
far,86,4869,4955
fat_,114,4956,5070
father,83,5071,5154
fear,111,5155,5266
feather,97,5267,5364
fire,84,5365,5449
fish,98,5450,5548
fog,76,5549,5625
foot,53,5626,5679
good,149,5680,5829
grass,109,5830,5939
grow,80,5940,6020
hair_of_head,140,6021,6161
hand,56,6162,6218
3sg,63,6219,6282
head,97,6283,6380
hear,85,6381,6466
heavy,101,6467,6568
hide,93,6569,6662
hit,89,6663,6752
hold,84,6753,6837
how?,53,6838,6891
1sg,43,6892,6935
inside,91,6936,7027
intestines,141,7028,7169
itch,82,7170,7252
kangaroo,135,7253,7388
kill,90,7389,7479
know,85,7480,7565
laugh,78,7566,7644
leaf,92,7645,7737
left,61,7738,7799
leg,93,7800,7893
lie_down,111,7894,8005
lightning,133,8006,8139
be_alive,69,8140,8209
liver,59,8210,8269
long,129,8270,8399
louse,75,8400,8475
lung,92,8476,8568
man,114,8569,8683
meat,97,8684,8781
moon,113,8782,8895
mosquito,116,8896,9012
mother,93,9013,9106
mouth,86,9107,9193
name,65,9194,9259
nape,80,9260,9340
near,123,9341,9464
neck,105,9465,9570
new,68,9571,9639
night,134,9640,9774
no/not,118,9775,9893
nose,62,9894,9956
old,142,9957,10099
one,108,10100,10208
open,80,10209,10289
other,92,10290,10382
person,124,10383,10507
rain,150,10508,10658
red,130,10659,10789
right,87,10790,10877
road,93,10878,10971
root,82,10972,11054
rope,75,11055,11130
rotten,63,11131,11194
sand,136,11195,11331
say,80,11332,11412
scratch,90,11413,11503
see,77,11504,11581
sharp,85,11582,11667
short,114,11668,11782
shoulder,114,11783,11897
ashamed,52,11898,11950
sit,95,11951,12046
skin,138,12047,12185
sky,95,12186,12281
sleep,141,12282,12423
small,163,12424,12587
smoke,114,12588,12702
snake,145,12703,12848
smell_,72,12849,12921
spear,139,12922,13061
spearthrower,100,13062,13162
spider,72,13163,13235
spit,76,13236,13312
split,92,13313,13405
stab,64,13406,13470
stand,56,13471,13527
star,136,13528,13664
steal,78,13665,13743
tree,114,13744,13858
stone,111,13859,13970
suck,67,13971,14038
sweat,96,14039,14135
swell,63,14136,14199
swim,122,14200,14322
tail,87,14323,14410
that,94,14411,14505
3pl,52,14506,14558
thin,105,14559,14664
think,83,14665,14748
this,99,14749,14848
2sg,41,14849,14890
three,134,14891,15025
throat,102,15026,15128
throw,107,15129,15236
thunder,140,15237,15377
tie_up,77,15378,15455
tongue,61,15456,15517
tooth,73,15518,15591
turn,77,15592,15669
two,56,15670,15726
vomit,74,15727,15801
walk,105,15802,15907
water,80,15908,15988
1pl.excl,41,15989,16030
1pl.incl,37,16031,16068
wet,112,16069,16181
what?,44,16182,16226
when?,57,16227,16284
where?,54,16285,16339
white,116,16340,16456
who?,40,16457,16497
wife,122,16498,16620
wind,135,16621,16756
wing,69,16757,16826
woman,166,16827,16993
yellow,62,16994,17056
2pl,39,17057,17096
sick,126,17097,17223
beard,52,17224,17276
elbow,79,17277,17356
urine,51,17357,17408
penis,79,17409,17488
thigh,84,17489,17573
knee,54,17574,17628
older_brother,77,17629,17706
older_sister,81,17707,17788
fathers_father,53,17789,17842
fathers_mother,44,17843,17887
mothers_father,42,17888,17930
mothers_mother,44,17931,17975
camp,90,17976,18066
hill,111,18067,18178
hungry,128,18179,18307
fathers_sister,73,18308,18381
mothers_brother,56,18382,18438
