fid,Name
1,Galaagu
2,Ngatyumaya
3,Ngarinyin
4,Worla
5,Yapurarra
6,Andajin
7,Ngarlawangga
8,Ngarluma
9,Martuthunira
10,Nhuwala
11,Palyku
12,Panyjima
13,Kurrama
14,Nyamal
15,Kariyarra
16,Jurruru
17,Wanamara
18,Mangala
19,Mayi
20,Ngawun
21,Mayi
22,Mayi
23,Ayapathu
24,Mayi
25,Kuuku Yani
27,Kuuku
29,Kugu Nhanhcara
30,Kaanju
31,Wik Mungkan
33,Badjiri
34,Wadjabangayi
35,Gungabula
36,Gunggari
37,Bidjara
38,Yiningay
39,Guwamu
40,Gunya
41,Muruwari
42,Margany
43,Ritharrngu
44,Nganyaywana
45,Goreng
46,Minang
47,Nyunga
48,Wudjari
49,Danggali
50,Barundji
51,Barindji
52,Kurnu
53,Wilyagali
54,Southern Paakantyi
55,Flinders Island
56,Guugu
57,Mbabaram
58,Barrow Point
60,Kuku Thaypan
61,Ngalakgan
63,Mandandanji
64,Rembarrnga
65,Mbeiwum
66,Yatay
67,Umpila
68,Yinwum
69,Yadhaykenu
70,Linngithigh
71,Luthigh
72,Anguthimri
73,Aritinngithigh
74,Muthanthi
75,Uradhi
76,Yupngayth
77,Ndra'ngith
78,Alngith
79,Bandjigali
80,Malak Malak
81,Kukatja
82,Yulparija
83,Nyaki Nyaki
84,Nganakarti
85,Balardung
86,Wajuk
87,Kukatj
88,Amangu
89,Wuthathi
90,Mpalityan
91,Mpakwithi
92,Atampaya
93,Angkamuthi
94,Awngthim
95,Gudang
96,Luthigh
97,Duungidjawu
98,WakaWaka
99,Guweng
100,Batyala
101,GoorengGooreng
102,Gubbi Gubbi
103,Yangman
104,Wardaman
105,Warluwarra
106,Dagoman
107,Bularnu
108,Yanyuwa
109,Yindjilandji
110,Wakaya
111,Warumungu
113,Wirangu
114,Guyani
115,Guwar
116,Nunukal
117,Yagara
119,Turrbul
120,Janday
121,Umbugarla
122,Ngaduk
123,Ngomburr
124,Bukurnidja
125,Wuli Wuli
126,Gonbudj
127,Bayali
128,Barunggam
129,Pinjarup
130,Wiilman
131,Wardandi
132,Bibbulman
133,Lardil
134,Kaniyang
135,Kayardild
136,Yukulta
137,Ngadjuri
138,Minkin
139,Parnkala
140,Nauo
141,Adnyamathanha
142,Nukunu
143,Narrungga
144,Kaurna
146,Wagaman
148,Mbara
149,Ngan'gityemerri
150,Murrinh
151,Kuthant
152,Mirning
153,Kurtjar
154,Uw
155,Koknar
158,Koko Bera
160,Yir Yoront
161,Malyangapa
162,Kuku Yalanji
163,Wadikali
164,Yardliyawarra
165,Yidiny
166,Djabugay
167,YortaYorta
168,YabulaYabula
169,Ngarigu
170,Thawa
171,Dharawal
172,Ngunawal
173,Dhurga
174,Gundungurra
175,Djirringany
176,Nyulnyul
177,Kalaw Kawaw Ya
178,Nimanburu
179,Jawi
180,Bardi
181,Jabirrjabirr
182,Umiida
183,Unggumi
184,Yawijibaya
185,Worrorra
186,Kwini
187,Unggarranggu
188,Gamberre
189,Wunambal
191,Muluriji
192,Jardwadjali
193,Tjapwurrung
194,Djadjawurung
195,Baraba Baraba
196,MathiMathi
197,Nari Nari
198,WathiWathi
199,Warrnambool
200,Wotjobaluk
201,Wemba Wemba
202,Ngaliwuru
203,Yari
204,Jaminjung
205,Nungali
206,Kala Lagaw Ya
207,Mabuiag
208,Magati Ke
209,Marramaninyshi
210,Marrithiyel
211,Emmi
212,Marringarr
213,Giyug
214,Ngalia
215,Warnman
216,Pitjantjatjara
217,Ngaanyatjarra
218,PintupiLuritja
219,Yankunytjatjara
220,Kartujarra
222,Ladji Ladji
223,Putijarra
224,Yiman
225,Yangga
226,Ganulu
227,Barada
228,Yilba
229,Gangulu
230,Gayiri
231,Biri
232,Kokatha
233,Antakirinya
234,Matngele
235,Kamu
236,Boonwurrung
237,Daungwurrung
238,Ngarnka
239,Woiwurrung
240,Djirbal
241,Guwinal
242,Warrgamay
243,Nyawaygi
244,Wubuy
245,Wulguru
246,Ngandi
247,Anindilyakwa
248,Wiri
249,Yuwi
250,Garingbal
251,Barna
252,Yambina
253,Wadjigu
254,Gabalbara
255,Wangan
256,Bunuba
257,Gooniyandi
258,Dhuwal
259,Dhuwala
261,Dhay'yi
262,Wiradjuri
263,Ngiyambaa
264,Yuwaliyaay
265,Gamilaraay
266,Yuwaalaraay
268,Limilngan
269,Wailwan
270,Dharumbal
271,Kingkel
272,Batjjamalh
273,Alyawarr
274,Anmatyerre
275,Ayerreyenge
276,Antekerrepenhe
277,Lower Aranda
278,Kaytetye
279,WesternArrarnta
280,Central Arrernte
281,Minjangbal
282,Eastern Arrernte
283,Waalubal
284,Githabul
285,Yugambal
286,Bigambal
287,Purduna
288,Pinikura
289,Thalanyji
290,Payungu
291,PittaPitta
292,Maya
293,Mayawali
294,Wangkayutyuru
295,Mithaka
296,Karuwali
297,Karangura
298,Wangkangurru
299,Garlali
300,Yandruwandha
301,Yanda
302,Guwa
303,Mawng
304,Iwaidja
305,Marrgu
306,Wurrugu
307,Ilgar
308,Garig
309,Dharuk
310,Darkinyung
311,Thanggatti
312,Iyora
313,Miriwoong
314,Gija
315,Yalarnnga
316,Gajirrebeng
317,Thiin
318,Kalkatungu
319,Garrwa
320,Waanyi
321,Erre
322,Mengerrdji
