ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Original_Name,Glottolog_Name
A11_Londo,A11_Londo,,4.89504,9.15209,orok1266,,,A11_Londo,Oroko
A121_Mbonge,A121_Mbonge,,4.89504,9.15209,orok1266,,,A121_Mbonge,Oroko
A122_Bakundu,A122_Bakundu,,4.89504,9.15209,orok1266,,xd166,A122_Bakundu,Oroko
A141_Lefo,A141_Lefo,,4.53307,9.522,bafa1247,,,A141_Lefo,Bafaw-Balong
A15_Manenguba,A15_Manenguba,,4.79991,9.80402,baka1273,,,A15_Manenguba,Bakaka
A151_Nkongho,A151_Nkongho,,5.33848,9.80096,nkon1247,,,A151_Nkongho,Nkongho
A15A_Mbuu,A15A_Mbuu,,5.13981,9.92766,mboc1235,,,A15A_Mbuu,Mbo (Cameroon)
A15B_Mienge_NW_Manenguba,A15B_Mienge_NW_Manenguba,,5.23655,9.52275,bass1260,,,A15B_Mienge_NW_Manenguba,Bassossi
A15C_Akossi,A15C_Akossi,,4.9243,9.65522,akoo1248,,,A15C_Akossi,Akoose
A15C_Elung_Central_Manenguba,A15C_Elung_Central_Manenguba,,4.9243,9.65522,akoo1248,,,A15C_Elung_Central_Manenguba,Akoose
A15C_Mkaa,A15C_Mkaa,,4.79991,9.80402,baka1273,,,A15C_Mkaa,Bakaka
A22_Bakweri,A22_Bakweri,,4.24178,9.23887,mokp1239,,xd138,A22_Bakweri,Mokpwe
A24_Duala,A24_Duala,,4.10208,9.61877,dual1243,,xd130,A24_Duala,Duala
A27_Malimba,A27_Malimba,,3.67696,9.67186,mali1280,,,A27_Malimba,Malimba
A31_Bubi,A31_Bubi,,3.53638,8.68929,bube1242,,,A31_Bubi,Bube
A32C_Batanga,A32C_Batanga,,1.397041,9.51011,bata1285,,xd168,A32C_Batanga,Batanga
A33a_Yasa,A33a_Yasa,,2.06043,10.678,yasa1242,,,A33a_Yasa,Yasa
A34_Benga,A34_Benga,,1.075766,9.600739,beng1282,,,A34_Benga,Benga
A41_Barombi_Kang,A41_Barombi-Kang,,4.64584,9.25261,baro1252,,,A41_Barombi-Kang,Barombi
A42_Abo,A42_Abo,,4.3702,9.6403,bank1256,,,A42_Abo,Bankon
A43a_Basaa,A43a_Basaa,,3.80765,10.4213,basa1284,,,A43a_Basaa,Basa (Cameroon)
A44_Tunen,A44_Tunen,,4.75,10.67,tune1261,,,A44_Tunen,Tunen
A45_Nyokon,A45_Nyokon,,4.75,10.5,nyok1243,,,A45_Nyokon,Nyokon
A46_Nomaande,A46_Nomaande,,4.5893,10.9157,noma1260,,,A46_Nomaande,Nomaande
A462_Yambeta,A462_Yambeta,,4.83615,10.9369,yamb1252,,,A462_Yambeta,Yambeta
A51_Bafia_maja,A51_Bafia_maja,,4.72603,11.0982,bafi1243,,,A51_Bafia_maja,Bafia
A53_Bafia_rikpa,A53_Bafia_rikpa,,4.72603,11.0982,bafi1243,,xd169,A53_Bafia_rikpa,Bafia
A54_Tibea,A54_Tibea,,5.30535,11.3103,tibe1274,,,A54_Tibea,Tibea
A601_Tuki,A601_Tuki,,4.64348,11.5353,tuki1240,,,A601_Tuki,Tuki
A61_Ngoro_Asom,A61_Ngoro-Asom,,4.78874,12.824,bebe1248,,,A61_Ngoro-Asom,Bebele
A61_Ngoro_Bisoo,A61_Ngoro-Bisoo,,4.21045,11.3935,eton1253,,,A61_Ngoro-Bisoo,Eton-Mengisa
A61_Ngoro_lunda,A61_Ngoro-lunda,,4.21045,11.3935,eton1253,,,A61_Ngoro-lunda,Eton-Mengisa
A621_Nubaca,A621_Nubaca,,4.35696,11.029,nuba1241,,,A621_Nubaca,Nubaca
A622_Nugunu,A622_Nugunu,,4.63103,11.1837,nugu1242,,,A622_Nugunu,Nugunu (Cameroon)
A62A_Nuasue,A62A_Nuasue,,4.41971,11.0277,yang1293,,,A62A_Nuasue,Nuasue
A62A_Nukalonge,A62A_Nukalonge,,4.41971,11.0277,yang1293,,,A62A_Nukalonge,Nuasue
A62B_Mmala,A62B_Mmala,,4.52188,11.0599,mmaa1238,,,A62B_Mmala,Mmaala
A62C_Libie,A62C_Libie,,4.45694,11.193,elip1238,,,A62C_Libie,Elip
A63_Mangisa,A63_Mangisa,,4.21045,11.3935,eton1253,,,A63_Mangisa,Eton-Mengisa
A71_Eton,A71_Eton,,4.21045,11.3935,eton1253,,,A71_Eton,Eton-Mengisa
A72a_Ewondo,A72a_Ewondo,,4.21141,11.93646,ewon1239,,,A72a_Ewondo,Ewondo
A74a_Bulu,A74a_Bulu,,3.16141,11.6365,bulu1251,,,A74a_Bulu,Bulu (Cameroon)
A75a_Fang_Bitam,A75a_Fang_Bitam,,1.723965,11.61454,fang1246,,xd149,A75a_Fang_Bitam,Fang (Equatorial Guinea)
A75a_Fang_Medouneu,A75a_Fang_Medouneu,,1.723965,11.61454,fang1246,,,A75a_Fang_Medouneu,Fang (Equatorial Guinea)
A75a_Fang_Minvoul,A75a_Fang_Minvoul,,1.723965,11.61454,fang1246,,,A75a_Fang_Minvoul,Fang (Equatorial Guinea)
A803_Shiwa,A803_Shiwa,,-0.091645,11.947061,shiw1234,,,A803_Shiwa,Shiwa
A81_Kwasio,A81_Kwasio,,2.39354,10.0812,kwas1243,,xd163,A81_Kwasio,Kwasio
A83_Mekaa,A83_Mekaa,,4.15471,13.0789,maka1304,,,A83_Mekaa,Makaa
A832_Bekol,A832_Bekol,,3.65994,12.8574,kolc1235,,,A832_Bekol,Kol (Cameroon)
A84_Njem,A84_Njem,,2.30483,14.1175,njye1238,,,A84_Njem,Njyem
A841_Badwe,A841_Badwe,,3.25933,13.54152,koon1245,,,A841_Badwe,Koonzime
A85b_Bekwil_Makokou,A85b_Bekwil_Makokou,,1.71801,14.6527,bekw1242,,,A85b_Bekwil_Makokou,Bekwil
A85b_Bekwil_Mv,A85b_Bekwil_Mv,,1.71801,14.6527,bekw1242,,,A85b_Bekwil_Mv,Bekwil
A86c_Mpiemo,A86c_Mpiemo,,3.45776,15.5246,mpie1238,,,A86c_Mpiemo,Mpiemo
A87_Bomwali,A87_Bomwali,,1.71005,15.9546,bomw1238,,xd164,A87_Bomwali,Bomwali
A91_Kwakum,A91_Kwakum,,4.34393,13.6446,kwak1266,,,A91_Kwakum,Kwakum
A93_Kako,A93_Kako,,3.79989,15.6282,kako1242,,,A93_Kako,Kako
Aghem_Grassfields,Aghem_Grassfields,,6.38956,10.0807,aghe1239,,,Aghem_Grassfields,Aghem
B11a_Mpongwe,B11a_Mpongwe,,-1.48741,9.50247,myen1241,,xd167,B11a_Mpongwe,Myene
