lang,excess
Aztec_Tetelcingo_30,6
Aztec_Zacapoaxtla_31,-4
Cahuilla_12,-3
Chemehuevi_7,8
Classical_Aztec_29,9
Comanche_5,0
Cora_27,2
Cupeno_13,1
Eudeve_21,10
Gabrielino_15,-6
Guarijio_22,-1
Hopi_16,1
Huichol_28,7
Kawaiisu_6,12
Kiowa_35,-9
Kitanemuk_34,7
Luiseno_14,0
Mayo_25,-1
Mono_1,-1
Northern_Paiute_2,6
Northern_Tepehuan_19,6
Opata_20,5
Pannamint_3,1
Papago-Pima_17,0
Pima_de_Onavas_18,17
Pipil_32,2
San_Juan_Pueblo_Tewa_36,-2
Serrano_11,0
Shoshoni_Gosiute_Dialect_4,0
Southeastern_Tepehuan_33,-6
Southern_Paiute_8,3
Southern_Ute_9,4
Tarahumara_23,6
Tubar_24,2
Tubatulabel_10,7
Yaqui_26,4
