ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Annotation
Mono-1_nonot-1,1,Mono,1_nonot,qatuʔu,qatuʔu,q a t u ʔ u,,Miller1984,1_nonot-1,false,^q a t u ʔ u$,default,
Mono-2_many-1,33,Mono,2_many,ewa,ewa,e w a,,Miller1984,2_many-1,false,^e w a$,default,
Mono-3_one-1,65,Mono,3_one,sɨmɨ,sɨmɨ,s ɨ m ɨ,,Miller1984,3_one-1,false,^s ɨ m ɨ$,default,
Mono-4_two-1,97,Mono,4_two,waha,waha,w a h a,,Miller1984,4_two-3,false,^w a h a$,default,
Mono-5_big-1,129,Mono,5_big,papa,papa,p a p a,,Miller1984,5_big-1,false,^p a p a$,default,
Mono-6_old-1,161,Mono,6_old,mua-,mua-,m u a,,Liljeblad1966,6_old-1,false,^m ua -$,default,(=Ft. Ind. dialect)
Mono-7_small-1,193,Mono,7_small,ino-cicciʔ,ino-cicciʔ,i n o + ts i tsː i ʔ,,Miller1984,7_small-2,false,^i n o - c i cc i ʔ$,default,JHH: The first element may be (16)
Mono-8_short-1,225,Mono,8_short,toppo-ciccini,toppo-ciccini,t o pː o + ts i tsː i n i,,Miller1984,8_short-4,false,^t o pp o - c i cc i n i$,default,
Mono-9_long-1,257,Mono,9_long,ɨti,ɨti,ɨ t i,,Miller1984,9_long-1,false,^ɨ t i$,default,
Mono-10_new-1,289,Mono,10_new,pɨtɨt-tɨ-ppɨ,pɨtɨt-tɨ-ppɨ,p ɨ t ɨ t + t ɨ + pː ɨ,,Miller1984,10_new-1,false,^p ɨ t ɨ t - t ɨ - pp ɨ$,default,
Mono-11_good-1,321,Mono,11_good,cawu,cawu,ts a w u,,Miller1984,11_good-1,false,^c a w u$,default,
Mono-12_round-1,353,Mono,12_round,attɨp-pono,attɨp-pono,a tː ɨ p + p o n o,,Miller1984,12_round-3,false,^a tt ɨ p - p o n o$,default,
Mono-13_heavy-1,385,Mono,13_heavy,nɨʔnɨkkwɨ,nɨʔnɨkkwɨ,n ɨ ˀn ɨ kː w ɨ,,Miller1984,13_heavy-1,false,^n ɨ ʔn ɨ kk w ɨ$,default,
Mono-14_dry-1,417,Mono,14_dry,pasa-hkɨʔ,pasa-hkɨʔ,p a s a + ʰk ɨ ʔ,,Miller1984,14_dry-1,false,^p a s a - hk ɨ ʔ$,default,
Mono-15_sharpblade-1,449,Mono,15_sharpblade,kɨwaa,kɨwaa,k ɨ w aː,,Miller1984,15_sharpblade-1,false,^k ɨ w aa$,default,
Mono-16_dirty-1,481,Mono,16_dirty,totsábi,totsábi,t o ts á/a b i,,Bethel1993,16_dirty-1,false,^t o ts á b i$,default,"""dirty one"""
Mono-17_full-1,513,Mono,17_full,tuyuha,tuyuha,t u y/j u h a,,Miller1984,17_full-7,false,^t uyu h a$,default,
Mono-18_cold-1,545,Mono,18_cold,ɨcɨʔɨ,ɨcɨʔɨ,ɨ ts ɨ ʔ ɨ,,Miller1984,18_cold-1,false,^ɨ c ɨ ʔ ɨ$,default,
Mono-19_hot-1,577,Mono,19_hot,ɨtɨʔɨ,ɨtɨʔɨ,ɨ t ɨ ʔ ɨ,,Miller1984,19_hot-1,false,^ɨ t ɨ ʔ ɨ$,default,
Mono-20_woman-1,609,Mono,20_woman,hɨɨppiʔ,hɨɨppiʔ,h ɨː pː i ʔ,,Miller1984,20_woman-8,false,^h ɨɨ pp i ʔ$,default,
Mono-21_man-1,641,Mono,21_man,nana,nana,n a n a,,Miller1984,,true,^n a n a$,default,JHH: Probably a Yokuts word
Mono-22_person-1,673,Mono,22_person,nɨɨmmɨ,nɨɨmmɨ,n ɨː mː ɨ,,Miller1984,22_person-1,false,^n ɨɨ mm ɨ$,default,
Mono-23_fish-1,705,Mono,23_fish,pakkwi,pakkwi,p a kː w i,,Miller1984,23_fish-1,false,^p a kk w i$,default,
Mono-24_bird-1,737,Mono,24_bird,ciippaʔ,ciippaʔ,ts iː pː a ʔ,,Miller1984,24_bird-1,false,^c ii pp a ʔ$,default,
Mono-25_dog-1,769,Mono,25_dog,pukku,pukku,p u kː u,,Miller1984,25_dog-1,false,^p u kk u$,default,
Mono-26_louse-1,801,Mono,26_louse,puiciappi,puiciappi,p ui ts i a pː i,,Miller1984,26_louse-1,false,^p ui c ia pp i$,default,(Ft. Independence Mono)
Mono-27_snake-1,833,Mono,27_snake,toqoqqwa,toqoqqwa,t o q o qː w a,,Miller1984,27_snake-1,false,^t o q o qq w a$,default,
Mono-28_tree-1,865,Mono,28_tree,wɨnɨp-pɨ,wɨnɨp-pɨ,w ɨ n ɨ p + p ɨ,,Miller1984,28_tree-8,false,^w ɨ n ɨ p - p ɨ$,default,"(<""stand"")"
Mono-29_bark-1,896,Mono,29_bark,woʔaggapɨ,woʔaggapɨ,w o ʔ a gː a p ɨ,,Miller1984,29_bark-1,false,^w o ʔ a gg a p ɨ$,default,
Mono-30_leaf-1,928,Mono,30_leaf,gasa,gasa,g a s a,,Miller1984,30_leaf-5,false,^g a s a$,default,
Mono-31_root-1,960,Mono,31_root,tɨtɨna,tɨtɨna,t ɨ t ɨ n a,,Miller1984,31_root-1,false,^t ɨ t ɨ n a$,default,
Mono-32_seed-1,992,Mono,32_seed,pusi,pusi,p u s i,,Miller1984,32_seed-1,false,^p u s i$,default,see 'eye'
Mono-33_blood-1,1024,Mono,33_blood,"paa""","paa""",p aː,,Miller1984,33_blood-1,false,"^p aa ""$",default,
Mono-34_meat-1,1056,Mono,34_meat,tɨɨnna,tɨɨnna,t ɨː nː a,,Miller1984,34_meat-6,false,^t ɨɨ nn a$,default,JHH: Bethel dictionary has tiina (with /i/)
Mono-35_skin-1,1088,Mono,35_skin,sippoʔi,sippoʔi,s i pː o ʔ i,,Miller1984,35_skin-13,false,^s i pp o ʔ i$,default,JHH: This is a compound (2)-(1)
Mono-36_bone-1,1120,Mono,36_bone,oho,oho,o h o,,Miller1984,36_bone-1,false,^o h o$,default,
Mono-37_greasefat-1,1152,Mono,37_greasefat,yuhu,yuhu,j u h u,,Miller1984,37_greasefat-1,false,^yu h u$,default,
Mono-38_egg-1,1184,Mono,38_egg,noyo,noyo,n o y/j o,,Miller1984,38_egg-1,false,^n oyo$,default,
Mono-39_horn-1,1216,Mono,39_horn,awa,awa,a w a,,Miller1984,39_horn-1,false,^a w a$,default,
Mono-40_tail-1,1248,Mono,40_tail,qwaci,qwaci,q w a ts i,,Miller1984,40_tail-1,false,^qw a c i$,default,
Mono-41_feather-1,1280,Mono,41_feather,qasa,qasa,q a s a,,Miller1984,41_feather-1,false,^q a s a$,default,
