label,Name,Glottocode,weightedSpikes,weightedSpikes_median
Badga,Badga,bada1257,26.70060337947951,24.689487363476434
Betta_Kurumba,Betta_Kurumba,bett1235,43.32140340872334,40.88387295872422
Kannada,Kannada,nucl1305,16.778784045339055,15.82866879829147
Kodava,Kodava,koda1255,11.706898680689473,11.022318366477638
Malayalam,Malayalam,mala1464,17.994030992429018,16.776706783041845
Yeruva,Yeruva,ravu1237,16.833537858616566,15.989173639701127
Tamil,Tamil,tami1289,23.346599093398222,22.087018391717653
Toda,Toda,toda1252,50.24187211370345,47.07393486848176
Kota,Kota,kota1263,29.14662191422601,27.242843492767555
Tulu,Tulu,tulu1258,40.66483477468994,37.920003632746536
Gondi,Gondi,nort2702,63.24391107494245,58.92757637399136
Koya,Koya,koya1251,13.608024311627503,12.630263735390725
Telugu,Telugu,telu1262,13.959053144773902,13.15804543420429
Kuwi,Kuwi,kuvi1243,114.75432057390638,106.09179936561989
Kolami,Kolami,nort2699,51.13860758039086,47.628028966623575
Ollari_Gadba,Ollari_Gadba,pott1240,49.33264648376257,46.662076666319294
Parji,Parji,duru1236,1.9748379190743302,0.9925697750188213
Brahui,Brahui,brah1256,149.16669735235726,139.27768733755138
Kurukh,Kurukh,kuru1302,11.050691786190537,7.607104105631596
Malto,Malto,saur1249,71.48740571923246,66.45838828129456
