label,Name,Glottocode,weightedSpikes,weightedSpikes_median
AlbanianArberesh,Albanian: Arbëresh,arbe1236,13.398042314138356,8.50500315919279
AlbanianGheg,Albanian: Gheg,gheg1238,2.5454276384570593,1.6497276084357855
AlbanianStandard,Albanian: Standard,alba1267,2.914423045006832,1.9399793864297659
AncientGreek,Greek: Ancient,anci1242,3.496538634781937,1.2745007574481848
Greek,Greek: Modern Std,mode1248,1.6768927918964742,0.9810152261997381
GreekCypriot,Greek: Cypriot,cypr1249,8.148603777922915,6.876531467681357
GreekCappodocian,Greek: Cappadocian,capp1239,12.87212935689539,12.043481612839638
GreekPontic,Greek: Pontic,pont1253,5.187344954614463,4.04502867401573
GreekItaliot,Greek: Italiot,apul1236,8.226735065410859,5.963709511849064
NTGreek,Greek: New Testament,koin1234,3.425529712242374,1.1928052863608782
MycenaeanGreek,Greek: Mycenaean,myce1241,3.6042173410026166,1.4145320892276199
ArmenianEastern,Armenian: Eastern,nucl1235,2.1560228291983203,1.3960517825554262
ArmenianWestern,Armenian: Western,homs1234,4.870450574014677,3.827090197554935
ClassicalArmenian,Armenian: Classical,clas1249,3.4275716773054516,1.3577099108420978
TocharianA,Tocharian A,tokh1242,10.972342802198728,7.668809482892056
TocharianB,Tocharian B,tokh1243,3.8168855145448606,2.099330314050479
AngloNorman,Anglo-Norman,angl1258,1.6301767697480254,0.40654591190049466
OldFrench,Old French,oldf1239,1.316492266223337,0.9993720783975717
FrancoProvencal,Franco-Provençal,fran1269,5.846409599592554,5.204802883685371
French,French,stan1290,1.2589779824992107,0.7646227939364341
Walloon,Walloon,wall1255,3.4804692681439984,2.509454641626626
Friulian,Friulian,friu1240,4.341818803642383,3.0517404734957823
Ladin,Ladin,ladi1250,7.568089531981259,5.627992163380835
Milanese,Milanese,mila1243,5.5573747445529955,4.01830113118886
Catalan,Catalan,stan1289,1.2553235271818857,0.709384256568819
OldCatalan,Old Catalan,oldc1251,2.1387996808816485,1.6858688377219226
OldSpanish,Old Spanish,olds1249,3.6595845175285833,3.165590705549801
Spanish,Spanish,stan1288,2.123136437022484,1.2754371675384992
Portuguese,Portuguese,port1283,0.3650759453449803,0.18237050622008372
PortugueseBrazilian,Portuguese: Brazilian,braz1246,3.1081255981799165,2.7217767198310345
OldOccitan,Old Occitan,oldp1253,9.120164164221675,7.537674870483518
DalmatianVegliote,Dalmatian: Vegliote,dalm1243,13.33289687572334,10.191328211791765
Italian,Italian,ital1282,1.387248328796762,0.7624778755045266
Neapolitan,Neapolitan,neap1235,5.533411137812246,3.9214651748457516
SardinianLogudoro,Sardinian: Logudoro,logu1236,2.251761969959653,1.3800158428508968
SardinianNuoro,Sardinian: Nuoro,nuor1238,8.578332849058931,6.760400299835508
MeglenoRomanian,Megleno-Romanian,megl1237,8.71025149605306,6.197401654136728
Romanian,Romanian,roma1327,5.722265298276219,3.8652016804555966
Latin,Latin,lati1261,2.242496115257783,1.2507873640619984
Oscan,Oscan,osca1245,7.24101864664657,5.019832122647473
Umbrian,Umbrian,umbr1253,3.6483360347649842,2.1991535123753505
BretonGwened,Breton: Gwened,vann1244,6.296819253587466,5.261458887947405
BretonTreger,Breton: Treger,treg1244,2.837296528950214,2.028225658052696
MiddleBreton,Middle Breton,midd1359,1.4941725141097815,0.918499527561434
OldBreton,Old Breton,oldb1248,3.8820605264043646,2.8848680874074146
LateCornish,Late Cornish,corn1251,2.9881755795420206,2.0811325033100703
MiddleCornish,Middle Cornish,midd1380,5.596784497157362,4.638342486867994
MiddleWelsh,Middle Welsh,midd1363,0.6552256666260046,0.32548661407240637
OldWelsh,Old Welsh,oldw1241,4.288705728457023,3.5604193167559157
WelshNorth,Welsh: North,nort2668,2.8703352044441193,1.8907652149704592
GaelicIrish,Gaelic: Irish,iris1253,2.3531228165282707,1.4905553834097889
GaelicManx,Gaelic: Manx,manx1243,6.937212686432053,5.967423912932802
GaelicScottish,Gaelic: Scottish,scot1245,5.927646822044808,4.51352452018267
OldIrish,Old Irish,oldi1245,3.136124072897557,2.1817527438153004
Gaulish,Gaulish,tran1282,4.365348997233304,2.7943473005366712
Danish,Danish,dani1285,3.868045889440205,2.552252101392712
Faroese,Faroese,faro1244,1.3044655826371234,0.7163881456560834
Icelandic,Icelandic,icel1247,2.2167043263299306,1.3664365109884224
OldIcelandic,Old Icelandic,oldn1244,7.133156285660397,6.397316808133974
NorwegianBokmal,Norwegian: Bokmål,norw1259,0.4799775790355018,0.2657417057575526
NorwegianNynorsk,Norwegian: Nynorsk,norw1262,0.5992640854469063,0.373165255984962
Elfdalian,Elfdalian,elfd1234,7.862011376706091,5.7262982161290745
OldSwedish,Old Swedish,olds1252,5.251457733778656,4.355385516567327
Swedish,Swedish,swed1254,2.6409494817193226,1.6587231937026192
Dutch,Dutch,dutc1256,2.420306433985559,1.6916084490833938
Flemish,Flemish,vlaa1240,1.9927103408535487,1.3001409609335888
MiddleDutch,Middle Dutch,midd1321,1.2819076150665047,0.79936127732659
German,German,stan1295,0.3238472186984195,0.14909538222822374
GermanBernese,German: Bernese,swis1247,6.812454728384111,6.0875446681382765
MiddleHighGerman,Middle High German,midd1343,1.894587804253191,0.5704795593821306
OldHighGerman,Old High German,oldh1241,4.011866615890716,3.537499932703833
Luxembourgish,Luxembourgish,luxe1241,7.63115722981212,5.685620306991381
English,English,stan1293,15.473620457472666,11.279702072278726
OldEnglish,Old English,olde1238,2.2770081594639726,1.3663849080133295
Frisian,Frisian,west2354,9.335176889695955,7.05240452680055
OldFrisian,Old Frisian,oldf1241,1.5566828820593652,0.7514935754490916
OldSaxon,Old Saxon,olds1250,4.281223401439743,3.406851653417916
Gothic,Gothic,goth1244,4.782265233315634,3.283732989034716
Belarusian,Belarusian,bela1254,3.151527375975535,2.227693114583884
Rusyn,Rusyn,rusy1239,6.433703352872465,5.372247977999456
Ukrainian,Ukrainian,ukra1253,2.2682605153271034,1.567536629501256
Russian,Russian,russ1263,3.593497628822581,2.511969301337033
OldNovgorod,Old Novgorod,oldr1238,3.425601991722328,2.4356457029947354
Czech,Czech,czec1258,1.8711997961680407,1.2306095419239589
Slovak,Slovak,slov1269,1.7265813409383213,1.1127142242326367
OldCzech,Old Czech,oldc1253,1.621952515931714,1.1065129304277432
Kashubian,Kashubian,kash1274,3.7129846020160553,2.533510150014452
OldPolish,Old Polish,oldp1256,1.8031032787366659,1.4497839166881155
Polish,Polish,poli1260,1.580141607251357,0.964100439523713
Polabian,Polabian,pola1255,10.976200543003893,9.240767357292786
SorbianLower,Sorbian: Lower,lowe1385,3.8533877757667576,3.1611491072160436
SorbianUpper,Sorbian: Upper,uppe1395,1.396205578873084,0.8532436277596955
Bulgarian,Bulgarian,bulg1262,3.3223657642473086,2.251542787301958
Macedonian,Macedonian,mace1250,2.4171175402258624,1.5471141714656362
MacedonianSuho,Macedonian: Suho,sout3278,2.0045930742558546,1.5783809470038266
