label,Name,Glottocode,weightedSpikes,weightedSpikes_median
AlbanianArberesh,Albanian: Arbëresh,arbe1236,10.580577684233484,6.797220674364993
AlbanianGheg,Albanian: Gheg,gheg1238,2.6020509470245914,2.009522286105203
AlbanianStandard,Albanian: Standard,alba1267,2.945866108194582,2.3383800450097803
AncientGreek,Greek: Ancient,anci1242,44.8068798277901,2.356139424477894
Greek,Greek: Modern Std,mode1248,2.098480439104793,1.5011855050686536
GreekCypriot,Greek: Cypriot,cypr1249,5.872146200599627,4.80146666302702
TsakonianPeloponnese,Tsakonian: Peloponnese,tsak1248,10.692232584852947,9.6221286657279
TsakonianPropontis,Tsakonian: Propontis,prop1240,2.4606456061923083,1.9268101714951857
GreekCappodocian,Greek: Cappadocian,capp1239,7.0739687311918695,5.166112454452663
GreekPontic,Greek: Pontic,pont1253,2.9739667104175416,2.16026450077845
GreekItaliot,Greek: Italiot,apul1236,7.349197695579016,5.431406782518082
NTGreek,Greek: New Testament,koin1234,36.71593584775534,2.375265020488615
MycenaeanGreek,Greek: Mycenaean,myce1241,34.04810779194681,2.551884119441981
ArmenianEastern,Armenian: Eastern,nucl1235,2.1849803744268494,1.6123003346745532
ArmenianWestern,Armenian: Western,homs1234,4.2890796222636265,3.4628321590431193
ClassicalArmenian,Armenian: Classical,clas1249,36.82784162595006,2.3890318685800858
TocharianA,Tocharian A,tokh1242,10.62784377027229,7.816103169911028
TocharianB,Tocharian B,tokh1243,29.61518002943533,3.090852631974342
AngloNorman,Anglo-Norman,angl1258,3.270197832544949,2.643371091064715
FrancoProvencal,Franco-Provençal,fran1269,5.381074158310845,4.809844556786992
French,French,stan1290,1.1260814835941375,0.8100573057248859
Walloon,Walloon,wall1255,3.5197669869912422,2.746886695294293
OldOccitan,Old Occitan,oldp1253,5.219999672497732,4.632853369583839
Catalan,Catalan,stan1289,1.6212366462747096,1.0892664486110202
OldCatalan,Old Catalan,oldc1251,4.437755322579382,1.4883225333282004
OldSpanish,Old Spanish,olds1249,3.1649445584822855,2.7857098770197988
Spanish,Spanish,stan1288,2.1951780305264994,1.530064545674365
Portuguese,Portuguese,port1283,0.5841616859281414,0.38086972304300015
PortugueseBrazilian,Portuguese: Brazilian,braz1246,3.0463981531428486,2.6190101916790405
DalmatianVegliote,Dalmatian: Vegliote,dalm1243,11.81719350980992,9.063127024413694
Friulian,Friulian,friu1240,4.010857598112263,2.9821749231628174
Ladin,Ladin,ladi1250,8.81332784624841,6.894565628450523
Italian,Italian,ital1282,0.9645453548454743,0.6954473305067789
Milanese,Milanese,mila1243,6.53870009859341,5.914435197939539
Neapolitan,Neapolitan,neap1235,4.3587005959220955,3.0938283489649763
SardinianLogudoro,Sardinian: Logudoro,sout2614,2.148728363661283,1.5695497564782581
SardinianNuoro,Sardinian: Nuoro,barb1262,7.450881028606346,5.853911989438396
MeglenoRomanian,Megleno-Romanian,megl1237,7.379341453623818,5.367182986515
Romanian,Romanian,roma1327,5.082286567675224,3.6856951207160225
Latin,Latin,lati1261,21.60964223336593,2.1181342505555896
Oscan,Oscan,osca1245,8.698045924933682,4.92025809439776
Umbrian,Umbrian,umbr1253,9.491902315115304,2.803744513912401
BretonGwened,Breton: Gwened,vann1244,5.110108668008016,4.233189898240845
BretonTreger,Breton: Treger,treg1244,2.4909988623630057,1.9298550774425445
MiddleBreton,Middle Breton,midd1359,1.8839315270225738,1.3640663632587182
LateCornish,Late Cornish,corn1251,3.136230326606858,2.3271606762577393
MiddleCornish,Middle Cornish,midd1380,5.667282934849286,5.095863317328759
OldBreton,Old Breton,oldb1248,2.4227719906420115,1.6133977041029541
MiddleWelsh,Middle Welsh,midd1363,1.4017252287130453,0.9340539810588961
WelshNorth,Welsh: North,nort2668,2.993451641274081,2.156036346463428
OldWelsh,Old Welsh,oldw1241,3.775122282498706,3.1470017714191814
Gaulish,Gaulish,tran1282,19.97652124374839,4.245796757295385
GaelicIrish,Gaelic: Irish,iris1253,2.399607653121633,1.661118134710579
GaelicManx,Gaelic: Manx,manx1243,5.874769741191912,4.948195743616088
GaelicScottish,Gaelic: Scottish,scot1245,4.837736282402863,3.6739993853209265
OldIrish,Old Irish,oldi1245,12.72548291113468,2.4087599908621304
Danish,Danish,dani1285,3.3173776400220607,2.563100196253312
NorwegianBokmal,Norwegian: Bokmål,norw1259,0.6181386203597817,0.42874840346088067
NorwegianNynorsk,Norwegian: Nynorsk,norw1262,0.8674070127751015,0.652691253622458
Elfdalian,Elfdalian,elfd1234,8.520805607987244,6.89634387202254
Swedish,Swedish,swed1254,2.1173305317106084,1.5818354324516473
OldSwedish,Old Swedish,olds1252,2.586806298540776,1.980859225801694
Faroese,Faroese,faro1244,1.65717485086278,1.0377734023245473
Icelandic,Icelandic,icel1247,2.565421735532732,1.7799744672549753
OldIcelandic,Old Icelandic,oldn1244,5.16612445617013,4.6839829861685836
Dutch,Dutch,dutc1256,1.7959351789996865,1.3724054756805428
Frisian,Frisian,west2354,9.943910258894778,8.626973685337347
Flemish,Flemish,vlaa1240,2.1335770928317044,1.5788763873223235
MiddleDutch,Middle Dutch,midd1321,31.365087385929613,1.576294696877895
OldFrisian,Old Frisian,oldf1241,2.418399690930532,1.8775780476303807
German,German,stan1295,0.7017547372766676,0.44520497879761045
GermanBernese,German: Bernese,swis1247,4.805235468649673,4.426624270927961
Luxembourgish,Luxembourgish,luxe1241,7.446487255517041,6.486394344456523
MiddleHighGerman,Middle High German,midd1343,40.77555321134729,1.3398270026932997
OldHighGerman,Old High German,oldh1241,9.044979307842482,1.0792746938336797
OldSaxon,Old Saxon,olds1250,3.6301897275490216,3.0140905446550685
English,English,stan1293,12.77104619808043,8.616768531991191
OldEnglish,Old English,olde1238,31.8023034246634,1.7868578130941448
Gothic,Gothic,goth1244,4.359167909182159,3.0308390270747143
Belarusian,Belarusian,bela1254,4.100818808956116,3.594057703706803
Ukrainian,Ukrainian,ukra1253,1.5606808901293037,1.206989334912279
Russian,Russian,russ1263,4.207413705811982,3.4826859064123807
Rusyn,Rusyn,rusy1239,2.068082393139312,1.4807731040147256
OldNovgorod,Old Novgorod,oldr1238,3.2070410769328674,2.570096006872978
Czech,Czech,czec1258,1.824414951726166,1.363029534412347
Slovak,Slovak,slov1269,2.200976239504091,1.7249063434284275
OldCzech,Old Czech,oldc1253,1.703635756409333,1.3795937755661225
Kashubian,Kashubian,kash1274,5.004123541429651,4.363980277538867
Polish,Polish,poli1260,1.366518081889384,0.9928571452231943
OldPolish,Old Polish,oldp1256,48.5367951036987,2.585160064723054
Polabian,Polabian,pola1255,9.548460254337481,8.44992840435483
SorbianLower,Sorbian: Lower,lowe1385,3.7338700493701715,3.241649799610549
SorbianUpper,Sorbian: Upper,uppe1395,1.5957227963653156,1.2124700250807048
Bulgarian,Bulgarian,bulg1262,4.215299010681444,3.3984981087089707
MacedonianSuho,Macedonian: Suho,sout3278,2.2295095459318026,1.9583616146518983
MacedonianVisoka,Macedonian: Visoka,sout3277,1.3068341876148104,1.0044799125438861
Macedonian,Macedonian,mace1250,2.4041780398934387,1.8345741375256397
SerboCroatian,Serbo-Croat,croa1245,1.873509121323932,1.284588757015143
Slovene,Slovene,slov1268,1.0186940014760149,0.7168334588550441
SloveneKostel,Slovene: Kostel,lowe1384,2.1249035921403685,1.6991453066173714
SloveneEarlyModern,Slovene: Early Modern,wind1243,2.620674959016258,2.2844407936563047
OldChurchSlavonic,Old Church Slavonic,chur1257,5.975782024435099,1.9469411598827875
Latgalian,Latgalian,east2282,2.238629641455749,1.7309193386761994
Latvian,Latvian,latv1249,4.872706701481668,4.0536986824275125
Lithuanian,Lithuanian,lith1251,9.470503216449044,7.080787754465625
OldPrussian,Old Prussian,prus1238,13.97306451315025,10.770863242672858
Assamese,Assamese,assa1263,9.75183088098465,7.174235781489484
Bengali,Bengali,beng1280,3.9328477479621156,2.8391738360418004
Bhojpuri,Bhojpuri,bhoj1244,2.1749802218415257,1.6273593456015303
Hindi,Hindi,hind1269,1.5072765451595522,1.1712942613816777
Urdu,Urdu,urdu1245,6.199589684118,5.751433573352798
Punjabi,Punjabi,panj1256,7.3331050475030075,6.756701744909175
Magahi,Magahi,maga1260,3.279744101488389,2.465517406636794
Maithili,Maithili,mait1250,3.593195818644973,2.7009353728829346
Marathi,Marathi,mara1378,17.0465688127264,10.960275631515618
Nepali,Nepali,east1436,7.907084493171415,6.228935958984046
Kashmiri,Kashmiri,kash1277,17.46044857479652,13.301692680078906
Gawarbati,Gawarbati,gawa1247,12.933983878714857,10.300020174668944
Gawri,Gawri,kala1373,9.754621084446116,7.165096335028141
Palula,Palula,ashr1238,8.47123708636704,6.392726304272232
KalasalaNiseigram,Kalaṣa-alâ: Nišeigrâm,chim1297,8.071082451513044,5.414575996202701
Kamviri,Kamviri,kamv1242,1.6263669193146817,1.2851190152746523
KatavariEastern,Kâta-vari: Eastern,east2308,2.058166295303179,1.728311864157793
KatavariKtivi,Kâta-vari: Ktivi,west2372,1.0839514663805974,0.7761789542914723
SanuviriWama,Saṇu-viri: Wâmâ,ashk1246,7.093778870635269,5.125484036703349
VasiVariPaski,Vâsi-vari: Paṣki,lowe1390,42.00492737707016,13.91382802066268
Khowar,Khowar,khow1242,37.025145308263575,18.19754344422702
PashaiNorthWest,Pashai: North-West,nort2665,26.9035494486522,16.160124724003715
Sinhalese,Sinhalese,sinh1246,25.28941148526528,18.31552045236952
Pali,Pali,pali1273,3.8205614954691884,2.9053244114444565
VedicEarly,Vedic: Early,vedi1234,3.3223140268569247,2.490971893277901
AvestanYounger,Avestan: Younger,aves1237,4.169157009114209,3.1399275450457464
Bactrian,Bactrian,bact1239,5.950620746047357,4.273690079910668
OsseticDigor,Ossetic: Digor,digo1242,2.3326228569201586,1.7359037335506389
OsseticIron,Ossetic: Iron,iron1242,3.258393206332983,2.6164149808985946
Khotanese,Khotanese,khot1251,13.90006693360954,11.246668910702468
Khwarazmian,Khwarazmian,khwa1238,12.968943978517848,10.32483708720977
Sogdian,Sogdian,sogd1245,6.086417535546551,4.861443197084489
Yaghnobi,Yaghnobi,yagn1238,15.329583221761963,10.877686335394399
Pashto,Pashto,yusu1238,26.905223170654885,17.554796001327173
Sarikoli,Sarikoli,sari1246,20.89313497357381,12.667798278983252
Wakhi,Wakhi,wakh1245,19.47577064807765,11.76101165869326
Bakhtiari,Bakhtiari,bakh1245,4.02015970475532,3.051319654721859
Delvari,Delvari,sout2645,3.673927848755091,2.8348876530987734
Lari,Lari,lari1253,8.127603007579754,6.430617274780571
PersianTehran,Persian: Tehran,west2369,3.3052320465237712,2.4078389528473516
Kumzari,Kumzari,kumz1235,17.77996507404,10.556944266981787
Mazanderani,Mazanderani,maza1291,6.834570668077096,5.26420026619225
Tati,Tati,take1255,3.567344972140511,2.6258629342735045
RajiBarzoki,Raji: Barzoki,cent2264,4.523028431351432,3.3318633402461644
Hawrami,Hawrami,hawr1243,6.947882221618605,5.523741592386435
KurdishCJafi,Kurdish C.: Jafi,cent1972,3.4903241141690455,2.6367502921040677
KurdishSElami,Kurdish S.: Elami,feyl1238,8.367654837672857,6.250742765481509
KurdishSQorveh,Kurdish S.: Qorveh,koly1245,6.305842460058008,4.910167492517463
KurdishNBahdini,Kurdish N.: Bahdini,nort2641,15.138962612071623,9.523255504222965
BalochiSistani,Balochi: Sistani,west2368,9.250551092239855,6.9256076022318585
MiddlePersian,Middle Persian,pahl1241,4.59783210496202,3.6774728892586857
Parthian,Parthian,part1239,5.407359793568556,4.429874506789318
OldPersian,Old Persian,oldp1254,6.098098291645082,4.573660638629947
Hittite,Hittite,hitt1242,29.911974746702995,8.819083485826827
Luvian,Luvian,cune1239,23.311515957224362,14.38423501722452
