label,name,glottocode,weightedSpikes,weightedSpikes_median
AghuTharrnggala,AghuTharrnggala,aghu1254,73.80150965893684,23.551522473378608
Ikarranggal,Ikarranggal,gurd1238,9.223040264141282,5.931208726623964
Walangama,Walangama,wala1263,82.29147938468759,68.30740300546633
Gugumini,Gugumini,ikar1243,26.01757111125694,17.449891414609073
Tagalag,Tagalag,taga1279,46.77970138467631,20.18805934432974
Kunjen,Kunjen,kunj1245,22.026091027804053,13.171492448799782
Olkola,Olkola,oyka1239,3.0311223908026914,2.269307542559505
UwOykangand,UwOykangand,oyka1239,2.037264597200842,1.3697342845652478
BarrowPoint,BarrowPoint,barr1247,25.566757516231934,12.872225966452945
KukuWura,KukuWura,gugu1256,60.91746910487088,16.196567116259274
Alngith,Alngith,alng1239,2.3012685180036265,1.4502038140326567
Linngithigh,Linngithigh,leni1238,17.33625555082489,14.576976594209189
Mbakwithi,Mbakwithi,angu1242,60.74151977450287,70.810099135747
Thaynakwith,Thaynakwith,alng1239,10.402523848029213,8.103843212544792
Ntrangith,Ntrangith,tyan1235,7.500197714534403,5.664751026705617
Mbiywom,Mbiywom,mbiy1238,7.140485643948837,5.327611864295782
Yinwum,Yinwum,yinw1236,11.16755279159255,8.436700848899903
Nggoth,Nggoth,ngko1236,7.70783778015646,5.241922760652265
Gudang,Gudang,guda1244,55.64182639868359,31.246639030622305
Injinoo,Injinoo,angg1238,13.673588280312574,10.809347792902738
Yadhaykenu,Yadhaykenu,yadh1237,30.54697835415216,30.253557322680074
Uradhi,Uradhi,wuth1237,14.114143766793129,9.914771266372773
Mpalityan,Mpalityan,mpal1237,4.264033431496956,2.7606597414543264
Umpithamu,Umpithamu,umbi1243,3.462392874168996,2.0635440023007883
Ayapathu,Ayapathu,ayab1239,13.182945101313456,9.765002280435267
KuguNganhcara,KuguNganhcara,wikn1246,24.22879899729566,23.02355604653833
Pakanh,Pakanh,paka1251,12.898055293138441,10.016539326063915
WikMungkan,WikMungkan,wikm1247,33.63445135428793,25.95329411379694
WikMuminh,WikMuminh,kuku1283,4.612042726287107,3.3515865345421987
WikNgatharr,WikNgatharr,wika1238,5.976666316207276,4.019213270877332
Kaanju,Kaanju,kanj1260,7.312075885774568,5.0623011342374955
KuukuYau,KuukuYau,kuuk1238,24.61019633120035,25.65485544999342
Umpila,Umpila,umpi1239,4.321793583732137,3.191035175778551
KuukThaayorre,KuukThaayorre,thay1249,6.510103896241354,4.045467457605392
YirYoront,YirYoront,yiry1245,37.23428104545249,26.229379045326144
KokNar,KokNar,kokn1236,21.259519535330565,10.381963503987883
KokoBera,KokoBera,gugu1254,32.999830876868586,14.503006873139654
FlindersIsland,FlindersIsland,flin1247,12.893936553609194,6.938730126670917
Kurtjar,Kurtjar,gurd1238,42.71318193573652,12.852433134780453
KKY,KKY,kala1377,1.4916225309088633,1.2610594357016265
KLY,KLY,kala1377,0.5305454176657874,0.33094840051818486
Mabuiag,Mabuiag,kala1377,6.404508713122496,5.084322098748193
GraniteRange,GraniteRange,wami1239,27.78363526112294,14.739439912078371
KukuYalanji,KukuYalanji,kuku1273,8.223047525688026,5.069449396468855
GuuguYimidhirr,GuuguYimidhirr,gugu1255,20.604898805254564,10.587571082770342
Djabugay,Djabugay,dyaa1242,17.2368254873493,10.443963765974214
Yidiny,Yidiny,yidi1250,8.238308995393485,5.158169193117896
Aminungo,Aminungo,biri1256,14.537125652215398,9.713659837687736
LowerBurdekin,LowerBurdekin,,49.66806218510313,33.76529136308627
Yambina,Yambina,biri1256,17.653046048982112,11.796106931633156
NatalDowns,NatalDowns,biri1256,28.12723438103742,18.238361916589373
Barna,Barna,biri1256,6.88030500381616,5.304619183898942
Belyando,Belyando,biri1256,11.149166982530575,8.946178704417308
Biri,Biri,biri1256,13.595522375591875,9.203431949190277
Gangulu,Gangulu,gang1268,6.036969735892447,4.258895865977597
BidyaraGungabula,BidyaraGungabula,gung1248,5.20420647289008,3.3570815964775997
Dharawala,Dharawala,bidy1243,6.938190129618158,5.271241948120683
Tambo,Tambo,bidy1243,11.157239374231605,8.383911212048565
Wadjabangayi,Wadjabangayi,bidy1243,9.960650778097095,7.820329932280168
Yiningay,Yiningay,bidy1243,17.245656609385883,15.450538261710998
Gunggari,Gunggari,kung1258,7.587255748718943,6.070782652867931
Guwamu,Guwamu,guwa1243,5.211262654702342,3.8771428310929332
Gunya,Gunya,guny1241,4.7463562033504205,3.5709436668429424
Margany,Margany,marg1253,21.360105675946798,22.014000037092227
UpperParoo,UpperParoo,bidy1243,21.707196749251292,16.06929105907548
Yirandali,Yirandali,yira1239,21.344491430991518,10.39417931312217
Dyirbal,Dyirbal,dyir1250,20.992425630540254,11.336727499577485
Nyawaygi,Nyawaygi,nyaw1247,37.04134087060421,24.04260118635054
Wargamay,Wargamay,warr1255,24.480312281223497,16.999056423765765
Warungu,Warungu,waru1264,12.027709820090434,7.112894984233525
Gudjal,Gudjal,gudj1237,16.055337242116078,9.156146157907491
GuguBadhun,GuguBadhun,gugu1253,9.593474418622334,6.202724210465898
Dharumbal,Dharumbal,dhar1248,40.727895290394954,11.608064062425468
Mbabaram,Mbabaram,mbab1239,37.19825099447191,12.222511782166945
Bindal,Bindal,bind1236,14.079866972183076,7.817917815090856
Coonambella,Coonambella,wulg1239,19.69744423790856,14.926316586521745
Wulguru,Wulguru,wulg1239,11.395632465472227,7.9384973597370205
Kukatj,Kukatj,guga1239,17.115178983925684,7.635652306909976
