label,name,glottocode,weightedSpikes,weightedSpikes_median
BodicTshangla,Tshangla,tsha1245,30.29085199226804,29.056077829414132
DengDarangTaraon,Darang Taraon,diga1241,12.130470063181145,10.213503467292854
DengYidu,Yidu,idum1241,15.968491422298985,14.623606844379452
TaniBokar,Bokar,boka1249,27.529946461088965,26.19175343983868
ChepangChepang,Chepang,chep1245,22.161306956154494,20.69855724021606
KirantiBahing,Bahing,bahi1252,34.054919517152506,32.99319654082247
KirantiThulung,Thulung,thul1246,21.225908591881442,19.94030815728535
KirantiKhaling,Khaling,khal1275,4.452197890715012,3.0458944317195495
KirantiKulung,Kulung,kulu1253,10.589284621521772,9.378843481029866
KirantiBantawa,Bantawa,bant1281,18.95881718996044,17.83721056583248
KirantiLimbu,Limbu,limb1266,13.370253515887184,11.93315908650841
KirantiHayu,Hayu,wayu1241,54.883532418894184,49.2754371923753
BurmishAchang,Achang,acha1249,7.255923959927931,6.908265423393888
BurmishXiandao,Xiandao,xian1249,3.251749596964104,2.6024712925389486
BurmishAtsi,Atsi,zaiw1241,8.804048966675104,8.548739197173198
BurmishBola,Bola,pela1242,4.06897549477118,3.834454893436324
BurmishMaru,Maru,maru1249,4.11414119940505,3.7595384561774683
BurmishLashi,Lashi,lash1243,1.9326379976486847,1.2745918685872233
BurmishOldBurmese,Old Burmese,oldb1235,2.6334448174037486,2.2281326679105846
BurmishRangoon,Rangoon Burmese,nucl1310,1.3157308198771334,0.8484171223603861
LoloishLisu,Lisu,lisu1250,24.20877976245935,23.43780151987498
KhroskyabsWobzi,Wobzi Khroskyabs,eree1240,15.203036650866837,14.21315159333211
rGyalrongDaofu,Daofu,horp1240,27.24648758397365,26.11183347671467
rGyalrongJaphug,Japhug,japh1234,5.15874769690817,3.597103802992841
rGyalrongMaerkang,Maerkang rGyalrong,situ1238,11.857560150314745,10.829351545167341
Tangut,Tangut,tang1334,27.608611731221764,26.297737894033613
QiangicZhaba,Zhaba,zhab1238,29.861098285165852,28.61458854595575
TibetanAlike,Alike Tibetan,amdo1237,3.5715611786297914,3.1453075144621248
TibetanXiahe,Xiahe Tibetan,amdo1237,5.562078446495658,5.228740086077243
TibetanBatang,Batang Tibetan,kham1282,14.691537912177806,13.830934656594378
TibetanLhasa,Lhasa Tibetan,utsa1239,4.21729994597397,3.700840261967719
TibetanOldTibetan,Old Tibetan,clas1254,8.162513590197417,4.798204305408751
NungicDulong,Dulong,drun1238,17.969433205873845,16.516988431428068
TibetoKinauriBunan,Bunan,gahr1239,23.34643849999535,22.14012872967161
TibetoKinauriByangsi,Byangsi,byan1241,13.098867183175567,11.290159978686606
TibetoKinauriRongpo,Rongpo,rong1264,75.94949683475807,73.37380343683768
ChinHakha,Hakha,haka1240,4.343102262111677,2.866644669208619
MizoLushai,Mizo (Lushai),lush1249,41.74520266393543,40.55852432381545
NagaUkhrul,Ukhrul,ukhr1238,38.59763721513479,37.334392523702995
Karbi,Karbi (Mikir),karb1241,30.915140204104933,29.301317468637308
GaroGaro,Garo,garo1247,25.704015516961697,24.1825058696799
Rabha,Rabha,rabh1238,15.849314088197476,13.996409899315797
JingphoJingpho,Jingpho,jing1260,8.309438511722812,6.385614274262657
SiniticBeijing,Beijing Chinese,beij1235,2.4511016933182104,1.6460817988016119
SiniticChaozhou,Chaozhou Chinese,chao1238,3.1950993322218606,2.715262601471837
SiniticJieyang,Jieyang Chinese,chao1239,3.499010288096468,3.0306490870384803
SiniticGuangzhou,Guangzhou Chinese,guan1279,5.2927162042952345,4.323961795219302
SiniticLonggang,Longgang Chinese,hakk1236,12.703840109217747,12.252122066999826
SiniticXingning,Xingning Chinese,hakk1236,11.600022605616484,11.275759026831688
SiniticOldChinese,Old Chinese,oldc1244,7.328498965084774,4.173007884438588
