label,Name,Glottocode,weightedSpikes,weightedSpikes_median
CourlandLivonian,Courland Livonian,west1760,26.70122308178042,21.69929980911903
StandardEstonian,Standard Estonian,esto1258,7.786261175127832,5.425029188860179
VoroSouthEstonian,Võro South Estonian,sout2679,20.467784768514615,16.94449208946288
WesternVotic,Western Votic,west2391,15.77838211357575,11.372821733710017
Ingrian,Ingrian,ingr1248,10.381600789196678,7.543643295541817
KarelianProper,Karelian Proper,kare1335,11.184633533439902,8.896686724302606
Veps,Veps,veps1250,24.86925370619155,21.454391521560684
StandardFinnish,Standard Finnish,finn1318,5.043690978727055,3.1690627065109642
InariSaami,Inari Saami,inar1241,11.55940137080694,8.977921759725916
KildinSaami,Kildin Saami,kild1236,21.377859026193995,18.6036417295484
SkoltSaami,Skolt Saami,skol1241,12.551071549613207,10.20456017855211
NorthSaami,North Saami,nort2671,4.506618483903349,2.9347445587891094
PiteSaami,Pite Saami,pite1240,20.108796336689196,16.21715841370502
UmeSaami,Ume Saami,umes1235,9.084904336769801,6.285776467530169
SouthSaami,South Saami,sout2674,36.467702143193435,31.863636251969044
Erzya,Erzya,erzy1239,136.04449547650356,113.27111234156423
MeadowMari,Meadow Mari,east2328,82.03195404803591,63.22409253336172
KomiPermyak,Komi-Permyak,komi1269,14.331400891407657,11.07305455270631
KomiZyrian,Komi-Zyrian,komi1268,15.192084094194561,12.36971836045224
Udmurt,Udmurt,udmu1245,38.5328403781603,31.603653306210692
Hungarian,Hungarian,hung1274,140.87396674958194,115.69580960570568
SosvaMansi,Sosva Mansi,nort2677,61.61333831333311,47.34451540721247
VakhVasyuganKhanty,Vakh-Vasyugan Khanty,fare1244,57.74605760696944,43.93531314608312
Nganasan,Nganasan,ngan1291,57.95428808086119,45.47259077701982
Selkup,Selkup,tazz1244,64.62815431999016,51.866517966435
TundraNenets,Tundra Nenets,nene1249,54.407569103257295,42.820156624297766
