label,Name,Glottocode,weightedSpikes,weightedSpikes_median
Aztec_Tetelcingo_30,Aztec_Tetelcingo-30,tete1251,1.4418636163236143,1.074709542686832
Aztec_Zacapoaxtla_31,Aztec_Zacapoaxtla-31,high1278,5.603636862021005,5.164138735224799
Classical_Aztec_29,Classical_Aztec-29,clas1250,2.899379307562208,2.6255616042480434
Pipil_32,Pipil-32,pipi1250,2.997159796003577,1.922452438702033
Tubar_24,Tubar-24,tuba1279,11.385104230449535,9.717688007824178
Cora_27,Cora-27,elna1235,12.694880312142182,11.435815499759858
Huichol_28,Huichol-28,huic1243,13.456933386758688,12.214885144703247
Northern_Tepehuan_19,Northern_Tepehuan-19,nort2959,3.645943797874913,2.9367255401428274
Papago_Pima_17,Papago-Pima-17,toho1245,5.021751852995091,4.671087055849771
Pima_de_Onavas_18,Pima_de_Onavas-18,pima1248,8.800819056628633,8.453458405301795
Southeastern_Tepehuan_33,Southeastern_Tepehuan-33,sout2976,13.471749219404927,13.075885839070045
Eudeve_21,Eudeve-21,eude1234,6.267837732405045,5.2671899310263735
Opata_20,Opata-20,opat1246,15.628674173163809,14.965663660916716
Mayo_25,Mayo-25,mayo1264,2.544248186212246,2.28058482717623
Yaqui_26,Yaqui-26,yaqu1251,2.6616664830140997,2.3663774822495047
Guarijio_22,Guarijio-22,huar1255,3.0485818397553626,2.526984912610206
Tarahumara_23,Tarahumara-23,cent2131,11.319739753984685,10.86866137284749
Cahuilla_12,Cahuilla-12,cahu1264,5.804020599461913,4.949195430630833
Cupeno_13,Cupeno-13,cupe1243,11.364143238969824,10.672410327576271
Luiseno_14,Luiseno-14,luis1253,17.317013750167153,16.511158465515592
Gabrielino_15,Gabrielino-15,tong1329,18.083340162205037,17.04664078717968
Kitanemuk_34,Kitanemuk-34,kita1252,9.72558250876482,9.055556707272311
Serrano_11,Serrano-11,serr1255,5.9910213726859505,5.205540776331201
Chemehuevi_7,Chemehuevi-7,chem1251,7.054979033567372,6.741411519885457
Southern_Paiute_8,Southern_Paiute-8,sout2969,3.318717000022434,3.050675636123531
Southern_Ute_9,Southern_Ute-9,utee1244,8.82212929209833,8.469453582016856
Kawaiisu_6,Kawaiisu-6,kawa1283,9.41387924897023,8.961613503511423
Comanche_5,Comanche-5,coma1245,8.292168364737725,7.840625246620691
Shoshoni_Gosiute_Dialect_4,Shoshoni_Gosiute_Dialect-4,gosi1242,1.5695138251059868,1.3067561264188758
Pannamint_3,Pannamint-3,pana1305,4.733694811718264,4.432283599930372
Mono_1,Mono-1,mono1275,6.865480129218242,6.334928229714592
Northern_Paiute_2,Northern_Paiute-2,nort2954,5.77352445543612,5.331020136617389
Hopi_16,Hopi-16,hopi1249,23.148659400308354,22.46994108009217
Tubatulabel_10,Tubatulabel-10,tuba1278,21.239280821111958,20.66807352921671
Kiowa_35,Kiowa-35,kiow1266,26.830930126387873,23.505157198468797
San_Juan_Pueblo_Tewa_36,San_Juan_Pueblo_Tewa-36,sanj1276,18.91445646541298,16.088074607824687
