lang_sister,lang,cherry,n_loans,glottocode,area,glottocode_1,glottocode_2,median_distance,mean_distance,mean_distance_water,median_distance_water,area_sister,median_distance_sister,median_distance_water_sister,area_ratio
AlbanianGheg,AlbanianStandard,1,4,alba1267,32738,alba1267,gheg1238,103.564,105.467,3579.589,2885.852,9768,47.372,4570.632,1.20942474591376
AlbanianStandard,AlbanianGheg,1,2,gheg1238,9768,gheg1238,alba1267,47.372,50.077,5296.499,4570.632,32738,103.564,2885.852,-1.20942474591376
AngloNorman,OldFrench,5,0,oldf1239,76136,oldf1239,angl1258,90.573,93.061,824.76,583.394,262582,404.083,1239.632,-1.23804219943325
Assamese,Bengali,32,0,beng1280,438306,beng1280,assa1263,427.679,466.692,2814.552,1764.752,211157,339.914,5454.429,0.730315363966729
Belarusian,Ukrainian,25,0,ukra1253,623000,ukra1253,bela1254,360.328,371.139,2358.003,1831.507,211348,167.195,1208.379,1.08104045479553
Bengali,Assamese,32,1,assa1263,211157,assa1263,beng1280,339.914,400.596,8775.702,5454.429,438306,427.679,1764.752,-0.730315363966729
BretonGwened,BretonTreger,15,0,treg1244,2806,treg1244,vann1244,48.153,48.763,1655.584,1429.817,4870,71.301,815.326,-0.551333955414229
BretonTreger,BretonGwened,15,2,vann1244,4870,vann1244,treg1244,71.301,72.835,976.248,815.326,2806,48.153,1429.817,0.551333955414229
Czech,Slovak,26,0,slov1269,44767,slov1269,czec1258,102.359,112.738,2457.88,2223.639,77270,178.847,748.634,-0.54583452109575
Dutch,Flemish,22,0,vlaa1240,3209,vlaa1240,dutc1256,21.213,23.398,370.97,318.767,41766,146.535,273.661,-2.56612324928686
Elfdalian,Swedish,20,1,swed1254,441626,swed1254,elfd1234,323.851,339.957,1190.46,721.11,15180,1,916.951,3.37048459807382
Flemish,Dutch,22,0,dutc1256,41766,dutc1256,vlaa1240,146.535,158.728,339.844,273.661,3209,21.213,318.767,2.56612324928686
FrancoProvencal,French,6,0,stan1290,285988,stan1290,fran1269,292.966,276.501,1072.549,964.966,45285,71.631,1046.745,1.84297400007072
French,FrancoProvencal,6,1,fran1269,45285,fran1269,stan1290,71.631,77.05,1351.936,1046.745,285988,292.966,964.966,-1.84297400007072
Friulian,Ladin,10,9,ladi1250,212,ladi1250,friu1240,71.451,71.296,1747.403,1617.508,4756,98.387,2112.296,-3.11057598313866
GaelicManx,GaelicScottish,18,3,scot1245,31076,scot1245,manx1243,352.98,346.163,3626.135,1553.796,805,182.829,1335.736,3.65334881865175
GaelicScottish,GaelicManx,18,1,manx1243,805,manx1243,scot1245,182.829,182.011,1333.717,1335.736,31076,352.98,1553.796,-3.65334881865175
Gawri,Palula,34,3,ashr1238,656,ashr1238,kala1373,37.071,37.122,5262.644,4987.841,15237,85.46,9134.465,-3.14532117052527
German,GermanBernese,23,0,swis1247,82430,swis1247,stan1295,124.09,121.646,980.846,908.16,37000,71.575,844.229,0.801031535680912
GermanBernese,German,23,0,stan1295,37000,stan1295,swis1247,71.575,77.634,999.414,844.229,82430,124.09,908.16,-0.801031535680912
GreekCappodocian,GreekPontic,2,0,pont1253,53980,pont1253,capp1239,277.726,315.366,7800.785,7355.029,125464,393.15,6215.544,-0.843405257242265
GreekPontic,GreekCappodocian,2,12,capp1239,125464,capp1239,pont1253,393.15,378.612,7509.451,6215.544,53980,277.726,7355.029,0.843405257242265
Hawrami,KurdishCJafi,42,0,cent1972,97314,cent1972,hawr1243,130.102,131.939,11481.7,10018.127,1832,6.171,10237.878,3.97253459748167
Hindi,Urdu,33,0,urdu1245,26828,urdu1245,hind1269,1,0,8098.631,7602.972,1321354,646.8,3958.23,-3.89696612918886
Italian,Milanese,11,0,mila1243,29279,mila1243,ital1282,177.142,175.98,1604.855,1250.767,21145,178.231,1355.951,0.325467064579967
Kashubian,Polish,27,0,poli1260,45082,poli1260,kash1274,126.811,119.937,925.134,744.88,5490,23.133,618.553,2.10555479823833
Khowar,PashaiNorthWest,36,14,nort2665,16571,nort2665,khow1242,225.436,227.205,17563.189,15588.444,29926,295.823,6993.459,-0.591073488113571
KurdishCJafi,Hawrami,42,0,hawr1243,1832,hawr1243,cent1972,6.171,7.155,13060.899,10237.878,97314,130.102,10018.127,-3.97253459748167
Ladin,Friulian,10,2,friu1240,4756,friu1240,ladi1250,98.387,99.362,2233.483,2112.296,212,71.451,1617.508,3.11057598313866
Latgalian,Latvian,31,1,latv1249,27800,latv1249,east2282,69.872,93.107,1578.783,1320.024,27567,67.194,1920.042,0.00841661550973386
Latvian,Latgalian,31,3,east2282,27567,east2282,latv1249,67.194,70.567,2872.511,1920.042,27800,69.872,1320.024,-0.00841661550973376
Mazanderani,Tati,41,1,take1255,3036,take1255,maza1291,112.612,112.925,7535.233,6229.082,41697,251.719,6518.345,-2.61988832423735
MeglenoRomanian,Romanian,13,7,roma1327,237598,roma1327,megl1237,580.493,571.857,5004.033,4125.948,1525,305.988,4154.949,5.04858575988527
Milanese,Italian,11,1,ital1282,21145,ital1282,mila1243,178.231,178.189,1704.585,1355.951,29279,177.142,1250.767,-0.325467064579967
OldFrench,AngloNorman,5,0,angl1258,262582,angl1258,oldf1239,404.083,413.904,2491.453,1239.632,76136,90.573,583.394,1.23804219943325
Oscan,Umbrian,14,0,umbr1253,38988,umbr1253,osca1245,115.919,128.375,3018.524,2478.535,33296,114.214,3602.806,0.157816636823685
OsseticDigor,OsseticIron,37,1,iron1242,11558,iron1242,digo1242,41.073,41.226,5612.367,4691.109,2636,16.782,6416.945,1.47811522125533
OsseticIron,OsseticDigor,37,3,digo1242,2636,digo1242,iron1242,16.782,17.201,6688.544,6416.945,11558,41.073,4691.109,-1.47811522125533
Palula,Gawri,34,3,kala1373,15237,kala1373,ashr1238,85.46,90.109,11759.626,9134.465,656,37.071,4987.841,3.14532117052527
PashaiNorthWest,Khowar,36,17,khow1242,29926,khow1242,nort2665,295.823,298.558,7931.536,6993.459,16571,225.436,15588.444,0.591073488113571
Polish,Kashubian,27,2,kash1274,5490,kash1274,poli1260,23.133,25.918,669.86,618.553,45082,126.811,744.88,-2.10555479823833
Romanian,MeglenoRomanian,13,11,megl1237,1525,megl1237,roma1327,305.988,305.804,5105.64,4154.949,237598,580.493,4125.948,-5.04858575988527
SardinianLogudoro,SardinianNuoro,12,0,nuor1238,2485,nuor1238,logu1236,14.208,15.16,3122.192,2666.633,5778,30.375,1824.313,-0.843784942495451
SardinianNuoro,SardinianLogudoro,12,0,logu1236,5778,logu1236,nuor1238,30.375,30.623,2323.767,1824.313,2485,14.208,2666.633,0.843784942495451
Slovak,Czech,26,0,czec1258,77270,czec1258,slov1269,178.847,173.847,996.673,748.634,44767,102.359,2223.639,0.54583452109575
Slovene,SloveneKostel,30,1,lowe1384,192,lowe1384,slov1268,51.12,52.993,15060.657,14724.094,2570,71.89,2318.915,-2.59416580586148
SloveneKostel,Slovene,30,0,slov1268,2570,slov1268,lowe1384,71.89,71.678,2681.802,2318.915,192,51.12,14724.094,2.59416580586148
SorbianLower,SorbianUpper,28,1,uppe1395,2340,uppe1395,lowe1385,17.903,19.431,634.201,522.022,2210,19.545,869.003,0.0571584138399486
SorbianUpper,SorbianLower,28,2,lowe1385,2210,lowe1385,uppe1395,19.545,20.825,905.573,869.003,2340,17.903,522.022,-0.0571584138399486
Swedish,Elfdalian,20,0,elfd1234,15180,elfd1234,swed1254,1,0,1170.115,916.951,441626,323.851,721.11,-3.37048459807382
Tati,Mazanderani,41,5,maza1291,41697,maza1291,take1255,251.719,246.227,7607.672,6518.345,3036,112.612,6229.082,2.61988832423735
TocharianA,TocharianB,4,2,tokh1243,245431,tokh1243,tokh1242,266.514,301.214,24866.776,23015.439,45925,1,18430.5,1.67600621756575
TocharianB,TocharianA,4,2,tokh1242,45925,tokh1242,tokh1243,1,0.202,18166.896,18430.5,245431,266.514,23015.439,-1.67600621756575
Ukrainian,Belarusian,25,1,bela1254,211348,bela1254,ukra1253,167.195,185.733,1695.812,1208.379,623000,360.328,1831.507,-1.08104045479553
Umbrian,Oscan,14,0,osca1245,33296,osca1245,umbr1253,114.214,122.009,4437.113,3602.806,38988,115.919,2478.535,-0.157816636823685
Urdu,Hindi,33,0,hind1269,1321354,hind1269,urdu1245,646.8,601.618,5482.159,3958.23,26828,1,7602.972,3.89696612918886
