lang,lang_sister,cherry,n_loans,p_loans,glottocode,area,glottocode_1,glottocode_2,median_distance,mean_distance,mean_distance_water,median_distance_water,area_sister,median_distance_sister,median_distance_water_sister,n_loans_sister,p_loans_sister,area_ratio
Adnyamathanha,Parnkala,1,5,1.3550135501355,adny1235,31690,adny1235,bang1339,194.419,188.427,46658.01,40058.339,137712,340.155,34119.648,4,1.09289617486339,-1.46916337420429
Alngith,Linngithigh,40,0,0,alng1239,579,alng1239,leni1238,23.677,23.967,803.657,589.486,7437,91.016,4183.414,0,0,-2.5529203431303
Alyawarr,Antekerrepenhe,3,4,1.14613180515759,alya1239,151243,alya1239,east2379,181.158,183.526,19221.048,16253.573,78182,101.844,24401.011,3,1.80722891566265,0.659848372820343
Antekerrepenhe,Alyawarr,3,3,1.80722891566265,east2379,78182,east2379,alya1239,101.844,108.387,27181.792,24401.011,151243,181.158,16253.573,4,1.14613180515759,-0.659848372820343
Arabana,Wangkangurru,25,11,2.9023746701847,arab1267,109279,arab1267,wang1290,197.238,192.933,18686.321,18416.11,229028,288.4,110691.092,11,3.47003154574133,-0.7399400218468
Awabakal,Karree,69,0,0,awab1243,11913,awab1243,awab1243,1,0,1894.523,1308.396,11913,1,1308.396,0,0,0
Balkurra,Ngarrindjeri,88,0,0,yara1254,12730,yara1254,narr1259,59.887,59.909,8417.238,5568.124,7795,36.438,4544.532,0,0,0.490478910059575
Bandjalang,Githabul,78,1,0.25706940874036,band1358,8061,band1358,gida1240,37.992,38.578,2702.189,1508.218,9490,40.374,16318.887,1,0.282485875706215,-0.163200994320373
Barna,Belyando,52,0,0,biri1256,6778,biri1256,biri1256,190.777,188.355,16612.253,17994.922,8645,181.785,12708.464,0,0,-0.243299045950394
Bayali,GoorengGooreng,83,0,0,baya1257,8245,baya1257,gure1255,92.42,90.657,6797.725,3688.97,28220,143.293,22309.691,0,0,-1.23042399041311
Belyando,Barna,52,0,0,biri1256,8645,biri1256,biri1256,181.785,186.698,14775.704,12708.464,6778,190.777,17994.922,0,0,0.243299045950394
Bibbulman,Pinjarra,7,0,0,bibb1234,24887,bibb1234,nyun1247,754.924,757.885,5071.75,4257.248,45152,850.886,5756.116,0,0,-0.595688996888734
Bigambal,GlenInnes,86,0,0,biga1237,41382,biga1237,yuga1244,147.935,149.086,14601.914,10676.474,8168,99.118,1362.71,0,0,1.62262192281484
Bindjali,HOPKINSRIVER,91,0,0,warr1257,13531,warr1257,warr1257,2699.923,2701.9,8324.429,5137.564,24006,2719.798,2735.052,0,0,-0.573320449821646
Biri,Gangulu,53,5,1.58227848101266,biri1256,8645,biri1256,gang1268,457.661,462.632,14775.704,12708.464,76396,563.547,11661.244,1,0.392156862745098,-2.17894921964565
Birrpayi,Iyora,71,0,0,sydn1236,7958,sydn1236,sydn1236,270.816,272.686,1255.73,1025.206,4468,293.678,1090.275,0,0,0.577236830797783
Bularnu,Warluwarra,98,4,1.46520146520147,bula1255,45977,bula1255,warl1256,70.496,75.783,14350.254,13075.659,112883,133.359,18217.206,3,1.03092783505155,-0.898210612639805
CentralAnmatyerr,WesternArrarnta,4,4,2.01005025125628,anma1239,84818,anma1239,west2441,108.864,109.32,35475.431,33287.382,150376,212.85,146495.429,5,2.10970464135021,-0.572631039890341
ChampionBay,Nhanta,6,0,0,nhan1238,48319,nhan1238,nhan1238,1,0,16301.697,13150.025,48319,1,13150.025,2,0.625,0
Coonambella,Wulguru,58,1,0.409836065573771,wulg1239,10950,wulg1239,wulg1239,1,0,38067.336,32466.986,10950,1,32466.986,1,0.350877192982456,0
DawsonRiver,WakaWaka,84,0,0,waka1274,43541,waka1274,waka1274,1,0,11459.508,7081.625,43541,1,7081.625,0,0,0
Dharawala,Tambo,54,0,0,bidy1243,35590,bidy1243,bidy1243,167.095,159.548,14307.266,13167.57,33114,150.71,21815.623,1,1.0752688172043,0.0721085458366822
Dharumbal,Mbabaram,61,2,0.896860986547085,dhar1248,11783,dhar1248,mbab1239,1047.093,1046.207,6372.73,5335.998,7063,999.702,7357.914,4,1.92307692307692,0.511787924304418
Djabugay,Yidiny,48,2,0.518134715025907,dyaa1242,4395,dyaa1242,yidi1250,48.488,49.681,5255.416,4684.416,4029,35.529,3872.185,2,0.649350649350649,0.0869493249279302
Duungidjawu,UpperBrisbaneRiver,85,1,0.335570469798658,duun1241,2332,duun1241,waka1274,9.603,10.114,1911.728,1307.332,43541,157.931,7081.625,0,0,-2.92697675444072
Gangulu,Biri,53,1,0.392156862745098,gang1268,76396,gang1268,biri1256,563.547,568.237,13795.276,11661.244,8645,457.661,12708.464,5,1.58227848101266,2.17894921964565
