Name,Description
Karlaaku,
Ngajumaya,"Better name for the language would be Marlpamaya (human language) rather than 'Ngajumaya"" (I language) (Doug Marmion, pc)"
Ngarinyin,
Worla,
Yapurarra,
Andajin,
Ngarlawangga,name changed from Ngalawangka per Doug Marmion
Ngarluma,
Martuthunira,
Nhuwala,
Palyku,
Panyjima,
Kurrama,
Nyamal,
Kariyarra,
Jurruru,
Wanamara,
Mangala,
Mayi-Kulan,
Ngawun,
Mayi-Yapi,
Mayi-Kutuna,
Ayapathu,
Mayi-Thakurti,
Kuuku Yani,
Kuuku-Ya'u,
Kugu Nganhcara,
Kaanju,
Wik Mungkan,
Badjiri,
Wadjabangayi,
Gungabula,
Gunggari,
Bidjara,
Yirandhali,
Guwamu,
Gunya,
Muruwari,
Margany,
Ritharrngu,
Nganyaywana,
Goreng,
Minang,
Nyunga,
Wudjari,
Parrintyi,
Kurnu,
Pantyikali,
Southern Paakantyi,
Flinders Island,
Guugu-Yimidhirr,
Mbabaram,
Barrow Point,
Kuku Thaypan,
Ngalakgan,
Rembarrnga,
Mbeiwum,
Yatay,
Umpila,
Yinwum,
Yadhaykenu,
Linngithigh,
Luthigh,
Anguthimri,
Aritinngithigh,
Muthanthi,
Uradhi,
Yupngayth,
Ndra'ngith,
Alngith,
Paaruntyi,
Malak Malak,
Kukatja,
Yulparija,
Nyaki Nyaki,
Nganakarti,
Balardung,
Wajuk,
Kukatj,
Amangu,
Wuthathi,
Mpalityan,Changed from Mpalitjanh
Mpakwithi,
Atampaya,
Angkamuthi,
Awngthim,
Gudang,
Luthigh,
Duungidjawu,
WakaWaka,
Guweng,
Batyala,
GoorengGooreng,
Gubbi Gubbi,
Yangman,
Wardaman,
Warluwarra,
Dagoman,
Bularnu,
Yanyuwa,
Yindjilandji,
Wakaya,
Warumungu,
Wirangu,
Guyani,
Guwar,
Nunukal,"Related to yagara, given by Tindale as the name of the Northern group of Stradbroke Island.
(changed from Nukunul to Nunukal per Bill Pascoe)"
Yagara,
Turrbul,
Janday,"Djindewal, Jandai"
Umbugarla,
Ngaduk,"In Birch's 2006 map, Ngaduk is also shown on the Western side of the river, north of Gonbudj."
Ngomburr,
Bukurnidja,
Wuli Wuli,
Gonbudj,
Bayali,
Barunggam,
Pinjarup,
Wiilman,
Wardandi,
Bibbulman,
Lardil,
Kaniyang,
Kayardild,
Yukulta,
Ngadjuri,
Minkin,
Parnkala,
Nauo,
Adnyamathanha,
Nukunu,
Narrungga,
Kaurna,
