name,fid,tessellate,extrude,visibility,layer,path,description
Galaagu,1,1,0,-1,NatjuCluster,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=NatjuCluster,
Ngatyumaya,2,1,0,-1,NatjuCluster,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=NatjuCluster,"Better name for the language would be Marlpamaya (human language) rather than 'Ngajumaya"" (I language) (Doug Marmion, pc)"
Ngarinyin,3,1,0,-1,Ngarinyinic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngarinyinic,
Worla,4,1,0,-1,Ngarinyinic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngarinyinic,
Yapurarra,5,1,0,-1,Ngayarta,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngayarta,
Andajin,6,1,0,-1,Ngarinyinic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngarinyinic,
Ngarlawangga,7,1,0,-1,Ngayarta,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngayarta,name changed from Ngalawangka per Doug Marmion
Ngarluma,8,1,0,-1,Ngayarta,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngayarta,
Martuthunira,9,1,0,-1,Ngayarta,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngayarta,
Nhuwala,10,1,0,-1,Ngayarta,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngayarta,
Palyku,11,1,0,-1,Ngayarta,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngayarta,
Panyjima,12,1,0,-1,Ngayarta,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngayarta,
Kurrama,13,1,0,-1,Ngayarta,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngayarta,
Nyamal,14,1,0,-1,Ngayarta,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngayarta,
Kariyarra,15,1,0,-1,Ngayarta,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngayarta,
Jurruru,16,1,0,-1,Ngayarta,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Ngayarta,
Wanamara,17,1,0,-1,Mayi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Mayi,
Mangala,18,1,0,-1,Marrngu,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Marrngu,
Mayi-Kulan,19,1,0,-1,Mayi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Mayi,
Ngawun,20,1,0,-1,Mayi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Mayi,
Mayi-Yapi,21,1,0,-1,Mayi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Mayi,
Mayi-Kutuna,22,1,0,-1,Mayi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Mayi,
Ayapathu,23,1,0,-1,Middle,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Middle,
Mayi-Thakurti,24,1,0,-1,Mayi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Mayi,
Kuuku Yani,25,1,0,-1,Middle,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Middle,
Kuuku-Ya'u,27,1,0,-1,Middle,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Middle,
Kugu Nhanhcara,29,1,0,-1,Middle,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Middle,
Kaanju,30,1,0,-1,Middle,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Middle,
Wik Mungkan,31,1,0,-1,Middle,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Middle,
Badjiri,33,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,
Wadjabangayi,34,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,
Gungabula,35,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,
Gunggari,36,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,
Bidjara,37,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,
Yiningay,38,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,
Guwamu,39,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,
Gunya,40,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,
Muruwari,41,1,0,-1,SouthEastern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=SouthEastern,
Margany,42,1,0,-1,South Maric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=South Maric,
Ritharrngu,43,1,0,-1,Southern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern,
Nganyaywana,44,1,0,-1,SouthEastern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=SouthEastern,
Goreng,45,1,0,-1,Southern (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#2),
Minang,46,1,0,-1,Southern (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#2),
Nyunga,47,1,0,-1,Southern (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#2),
Wudjari,48,1,0,-1,Southern (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#2),
Danggali,49,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Barundji,50,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Barindji,51,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Kurnu,52,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Wilyagali,53,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Southern Paakantyi,54,1,0,-1,Paakintyi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paakintyi,
Flinders Island,55,1,0,-1,Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paman,
Guugu-Yimidhirr,56,1,0,-1,Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paman,
Mbabaram,57,1,0,-1,Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paman,
Barrow Point,58,1,0,-1,Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Paman,
Kuku Thaypan,60,1,0,-1,Rarmul Paman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Rarmul Paman,
