language_id,glottocode,glottolog_name,polygon_file,polygon_name,fuzzy_score,polygon_group
Adnyamathanha,adny1235,Adnyamathanha,AustralianPolygons.kml,Adnyamathanha,100,
AghuTharrnggala,aghu1254,Aghu Tharnggalu,AustralianPolygons.kml,Aghu Tharnggala,93,
Alngith,alng1239,Alngith,AustralianPolygons.kml,Alngith,100,
Alyawarr,alya1239,Alyawarr,AustralianPolygons.kml,Alyawarr,100,
Aminungo,biri1256,Biri,AustralianPolygons.kml,Biri,100,
Antekerrepenhe,east2379,Eastern Arrernte,AustralianPolygons.kml,Antekerrepenhe,100,
Arabana,arab1267,Arabana,AustralianPolygons.kml,Arabana,100,
Awabakal,awab1243,Awabakal,SnappedLangs.gpkg,Awabakal,100,
Ayapathu,ayab1239,Yintyinka-Ayabadhu,AustralianPolygons.kml,Ayapathu,100,
Badimaya,badi1246,Badimaya,AustralianPolygons.kml,Badimaya,100,
Badjiri,badj1244,Badjirri,AustralianPolygons.kml,Badjiri,100,
Balkurra,yara1254,Yaraldi,AustralianPolygons.kml,Yaraldi,100,
Bandjalang,band1358,Bandjalang,SnappedLangs.gpkg,Bandjalang,100,
Barna,biri1256,Biri,AustralianPolygons.kml,Barna,100,
BarrowPoint,barr1247,Barrow Point,AustralianPolygons.kml,Barrow Point,96,
Batyala,baty1234,Butchulla,AustralianPolygons.kml,Batyala,100,
Bayali,baya1257,Bayali,AustralianPolygons.kml,Bayali,100,
Belyando,biri1256,Biri,AustralianPolygons.kml,Biri,100,
Bibbulman,bibb1234,Bibbulman,AustralianPolygons.kml,Bibbulman,100,
BidyaraGungabula,gung1248,Gungabula,AustralianPolygons.kml,Gungabula,100,
Bigambal,biga1237,Bigambal,AustralianPolygons.kml,Bigambal,100,
Bilinarra,ngar1235,Ngarinman,AustralianPolygons.kml,Bilinarra,100,
Bindal,bind1236,Bindal-Mount Elliot,AustralianPolygons.kml,Bindal,100,
Bindjali,warr1257,Warrnambool,AustralianPolygons.kml,Bindal,86,
Biri,biri1256,Biri,AustralianPolygons.kml,Biri,100,
Birrpayi,sydn1236,Sydney,AustralianPolygons.kml,Birrpayi,100,
Bularnu,bula1255,Bularnu,AustralianPolygons.kml,Bularnu,100,
Bunganditj,bung1264,Bunganditj,AustralianPolygons.kml,Bunganditj,100,
CentralAnmatyerr,anma1239,Anmatyerre,AustralianPolygons.kml,Anmatyerr,95,
ChampionBay,nhan1238,Nhanda,AustralianPolygons.kml,Nhanda,100,
Colac,cola1237,Colac,,,(60 for Worla),
Coobenpil,yaga1256,Yagara-Jandai,,,(63 for Yagara),
Coonambella,wulg1239,Wulguru,AustralianPolygons.kml,Wulguru,100,
CoopersCreek,,,,,(50 for Erre),
Dalla,waka1274,Wakawaka,AustralianPolygons.kml,WakaWaka,100,
