lang,name,glottocode,weightedSpikes,weightedSpikes_median
AlbanianArberesh,Albanian: Arbëresh,arbe1236,6.4636825722490405,4.658720059886972
AlbanianGheg,Albanian: Gheg,gheg1238,3.0303680541681395,2.43237005703447
AlbanianStandard,Albanian: Standard,alba1267,3.3090728617338745,2.646257040581901
AncientGreek,Greek: Ancient,anci1242,2.860271511595257,2.0688324105236604
Greek,Greek: Modern Std,mode1248,2.235792681772138,1.761026747369678
GreekCappodocian,Greek: Cappadocian,capp1239,5.2255695585925475,3.6327978497621998
GreekPontic,Greek: Pontic,pont1253,3.7661682728556385,2.931982270294724
GreekCypriot,Greek: Cypriot,cypr1249,4.736195822938205,3.481019639131419
GreekItaliot,Greek: Italiot,apul1236,5.249818816333584,3.8761625560607884
NTGreek,Greek: New Testament,koin1234,2.903952188127854,2.070113839123848
MycenaeanGreek,Greek: Mycenaean,myce1241,2.9142170095167668,2.127946151885424
ArmenianEastern,Armenian: Eastern,nucl1235,2.6634323658798915,2.1165471002218856
ArmenianWestern,Armenian: Western,homs1234,4.09016309681836,3.171559511360441
ClassicalArmenian,Armenian: Classical,clas1249,2.942796300664353,2.1323320848103973
TocharianA,Tocharian A,tokh1242,6.078588605251362,4.61350328538387
TocharianB,Tocharian B,tokh1243,3.939741174434792,2.961364268500547
AngloNorman,Anglo-Norman,angl1258,2.7859275483979595,1.9831365627975517
OldFrench,Old French,oldf1239,1.9906403801991817,1.6858710912185593
FrancoProvencal,Franco-Provençal,fran1269,4.762877002765665,3.7839827817226372
French,French,stan1290,1.5187380455177977,1.2083638333182736
Walloon,Walloon,wall1255,3.7573462566229736,2.9051226826658163
OldOccitan,Old Occitan,oldp1253,4.936439387938331,4.190063568280253
Catalan,Catalan,stan1289,2.322101432452834,1.7645291243365397
OldCatalan,Old Catalan,oldc1251,2.1995282347359284,1.8099709992210933
OldSpanish,Old Spanish,olds1249,3.3830252659162645,2.8495244468774463
Spanish,Spanish,stan1288,3.002059426676614,2.321102808832543
Portuguese,Portuguese,port1283,0.8704828392426031,0.6571987114723948
