lang,rate_15150000,rate_15900000,rate_15990000,rate_16020000,rate_16480000,rate_16610000,rate_17580000,rate_18550000,rate_19800000,rate_20160000,rate_21060000,rate_21250000,rate_21350000,rate_22260000,rate_24310000,rate_24440000,rate_24500000,rate_24870000,rate_26210000,rate_27470000,rate_27510000,rate_28950000,rate_31920000,rate_33880000,rate_34060000,rate_34240000,rate_35880000,rate_37350000,rate_37730000,rate_38090000,rate_38430000,rate_38450000,rate_38680000,rate_39490000,rate_39530000,rate_39730000,rate_40510000,rate_42530000,rate_43170000,rate_43300000,rate_43580000,rate_44090000,rate_48090000,rate_49810000,rate_51180000,rate_54530000,rate_54940000,rate_55010000,rate_56710000,rate_58570000,rate_58890000,rate_58940000,rate_59060000,rate_61790000,rate_62350000,rate_63150000,rate_63550000,rate_63940000,rate_66220000,rate_66730000,rate_67310000,rate_67600000,rate_67720000,rate_68470000,rate_69020000,rate_69330000,rate_69440000,rate_69670000,rate_71100000,rate_71360000,rate_71630000,rate_71880000,rate_73160000,rate_73770000,rate_73960000,rate_75490000,rate_78400000,rate_80330000,rate_80850000,rate_81690000,rate_81800000,rate_82810000,rate_84240000,rate_84940000,rate_86390000,rate_86450000,rate_88250000,rate_88480000,rate_88600000,rate_88810000,rate_89520000,rate_91130000,rate_91990000,rate_92880000,rate_93090000,rate_96010000,rate_97240000,rate_97730000,rate_99660000,rate_99790000
Hittite,1.622507,1.504262,1.016912,1.413883,1.094922,0.962897,1.021033,1.297327,1.240465,1.265655,0.848346,0.533361,0.938675,1.536532,1.314238,0.806693,1.001868,0.664995,1.501659,0.364232,0.712408,0.925269,0.841883,0.785434,0.907706,0.801918,0.793647,0.900249,1.317962,2.350641,1.294774,0.830254,1.114525,0.786896,0.600783,0.714240,0.958193,0.940231,1.590331,0.591910,0.496470,0.599958,0.974725,1.669173,1.144678,1.014483,1.152830,0.958575,0.768880,1.043216,1.398112,0.929158,2.162339,1.886820,0.426880,1.242797,0.819324,0.382333,0.514550,1.096067,0.557545,1.052445,1.581790,0.350776,0.775281,0.673033,0.709808,0.544789,1.345024,0.752237,1.117765,0.816390,0.746185,0.744043,0.989311,0.635343,0.737598,1.482626,0.596587,1.202090,0.707024,0.227104,1.765905,0.860299,0.397937,0.654865,1.204191,0.945975,0.368121,1.286404,1.270035,1.414314,1.276153,0.949294,0.671664,1.531683,1.198206,0.851120,2.483380,1.719367
Luvian,2.075360,0.956388,1.823401,1.835276,0.944102,1.180975,1.276531,4.926658,1.120856,1.036770,2.918753,1.262909,1.554550,1.062721,0.928129,1.354045,1.390068,1.568567,1.948946,0.632104,0.875667,2.230715,1.779974,1.019996,1.089206,1.385229,0.809672,1.154932,0.837059,1.411917,1.560503,1.192522,1.768471,1.614203,2.103480,1.786953,1.020619,1.196339,1.032316,1.736264,1.243862,2.291024,0.840619,1.253942,1.835814,1.343680,1.190149,1.423720,2.544926,1.324911,1.138164,1.839423,1.244234,1.446632,1.138376,1.088864,1.777814,1.140447,0.788271,1.791127,2.262538,1.091230,0.414941,1.026992,1.021644,1.676979,1.560655,0.819323,1.107761,2.713162,1.151929,1.156677,1.185738,1.074248,1.148208,1.230286,2.439390,1.579236,1.489059,1.969708,1.499503,1.585274,0.839669,1.335121,0.950564,1.282622,2.039839,0.547865,0.683326,0.831750,2.062441,0.719467,1.384042,0.890754,1.651997,2.160698,0.838317,0.678078,1.966536,2.664102
TocharianA,0.680784,1.545505,1.060558,0.583904,1.821534,1.115387,0.925095,0.886200,1.172072,1.543996,1.377183,0.633504,0.670426,1.137162,0.985766,0.653303,1.023817,1.101329,1.502387,7.507214,4.929540,0.335377,1.058986,1.039538,1.156551,1.456065,2.404398,1.090704,1.711577,1.040231,1.188551,0.661494,2.021126,0.835365,0.851280,1.395325,0.695868,1.094881,2.498119,2.593667,4.993068,1.569734,1.906264,1.501754,0.976906,1.845339,0.710926,0.709961,0.754339,0.880352,1.380934,1.356186,1.537043,2.171680,1.410694,0.734729,1.633590,0.558504,1.099053,0.450126,1.005003,0.771721,0.963764,0.897421,1.571416,2.002115,0.450348,1.120604,1.113753,0.761341,1.545473,1.734042,1.305199,2.239053,1.039969,1.441952,1.455016,0.885376,1.589696,1.657265,3.211164,1.268543,0.724298,1.389056,1.465365,0.616405,0.603275,1.149410,2.733974,0.469763,1.202313,0.869140,1.429752,0.686627,1.343090,0.958555,0.643049,0.810129,0.949542,1.071740
TocharianB,0.628449,0.606294,0.309233,0.676117,0.780547,0.585734,0.361739,1.436345,1.117582,0.515353,1.754836,0.604857,0.674916,0.560310,0.483621,0.402063,0.888744,0.781769,1.189412,0.566797,0.962852,0.791274,0.626828,0.560448,1.162088,0.445583,0.803487,0.466904,0.522679,1.429500,1.902270,1.837455,0.745377,0.585970,0.593932,0.249893,0.438318,0.807474,0.642583,0.522436,0.762457,0.293683,2.058616,1.684036,0.542682,0.723792,0.246835,0.485962,0.684136,0.955472,0.527693,1.095234,0.765773,0.311819,0.929843,0.763318,0.469261,0.632344,0.551772,1.252480,0.847180,0.387260,0.596283,0.936347,0.753016,0.587610,0.527448,0.643379,0.452489,1.086440,1.069126,0.480360,1.289401,0.744450,0.406565,0.841093,0.245585,0.757135,2.272710,0.589373,0.950642,0.885264,0.706557,0.950173,0.722284,0.737494,0.776022,0.975064,0.863780,0.843619,0.759068,0.719768,0.838994,0.593252,0.276947,1.034130,0.870893,0.241956,1.343106,0.725380
MycenaeanGreek,0.481652,0.552423,2.339923,1.053058,1.261735,0.812256,1.242894,1.542370,0.928474,2.265557,1.346306,0.381976,1.360686,0.715496,1.700258,1.294174,0.353497,1.751590,1.100458,0.657004,0.598517,0.374946,1.312130,1.286303,1.040512,1.794803,1.801825,0.554670,1.168380,0.761500,0.753562,1.240542,1.005854,0.677985,0.626423,0.481011,0.367587,1.396375,0.800877,1.957338,0.662022,1.119170,0.940094,1.112641,2.490090,0.472804,0.294484,1.235816,1.008976,0.638461,0.425374,0.552801,1.066320,0.648644,0.270423,0.631536,0.990583,1.252923,1.008838,0.685062,0.587674,0.812775,0.442791,0.539508,1.292572,1.500191,1.405159,0.735193,1.391014,0.699047,0.787024,0.468930,0.722108,0.561701,1.306384,2.525021,0.626704,0.498628,0.522280,1.629163,0.525759,1.426502,0.882678,1.678508,2.085279,0.864480,1.263107,1.230713,0.845069,0.637866,1.440544,0.873911,0.773260,0.753053,0.352942,0.340557,2.487955,1.043005,0.803450,0.749319
AncientGreek,2.526703,1.080506,1.261867,0.814703,0.472429,2.506401,0.912309,1.139158,0.955193,0.911389,1.008651,1.148820,1.104960,2.638621,1.118202,0.510020,1.003994,2.035808,0.844956,0.408308,1.866454,0.685068,1.053641,0.300000,0.311518,0.762124,0.822026,0.366474,2.417180,0.493659,0.537206,0.927587,0.613151,0.268282,0.253595,1.847009,0.999700,1.165634,1.081911,0.375027,0.853930,0.871410,1.515201,1.217481,1.815938,1.008250,0.781156,0.664267,0.761151,0.810507,0.489063,0.505084,1.197351,0.966605,1.152063,1.393454,0.777287,0.269975,0.913086,0.387375,0.456896,0.731983,0.776568,0.535181,1.734958,0.806009,0.452456,0.510388,0.187238,1.511461,0.854007,0.496364,0.605695,0.861156,0.557861,0.463175,2.052578,0.840962,0.975379,0.393362,0.510522,1.090877,0.622377,1.014231,0.812349,0.749990,1.179283,1.489055,0.474018,0.570524,0.778783,1.881151,0.967916,0.986339,0.751670,1.827518,0.473336,0.740829,0.383768,0.399704
NTGreek,1.491736,1.866029,1.171904,0.727473,0.749436,1.237960,0.974131,0.689198,0.437624,0.353823,1.051909,0.690534,0.496706,0.735979,1.829088,3.354223,1.397863,0.855947,0.710709,1.415290,0.388802,0.689048,0.944547,1.566378,0.307685,0.862357,1.103712,1.549259,1.539562,0.816716,1.425298,1.410211,0.948106,1.171265,1.331394,2.437333,2.245426,0.708129,1.977232,1.217927,0.653073,1.055308,0.909631,1.373040,0.694674,0.299483,0.512059,1.477737,1.038185,0.868906,1.841410,1.097813,0.350125,0.603524,0.659333,0.293941,1.727303,0.467667,0.559974,0.515293,0.563255,0.228107,0.476750,2.406549,1.019101,1.213696,0.548895,0.898694,0.478542,0.699170,0.847780,0.565184,1.340601,1.212584,0.334937,1.922809,0.942164,0.285481,1.425457,0.514421,0.646289,0.607088,0.850579,1.481959,0.453958,0.912504,0.426300,0.416584,0.466038,0.808332,0.532913,0.874798,1.510106,0.719597,1.140237,2.836673,4.087636,1.152241,1.282773,0.258139
Greek,0.365309,0.443259,0.968085,0.599029,0.552218,0.665701,0.586862,0.235352,0.730483,0.743606,0.888899,0.549134,0.791027,0.590888,0.587005,0.623474,0.498133,0.337143,0.469920,0.337681,0.323012,0.788242,0.356692,0.574835,0.584360,0.630600,0.673021,0.281362,0.282511,0.577279,0.602307,0.718015,0.405826,0.533675,0.738494,0.863951,0.689804,0.486254,0.687619,0.486347,0.456694,1.146037,0.374769,0.493932,0.521295,0.267420,0.392003,0.318730,0.255261,0.238313,0.341737,1.068632,0.678616,0.637538,0.490917,0.207998,0.289461,0.560513,0.494521,0.153338,0.686237,0.665323,0.973848,0.978415,0.508697,0.497071,0.429657,0.873899,0.320945,0.502122,0.361253,0.617027,0.670579,0.614302,0.386494,0.497349,0.945105,0.553544,0.359436,0.238835,0.306440,0.709883,0.358885,0.713398,0.532611,0.817356,1.209529,0.412279,0.274947,0.340576,0.289802,0.565057,0.412742,0.606027,0.727508,0.500461,0.484877,0.574282,0.557034,0.554026
GreekCappodocian,1.349981,1.707437,1.517950,1.514792,1.044548,0.743769,0.882481,1.098942,1.163899,1.782151,0.905811,1.355178,1.833342,1.459570,1.265810,1.267213,1.247364,1.218160,1.214905,2.210299,2.357389,1.874750,1.777689,1.938997,2.343381,2.101571,2.034125,2.879494,2.110520,1.259056,1.522751,1.594508,1.988900,1.973007,2.103713,1.648602,0.730916,1.037014,1.216145,1.200817,0.804396,1.097106,2.613362,1.676735,2.258981,1.959179,1.816652,1.910022,3.769024,1.139187,1.841147,1.201534,1.691506,1.232675,1.409139,0.992454,0.961787,1.574601,1.830050,1.081382,2.409338,1.472789,2.695897,2.017348,2.239283,1.444487,1.421345,1.550835,1.502263,1.847356,2.567018,2.897933,2.708371,1.985152,2.959178,2.840330,1.693177,1.486274,2.837840,2.603201,2.386465,1.813492,1.357543,1.572375,2.403299,1.273653,1.959647,1.705023,1.357478,1.082691,1.773703,1.824422,1.407774,1.356407,1.470529,1.860479,0.938587,2.189633,0.843998,0.874602
GreekPontic,0.576548,0.630055,0.798390,0.820347,0.812994,0.574115,0.520195,0.731065,0.610601,0.703057,0.399886,0.423084,0.728797,0.770668,0.536175,0.846837,0.874716,0.544847,0.522846,0.908509,1.164083,0.524900,0.859554,0.771755,1.400612,1.207862,0.884842,1.232286,0.525159,0.474030,0.498178,0.498679,0.997545,0.635518,0.390190,0.413816,0.513126,0.455127,0.569216,0.575966,0.320379,0.398832,1.511061,1.238251,0.908985,1.179870,0.887586,1.082026,1.568337,0.738008,0.775238,0.939176,0.866813,0.570851,0.504328,0.594394,0.425082,0.695446,0.986649,0.616972,1.180176,0.710006,0.844394,1.460984,0.988026,0.573799,0.926651,0.477262,0.657950,0.514740,1.251514,1.462065,0.418789,0.873564,1.312254,1.140664,0.723703,0.383403,1.826153,1.909879,0.705627,1.035153,0.923912,0.789076,0.681307,0.522289,0.902990,0.606482,0.727687,0.885161,0.975232,0.822973,0.748966,0.773085,0.692221,0.682899,0.564385,0.959380,0.300339,0.396557
