label,name,glottocode,rate,rate_median
AlbanianArberesh,Albanian: Arbëresh,arbe1236,0.0053939306765243104,0.004930310913509956
AlbanianGheg,Albanian: Gheg,gheg1238,0.00275120565336212,0.0024661133020298666
AlbanianStandard,Albanian: Standard,alba1267,0.00360574141437971,0.0032115549930384624
AncientGreek,Greek: Ancient,anci1242,0.003346104138747595,0.002862588576880729
Greek,Greek: Modern Std,mode1248,0.002070676692420877,0.0019546251862921247
GreekCypriot,Greek: Cypriot,cypr1249,0.004401166581929439,0.004164543246692647
GreekCappodocian,Greek: Cappadocian,capp1239,0.003940277328300921,0.003752047483579933
GreekItaliot,Greek: Italiot,apul1236,0.004472980417327783,0.004267551281780331
GreekPontic,Greek: Pontic,pont1253,0.0022611256314706766,0.0021712723043403707
NTGreek,Greek: New Testament,koin1234,0.002711108540759969,0.002171368486072049
MycenaeanGreek,Greek: Mycenaean,myce1241,0.0035583822423266853,0.00300840529733585
ArmenianEastern,Armenian: Eastern,nucl1235,0.0022645745756968458,0.002047643391060105
ArmenianWestern,Armenian: Western,homs1234,0.003947130828311747,0.0035598458276549306
ClassicalArmenian,Armenian: Classical,clas1249,0.003427439719012699,0.0029129295448964703
AngloNorman,Anglo-Norman,angl1258,0.003276485873458646,0.0030940682727748116
FrancoProvencal,Franco-Provençal,fran1269,0.003973499826607702,0.0035563322091659946
French,French,stan1290,0.0018732977265165337,0.0016963749886005962
Walloon,Walloon,wall1255,0.002819200008617938,0.0026261578768762167
OldOccitan,Old Occitan,oldp1253,0.005641207591405743,0.005131924579323738
Catalan,Catalan,stan1289,0.0010290049220409354,0.0010054624711958418
OldCatalan,Old Catalan,oldc1251,0.0037990335276143396,0.003333967288944849
OldSpanish,Old Spanish,olds1249,0.004372717561227734,0.0038999491146141053
Spanish,Spanish,stan1288,0.001628682981859878,0.0015769927282118193
Portuguese,Portuguese,port1283,0.0017708944253707582,0.0015808877313989154
PortugueseBrazilian,Portuguese: Brazilian,braz1246,0.005218658091894797,0.004635411478717766
DalmatianVegliote,Dalmatian: Vegliote,dalm1243,0.005739180789613584,0.005456068588411847
Ladin,Ladin,ladi1250,0.0040575937896274936,0.0037615908953721484
Friulian,Friulian,friu1240,0.002982881753625747,0.0028231068456425227
Italian,Italian,ital1282,0.00158697594504036,0.0014409263582932544
Milanese,Milanese,mila1243,0.0055416315026913365,0.005002162054739127
Neapolitan,Neapolitan,neap1235,0.003246981887099455,0.0030706259242451192
SardinianLogudoro,Sardinian: Logudoro,logu1236,0.0020989227498354264,0.001915129532510789
SardinianNuoro,Sardinian: Nuoro,nuor1238,0.004723083887891101,0.00428811392566617
MeglenoRomanian,Megleno-Romanian,megl1237,0.004496313967299335,0.0041689652822159
Romanian,Romanian,roma1327,0.003043689824205065,0.002825139847989742
Latin,Latin,lati1261,0.0028661621266671392,0.0025161038252474732
Oscan,Oscan,osca1245,0.004045529384741716,0.0035948447963488023
Umbrian,Umbrian,umbr1253,0.002697316716968484,0.002394139731642421
BretonGwened,Breton: Gwened,vann1244,0.00410443891314473,0.003792649632378944
BretonTreger,Breton: Treger,treg1244,0.0023909736798791137,0.002220506148106617
MiddleBreton,Middle Breton,midd1359,0.0030677926526276496,0.002673069021646564
LateCornish,Late Cornish,corn1251,0.0025190380325476286,0.002392132650654603
MiddleCornish,Middle Cornish,midd1380,0.005233135445553915,0.0046810337299999505
OldBreton,Old Breton,oldb1248,0.0027184741347059706,0.002435141916973184
MiddleWelsh,Middle Welsh,midd1363,0.002169010063874472,0.0017781590971284273
WelshNorth,Welsh: North,nort2668,0.0017185643951324037,0.0016646235134047662
OldWelsh,Old Welsh,oldw1241,0.004345707996672821,0.003823708685033461
Gaulish,Gaulish,tran1282,0.003795944147422359,0.0033937863945784717
GaelicIrish,Gaelic: Irish,iris1253,0.001640300375305246,0.0015757104153394331
GaelicManx,Gaelic: Manx,manx1243,0.004523605162956387,0.004062403314530369
GaelicScottish,Gaelic: Scottish,scot1245,0.0033821245834559834,0.0032257487243881854
OldIrish,Old Irish,oldi1245,0.0036328180802535975,0.00319869767148847
Danish,Danish,dani1285,0.003134657296980885,0.0028816025528760015
NorwegianBokmal,Norwegian: Bokmål,norw1259,0.0030533595876492204,0.0026830875917091654
NorwegianNynorsk,Norwegian: Nynorsk,norw1262,0.003247474453234774,0.002849828946205859
Elfdalian,Elfdalian,elfd1234,0.005154379535263289,0.004798018622091156
Swedish,Swedish,swed1254,0.0022505189476139465,0.0021010166638324263
OldSwedish,Old Swedish,olds1252,0.0023505758512344615,0.0021737101280038485
Faroese,Faroese,faro1244,0.0011047203410279147,0.0010824819372274802
Icelandic,Icelandic,icel1247,0.0014308807597990321,0.0014064654768318004
OldIcelandic,Old Icelandic,oldn1244,0.0058796779233858424,0.00528766177907225
Dutch,Dutch,dutc1256,0.0021616153034630624,0.001965146883833508
Flemish,Flemish,vlaa1240,0.0027181991464420427,0.002453866291079524
Frisian,Frisian,west2354,0.006836985717086225,0.006414397945930163
German,German,stan1295,0.001542885358210856,0.0013938833020171457
GermanBernese,German: Bernese,swis1247,0.0053357083207784435,0.004791035071063778
Luxembourgish,Luxembourgish,luxe1241,0.005299026039071899,0.004963744163756318
MiddleDutch,Middle Dutch,midd1321,0.004512637940915869,0.003998831802015119
MiddleHighGerman,Middle High German,midd1343,0.0015305235684109938,0.0013824072174365054
OldFrisian,Old Frisian,oldf1241,0.0018952012162272375,0.0017739250528363835
OldHighGerman,Old High German,oldh1241,0.003894587244839933,0.0034368092827346216
OldSaxon,Old Saxon,olds1250,0.0034816150253694374,0.0032521554256974873
English,English,stan1293,0.005018397248654636,0.004974742804042757
OldEnglish,Old English,olde1238,0.002751044718340791,0.002367333191217841
Gothic,Gothic,goth1244,0.0031646495544818704,0.002841026094799373
Belarusian,Belarusian,bela1254,0.004343602640882274,0.0039335975171202395
Ukrainian,Ukrainian,ukra1253,0.002560611421870535,0.00233660355688406
Russian,Russian,russ1263,0.0037130549349894894,0.003510638138469249
Rusyn,Rusyn,rusy1239,0.0017694751160259392,0.001689712896584737
Czech,Czech,czec1258,0.002764586580514615,0.002416995645343172
Slovak,Slovak,slov1269,0.001971820383792124,0.0017307256826990449
OldCzech,Old Czech,oldc1253,0.004145400252328997,0.0036965342194239356
Kashubian,Kashubian,kash1274,0.0037228760551065673,0.003354119490177318
Polish,Polish,poli1260,0.0017460058997130525,0.001595004655090535
OldPolish,Old Polish,oldp1256,0.0038582877840596308,0.0034101617263514687
Polabian,Polabian,pola1255,0.008648999921664555,0.00815134893334072
SorbianLower,Sorbian: Lower,lowe1385,0.004093800985043739,0.0037023938209828694
SorbianUpper,Sorbian: Upper,uppe1395,0.0023065958994224196,0.002094248979823442
OldNovgorod,Old Novgorod,oldr1238,0.0022204419703614163,0.0019836123548449573
Bulgarian,Bulgarian,bulg1262,0.003123734576392095,0.0029231771483164666
Macedonian,Macedonian,mace1250,0.002448850644560779,0.002302931774404304
MacedonianSuho,Macedonian: Suho,sout3278,0.0041683370298932765,0.0037212620057391716
MacedonianVisoka,Macedonian: Visoka,sout3278,0.002996669788322436,0.002667518854048977
SerboCroatian,Serbo-Croat,croa1245,0.0016868602970211992,0.0016161446253621444
OldChurchSlavonic,Old Church Slavonic,chur1257,0.0032544753861550846,0.0028731225243953454
Slovene,Slovene,slov1268,0.001991174839259548,0.0017624520689131693
SloveneKostel,Slovene: Kostel,lowe1384,0.0032623111982501307,0.0028681685683358427
SloveneEarlyModern,Slovene: Early Modern,slov1268,0.0037327928525605746,0.003258269614898047
Latgalian,Latgalian,east2282,0.0025244579503481634,0.00228106628097028
Latvian,Latvian,latv1249,0.004660041439826866,0.004181376533580141
Lithuanian,Lithuanian,lith1251,0.003855995099663187,0.0036670747344863504
OldPrussian,Old Prussian,prus1238,0.004194295589837613,0.003971719121046059
Assamese,Assamese,assa1263,0.005990064964909864,0.0056089606391965825
Bengali,Bengali,beng1280,0.003040077319743746,0.0028429155435845555
Bhojpuri,Bhojpuri,bhoj1244,0.0021760323116574187,0.002083847206817461
Hindi,Hindi,hind1269,0.0021294819496815425,0.0019678187819222475
Urdu,Urdu,urdu1245,0.0063513102665936315,0.005859161515405675
Punjabi,Punjabi,panj1256,0.00497833882562557,0.004737992711722287
Magahi,Magahi,maga1260,0.0029695790259769306,0.0028182384321503717
Maithili,Maithili,mait1250,0.002974535212923419,0.0027976862886698447
Nepali,Nepali,east1436,0.0033646405810312746,0.0032735206641257815
Marathi,Marathi,mara1378,0.005067089456987654,0.00486365170896484
Kashmiri,Kashmiri,kash1277,0.004005569922310549,0.00393724349338379
Sinhalese,Sinhalese,sinh1246,0.004896169823927126,0.004772323693779095
Gawarbati,Gawarbati,gawa1247,0.004181971601607044,0.00404429798528887
Gawri,Gawri,kala1373,0.004465032252826629,0.0041948527172820625
Palula,Palula,ashr1238,0.004025615702583282,0.0037928731686229155
KalasalaNiseigram,Kalaṣa-alâ: Nišeigrâm,chim1297,0.005872135717410581,0.005460955046239317
SanuviriWama,Saṇu-viri: Wâmâ,ashk1246,0.004746224914015834,0.004453931550340292
