lang,name,glottocode,rate,rate_median
Adnyamathanha,Adnyamathanha,adny1235,2.2810981638412103e-06,2.1937343925177896e-06
Parnkala,Parnkala,bang1339,2.3063873532765366e-06,2.2176267745368652e-06
Guyani,Guyani,guya1249,1.6752653068730676e-06,1.5967646050793369e-06
Kaurna,Kaurna,kaur1267,3.825088586455273e-06,3.641071014710552e-06
Narrungga,Narrungga,naru1238,2.9909032049648893e-06,2.8702630704136692e-06
Nukunu,Nukunu,nugu1241,1.8085601667031151e-06,1.7455271307590123e-06
Ngadjuri,Ngadjuri,ngad1257,1.784462998271619e-06,1.679324719458483e-06
Wirangu,Wirangu,wira1265,1.7747119984160025e-06,1.7452492618932484e-06
Alyawarr,Alyawarr,alya1239,1.6004938403879697e-06,1.4947445474711352e-06
Antekerrepenhe,Antekerrepenhe,east2379,1.3759052163829481e-06,1.3048806858580775e-06
CentralAnmatyerr,CentralAnmatyerr,anma1239,2.5249812106097483e-06,2.407080308269016e-06
WesternArrarnta,WesternArrarnta,west2441,3.5952617501817018e-06,3.420899874908437e-06
Kaytetye,Kaytetye,kayt1238,2.5567189435258828e-06,2.456088514796545e-06
Badimaya,Badimaya,badi1246,1.923105098062753e-06,1.8581718324760543e-06
MuliarraTribe,MuliarraTribe,waja1257,2.6141065299923524e-06,2.444196160802931e-06
Wajarri,Wajarri,waja1257,2.0722471590762e-06,1.9762896775476214e-06
IrwinMurchison,IrwinMurchison,badi1246,1.663112301829246e-06,1.6122057466402416e-06
Kalaamaya,Kalaamaya,kala1401,2.0193647106175838e-06,1.9389237547340288e-06
ChampionBay,ChampionBay,nhan1238,3.928013258103658e-06,3.6971857752148674e-06
Nhanta,Nhanta,nhan1238,2.161574600466865e-06,2.056884087022866e-06
Malgana,Malgana,malg1242,2.1512534486787717e-06,2.0943318589355e-06
Bibbulman,Bibbulman,bibb1234,4.320999511886399e-06,4.115109215880482e-06
Pinjarra,Pinjarra,nyun1247,2.173487461360104e-06,2.084444928768023e-06
Kaniyang,Kaniyang,kani1276,1.6976135100621287e-06,1.6333091807490413e-06
Wardandi,Wardandi,nyun1247,2.2971256654979036e-06,2.2304070682856878e-06
NewNorciaandLeschenaultBay,NewNorciaandLeschenaultBay,nyun1247,1.9600769848478237e-06,1.8824498831459116e-06
Watjuk,Watjuk,nyun1247,2.4277935318273244e-06,2.3182751618571972e-06
Nyungar,Nyungar,nyun1247,1.4244870673688802e-06,1.375390943935302e-06
Eucla,Eucla,kala1379,3.4648616841632203e-06,3.2931714955780713e-06
Mirniny,Mirniny,mirn1245,1.903961024257473e-06,1.8233179456969444e-06
Ngadjumaya,Ngadjumaya,ngad1258,2.0582174551931895e-06,2.02395094889392e-06
Jiwarli,Jiwarli,djiw1241,2.1208514544499945e-06,1.9938841072478674e-06
Warriyangga,Warriyangga,wari1262,2.30348976067482e-06,2.1742797599294036e-06
Tharrgari,Tharrgari,dhar1247,2.067291622143576e-06,1.970991770297222e-06
Payungu,Payungu,bayu1240,1.9601159677689332e-06,1.9014474499610444e-06
Purduna,Purduna,burd1238,2.825658583518252e-06,2.68678823256164e-06
Thalanyji,Thalanyji,dhal1245,1.7567221832093067e-06,1.6843942383255215e-06
Yingkarta,Yingkarta,ying1247,2.0937466995308805e-06,2.0410931015880197e-06
Kariyarra,Kariyarra,kari1304,1.9913299917812773e-06,1.897986669951774e-06
Ngarluma,Ngarluma,ngar1287,2.071101308696417e-06,1.9379145601546487e-06
Kurrama,Kurrama,kurr1243,2.7459304788984026e-06,2.5861395724646413e-06
Yindjibarndi,Yindjibarndi,yind1247,2.1468099575048845e-06,2.065841690634537e-06
Panyjima,Panyjima,pany1241,2.180600549637733e-06,2.061413781157749e-06
Yinhawangka,Yinhawangka,pany1241,2.537640660062062e-06,2.4245844266372e-06
Ngarla,Ngarla,ngar1296,2.799996626746056e-06,2.6895377592569133e-06
Nyamal,Nyamal,nyam1271,2.5855847976283935e-06,2.5081765855806293e-06
Martuthunira,Martuthunira,mart1255,1.243399241638597e-06,1.2151234729118187e-06
Bilinarra,Bilinarra,ngar1235,1.7389903019340466e-06,1.6886193594424058e-06
Mudburra,Mudburra,mudb1240,4.177654622567964e-06,4.005783423544121e-06
MudburraMcC,MudburraMcC,mudb1240,2.977786210486514e-06,2.8366483875592962e-06
Gurindji,Gurindji,guri1247,1.6210984448758449e-06,1.5982212972430992e-06
Ngarinyman,Ngarinyman,ngar1235,2.19046220190536e-06,2.1283709508189543e-06
Malngin,Malngin,maln1239,1.4471318123711568e-06,1.4100381483846855e-06
Jaru,Jaru,jaru1254,3.806986963500438e-06,3.5417230108741182e-06
JaruMcC,JaruMcC,jaru1254,1.2634734710723282e-06,1.167540373315359e-06
Ngardily,Ngardily,nort2753,1.8128888715279425e-06,1.7533590488759944e-06
Warlmanpa,Warlmanpa,warl1255,1.7931976468280456e-06,1.7350722340557752e-06
Warumungu,Warumungu,waru1265,4.542802899335726e-06,4.421666772580946e-06
Warlpiri,Warlpiri,warl1254,2.4586328139143263e-06,2.3472309971954535e-06
Jiwarliny,Jiwarliny,walm1241,2.215692389367097e-06,2.1680955091465403e-06
WalmajarriNW,WalmajarriNW,walm1241,3.020628300199277e-06,2.9086076552807286e-06
WalmajarriHR,WalmajarriHR,walm1241,1.6774396527493934e-06,1.6251024413367136e-06
SouthernWalmajarri,SouthernWalmajarri,walm1241,1.950451838949225e-06,1.874541480737397e-06
WalmajarriBilliluna,WalmajarriBilliluna,walm1241,1.4836513801345759e-06,1.4483121265390377e-06
Karajarri,Karajarri,kara1476,1.5824452804434688e-06,1.5041402913199e-06
KarajarriNW,KarajarriNW,kara1476,2.863722457321964e-06,2.69948692576746e-06
NorthernNyangumarta,NorthernNyangumarta,nyan1301,2.94022482983518e-06,2.7789933349889827e-06
Nyangumarta,Nyangumarta,nyan1301,1.8109919060176396e-06,1.7091274093974752e-06
MangalaMcK,MangalaMcK,mang1383,2.554715366996706e-06,2.3737415637246663e-06
NorthernMangarla,NorthernMangarla,mang1383,2.052221695365134e-06,1.913923635695514e-06
MangalaNW,MangalaNW,mang1383,1.680692275250005e-06,1.5888469456532838e-06
Kartujarra,Kartujarra,kart1247,1.7685973622475662e-06,1.6974188475200921e-06
Warnman,Warnman,wanm1242,3.6748280786544756e-06,3.5543024630915627e-06
MartuWangka,MartuWangka,many1256,2.028757938926127e-06,1.987018016405696e-06
Yulparija,Yulparija,yulp1238,1.638939095614502e-06,1.5958945113333044e-06
Manjiljarra,Manjiljarra,mart1256,1.2383818481580687e-06,1.1961925309122707e-06
Ngaanyatjarra,Ngaanyatjarra,ngaa1240,1.6272074892192255e-06,1.5544655604258917e-06
Pitjantjatjara,Pitjantjatjara,pitj1243,1.945267559429184e-06,1.8311347300800803e-06
Wangkajunga,Wangkajunga,wang1288,1.177604910272556e-06,1.1012635350672511e-06
Wangkatja,Wangkatja,pint1251,2.0704301576554203e-06,1.8941210902562074e-06
