glottocode,area_cartesian
gheg1238,17912078814.0
nucl1235,61207024812.0
beng1280,117167821692.0
bulg1262,189690953192.0
bela1254,587455404954.0
stan1289,81364450402.0
czec1258,184838361945.0
dani1285,145253404382.0
dutc1256,108665710278.0
stan1293,632815243835.0
faro1244,12672970355.0
vlaa1240,7966140939.0
stan1290,1146754788444.0
west2354,8049775362.0
stan1295,1226144758159.0
mode1248,179983341774.0
hind1269,568382794183.0
icel1247,570896926316.0
iris1253,206538763647.0
ital1282,187439988403.0
kash1277,22258564208.0
ladi1250,448043945.0
latv1249,217508494584.0
lith1251,201525118600.0
uppe1395,4997433390.0
mara1378,295729719474.0
west2369,1310245386693.0
poli1260,825437405810.0
port1283,150115538331.0
roma1327,483077050267.0
russ1263,29428435075060.0
sout2614,8363176311.0
barb1262,8322902962.0
sinh1246,57825910261.0
slov1269,102683851153.0
stan1288,852870415155.0
swed1254,2149968614700.0
ukra1253,1396408574006.0
wakh1245,11321276124.0
wall1255,29356266253.0
hitt1242,562491107774.0
tokh1242,43548045083.0
tokh1243,229295323280.0
mace1250,44689427523.0
slov1268,43027174270.0
chur1257,105122108946.0
vedi1234,449874923900.0
prus1238,103380300170.0
anci1242,4616854099.0
mait1250,16132598990.0
lati1261,8735963225.0
scot1245,102103382885.0
nort2641,3163285535.0
urdu1245,13712655379.0
luxe1241,1223314977.0
friu1240,9895414910.0
iron1242,18719125556.0
digo1242,4321923103.0
oldi1245,242191745695.0
aves1237,2159968995090.0
osca1245,58741766984.0
oldp1254,592400715850.0
umbr1253,72469037809.0
alba1267,57568900692.0
maga1260,12750884391.0
manx1243,2260972613.0
olds1252,1268401233278.0
midd1359,61980369292.0
angl1258,675055433322.0
oldf1239,165813530623.0
bhoj1244,18159617212.0
corn1251,9473044691.0
midd1380,12476002921.0
nort2668,19482055038.0
midd1363,105549293114.0
kumz1235,1601852397.0
bakh1245,21461555149.0
maza1291,48629020388.0
assa1263,63070905493.0
take1255,3739356398.0
sout2645,45122605146.0
khow1242,24894737055.0
arbe1236,271382043.0
gawa1247,1127570106.0
kala1373,12212208388.0
oldh1241,518544833436.0
olds1250,184915223958.0
olde1238,399198073217.0
midd1343,518544833436.0
midd1321,192719448773.0
oldf1241,43363825962.0
oldn1244,592150136913.0
goth1244,126252875524.0
braz1246,150115538331.0
ashk1246,657499438.0
