lang,glottocode,area
AlbanianGheg,gheg1238,9768.0
ArmenianEastern,nucl1235,41852.0
Bengali,beng1280,438306.0
Bulgarian,bulg1262,103592.0
Belarusian,bela1254,211348.0
Catalan,stan1289,47469.0
Czech,czec1258,77270.0
Danish,dani1285,45678.0
Dutch,dutc1256,41766.0
English,stan1293,225571.0
Faroese,faro1244,2884.0
Flemish,vlaa1240,3209.0
French,stan1290,285988.0
Frisian,west2354,2929.0
German,stan1295,37000.0
Greek,mode1248,108066.0
Hindi,hind1269,1321354.0
Icelandic,icel1247,108271.0
GaelicIrish,iris1253,78621.0
Italian,ital1282,21145.0
Kashmiri,kash1277,31356.0
Ladin,ladi1250,212.0
Latvian,latv1249,27800.0
Lithuanian,lith1251,65820.0
SorbianLower,lowe1385,2210.0
SorbianUpper,uppe1395,2340.0
Marathi,mara1378,824498.0
PersianTehran,west2369,1326897.0
Polish,poli1260,45082.0
Portuguese,port1283,97473.0
Romanian,roma1327,237598.0
Russian,russ1263,10746547.0
SardinianLogudoro,logu1236,5778.0
SardinianNuoro,nuor1238,2485.0
Sinhalese,sinh1246,317812.0
Slovak,slov1269,44767.0
Spanish,stan1288,524406.0
Swedish,swed1254,441626.0
Ukrainian,ukra1253,623000.0
Wakhi,wakh1245,13244.0
Walloon,wall1255,12206.0
Hittite,hitt1242,373032.0
TocharianA,tokh1242,45925.0
TocharianB,tokh1243,245431.0
Macedonian,mace1250,25135.0
Slovene,slov1268,2570.0
OldChurchSlavonic,chur1257,60045.0
VedicEarly,vedi1234,726468.0
OldPrussian,prus1238,35672.0
AncientGreek,anci1242,2898.0
Maithili,mait1250,45678.0
Latin,lati1261,4806.0
GaelicScottish,scot1245,31076.0
KurdishNBahdini,nort2641,2221.0
Urdu,urdu1245,26828.0
Luxembourgish,luxe1241,516.0
Friulian,friu1240,4756.0
OsseticIron,iron1242,11558.0
OsseticDigor,digo1242,2636.0
OldIrish,oldi1245,90947.0
AvestanYounger,aves1237,2202769.0
Oscan,osca1245,33296.0
OldPersian,oldp1254,570436.0
Umbrian,umbr1253,38988.0
AlbanianStandard,alba1267,32738.0
Magahi,maga1260,38425.0
Elfdalian,elfd1234,15180.0
GaelicManx,manx1243,805.0
OldSwedish,olds1252,214665.0
MiddleBreton,midd1359,28843.0
Kashubian,kash1274,5490.0
Latgalian,east2282,27567.0
AngloNorman,angl1258,262582.0
OldFrench,oldf1239,76136.0
GreekCappodocian,capp1239,125464.0
GreekPontic,pont1253,53980.0
Palula,ashr1238,656.0
FrancoProvencal,fran1269,45285.0
Bhojpuri,bhoj1244,46872.0
BretonTreger,treg1244,2806.0
LateCornish,corn1251,4039.0
MiddleCornish,midd1380,5324.0
BretonGwened,vann1244,4870.0
WelshNorth,nort2668,7330.0
MiddleWelsh,midd1363,40862.0
Kumzari,kumz1235,1986.0
Bakhtiari,bakh1245,21277.0
SloveneEarlyModern,slov1268,2570.0
SloveneKostel,lowe1384,192.0
GermanBernese,swis1247,82430.0
Mazanderani,maza1291,41697.0
Assamese,assa1263,211157.0
KurdishCJafi,cent1972,97314.0
Tati,take1255,3036.0
Delvari,sout2645,52993.0
MeglenoRomanian,megl1237,1525.0
Hawrami,hawr1243,1832.0
Khowar,khow1242,29926.0
AlbanianArberesh,arbe1236,168.0
Gawarbati,gawa1247,1380.0
Gawri,kala1373,15237.0
PashaiNorthWest,nort2665,16571.0
OldHighGerman,oldh1241,230011.0
OldSaxon,olds1250,67788.0
OldEnglish,olde1238,149936.0
MiddleHighGerman,midd1343,230011.0
MiddleDutch,midd1321,77029.0
OldFrisian,oldf1241,15602.0
OldIcelandic,oldn1244,112416.0
Gothic,goth1244,44141.0
PortugueseBrazilian,braz1246,97473.0
Milanese,mila1243,29279.0
SanuviriWama,ashk1246,808.0
