lang,glottocode,area
AghuTharrnggala,aghu1254,15711
Alngith,alng1239,579
Aminungo,biri1256,8645
Ayapathu,ayab1239,13930
Barna,biri1256,6778
BarrowPoint,barr1247,3209
Belyando,biri1256,8645
BidyaraGungabula,gung1248,30952
Bindal,bind1236,13531
Biri,biri1256,8645
Coonambella,wulg1239,10950
Dharawala,bidy1243,35590
Dharumbal,dhar1248,11783
Djabugay,dyaa1242,4395
Dyirbal,dyir1250,10582
FlindersIsland,flin1247,1387
Gangulu,gang1268,76396
Gudang,guda1244,1987
Gudjal,gudj1237,21368
GuguBadhun,gugu1253,45119
Gugumini,ikar1243,9734
Gunggari,kung1258,29980
Gunya,guny1241,43586
GuuguYimidhirr,gugu1255,12785
Guwamu,guwa1243,68074
Ikarranggal,gurd1238,9734
Injinoo,angg1238,2198
KKY,kala1377,4517
KLY,kala1377,4517
Kaanju,kanj1260,8011
KokNar,kokn1236,16418
KuguNganhcara,wikn1246,10941
Kukatj,guga1239,12770
KukuYalanji,kuku1273,20634
Kurtjar,gurd1238,8042
KuukThaayorre,thay1249,2837
KuukuYau,kuuk1238,12452
Linngithigh,leni1238,7437
Mabuiag,kala1377,545
Margany,marg1253,58673
Mbabaram,mbab1239,7063
Mbakwithi,angu1242,3289
Mpalityan,mpal1237,4206
NatalDowns,biri1256,8645
Nyawaygi,nyaw1247,5606
Olkola,oyka1239,9347
Pakanh,paka1251,13862
Tambo,bidy1243,33114
Thaynakwith,alng1239,579
Umpila,umpi1239,6387
Umpithamu,umbi1243,1246
UpperParoo,bidy1243,33114
Uradhi,wuth1237,2398
UwOykangand,oyka1239,11257
Wadjabangayi,bidy1243,22670
Walangama,wala1263,9591
Wargamay,warr1255,5192
Warungu,waru1264,18620
WikMungkan,wikm1247,19494
Wulguru,wulg1239,10950
Yadhaykenu,yadh1237,10325
Yambina,biri1256,10187
Yidiny,yidi1250,4029
Yiningay,bidy1243,81354
Yinwum,yinw1236,2424
YirYoront,yiry1245,4311
Yirandali,yira1239,85197
