lang,glottocode,area
Adnyamathanha,adny1235,31690.0
AghuTharrnggala,aghu1254,15711.0
Alngith,alng1239,579.0
Alyawarr,alya1239,151243.0
Aminungo,biri1256,8645.0
Antekerrepenhe,east2379,78182.0
Arabana,arab1267,109279.0
Awabakal,awab1243,11913.0
Ayapathu,ayab1239,13930.0
Badimaya,badi1246,263128.0
Badjiri,badj1244,44143.0
Balkurra,yara1254,12730.0
Bandjalang,band1358,8061.0
Barna,biri1256,6778.0
BarrowPoint,barr1247,3209.0
Batyala,baty1234,3953.0
Bayali,baya1257,8245.0
Belyando,biri1256,8645.0
Bibbulman,bibb1234,24887.0
BidyaraGungabula,gung1248,30952.0
Bigambal,biga1237,41382.0
Bilinarra,ngar1235,22480.0
Bindal,bind1236,13531.0
Bindjali,warr1257,13531.0
Biri,biri1256,8645.0
Birrpayi,sydn1236,7958.0
Bularnu,bula1255,45977.0
Bunganditj,bung1264,37815.0
CentralAnmatyerr,anma1239,84818.0
ChampionBay,nhan1238,48319.0
Coonambella,wulg1239,10950.0
Dalla,waka1274,43541.0
Darkinyung,awab1243,18886.0
DawsonRiver,waka1274,43541.0
Dhangu,dhan1270,3670.0
Dharawal,thur1254,9595.0
Dharawala,bidy1243,35590.0
Dharuk,sydn1236,11790.0
Dharumbal,dhar1248,11783.0
Dhayyi,djar1245,6742.0
Dhudhuroa,dhud1236,49004.0
Dhurga,dhur1239,8207.0
Dhuwal,dhuw1249,14608.0
Dhuwala,mada1281,16555.0
Diyari,dier1241,62953.0
Djabugay,dyaa1242,4395.0
Djinang,djin1253,4019.0
Duungidjawu,duun1241,2332.0
Dyirbal,dyir1250,10582.0
FlindersIsland,flin1247,1387.0
Gamilaraay,gami1243,100272.0
Gangulu,gang1268,76396.0
Garlali,kala1380,38122.0
Githabul,gida1240,9490.0
GlenInnes,yuga1244,8168.0
Golpa,yann1237,1536.0
GoorengGooreng,gure1255,28220.0
Gudang,guda1244,1987.0
Gudjal,gudj1237,21368.0
GuguBadhun,gugu1253,45119.0
Gugumini,ikar1243,9734.0
Gumbaynggir,kumb1268,14172.0
Gundungurra,nort2760,41598.0
Gunggari,kung1258,29980.0
Gunya,guny1241,43586.0
Gurindji,guri1247,32553.0
GuuguYimidhirr,gugu1255,12785.0
Guwa,guwa1242,57738.0
Guwamu,guwa1243,68074.0
Guwar,guwa1244,477.0
Guyani,guya1249,83063.0
HOPKINSRIVER,warr1257,24006.0
Ikarranggal,gurd1238,9734.0
Injinoo,angg1238,2198.0
IrwinMurchison,badi1246,263128.0
Iyora,sydn1236,4468.0
Janday,jand1248,869.0
Jaru,jaru1254,161489.0
JaruMcC,jaru1254,161489.0
Jiwarli,djiw1241,57366.0
Jiwarliny,walm1241,160101.0
KKY,kala1377,4517.0
KLY,kala1377,4517.0
Kaanju,kanj1260,8011.0
Kalaamaya,kala1401,217474.0
Kalkatungu,kalk1246,72043.0
Kaniyang,kani1276,36277.0
Karajarri,kara1476,84988.0
KarajarriNW,kara1476,84988.0
Kariyarra,kari1304,89950.0
