glottocode,area_cartesian
sout2674,516106981264.0
umes1235,208758281654.0
pite1240,145431111254.0
nort2671,1129288081894.0
inar1241,88400758091.0
skol1241,231282981749.0
kild1236,280060514605.0
finn1318,1479333724410.0
kare1335,539935205654.0
veps1250,27972428677.0
ingr1248,4363160468.0
west2391,39170630257.0
esto1258,130439226756.0
sout2679,42580809078.0
west1760,58936677572.0
erzy1239,92139940294.0
east2328,116553519588.0
komi1268,2548569140799.0
komi1269,36535928492.0
udmu1245,151431103725.0
hung1274,503519852246.0
nort2677,629896043058.0
fare1244,580490351496.0
ngan1291,3263349497069.0
nene1249,4526107378607.0
tazz1244,1622446768779.0
