lang,glottocode,area
Aztec_Zacapoaxtla_31,high1278,17625.0
Cahuilla_12,cahu1264,25702.0
Chemehuevi_7,chem1251,19836.0
Comanche_5,coma1245,557078.0
Cora_27,elna1235,20814.0
Cupeno_13,cupe1243,1895.0
Eudeve_21,eude1234,15569.0
Gabrielino_15,tong1329,13753.0
Guarijio_22,huar1255,10273.0
Hopi_16,hopi1249,49944.0
Huichol_28,huic1243,9766.0
Kawaiisu_6,kawa1283,9964.0
Kiowa_35,kiow1266,321614.0
Kitanemuk_34,kita1252,9830.0
Mayo_25,mayo1264,121756.0
Mono_1,mono1275,26080.0
Northern_Paiute_2,nort2954,320141.0
Northern_Tepehuan_19,nort2959,9497.0
Opata_20,opat1246,81628.0
Pannamint_3,pana1305,34267.0
Papago_Pima_17,toho1245,208493.0
Pima_de_Onavas_18,pima1248,86438.0
Pipil_32,pipi1250,115415.0
Serrano_11,serr1255,32404.0
Southern_Paiute_8,sout2969,228852.0
Southern_Ute_9,utee1244,387637.0
Tubar_24,tuba1279,1645.0
Tubatulabel_10,tuba1278,11305.0
Yaqui_26,yaqu1251,34620.0
