language_1,language_2,glottocode_1,glottocode_2,median_distance,mean_distance
AlbanianGheg,AlbanianStandard,gheg1238,alba1267,47.3721837337874,50.077412284805
GreekCappodocian,GreekPontic,capp1239,pont1253,393.14963011071046,378.6122228693324
TocharianA,TocharianB,tokh1242,tokh1243,0.0,0.20159734719546343
AngloNorman,OldFrench,angl1258,oldf1239,404.0828217479982,413.9042338421615
FrancoProvencal,French,fran1269,stan1290,71.63068024633398,77.05031630295939
Friulian,Ladin,friu1240,ladi1250,98.38723060194744,99.36155628617338
Portuguese,PortugueseBrazilian,port1283,braz1246,0.0,0.0
SardinianLogudoro,SardinianNuoro,logu1236,nuor1238,30.375073559171113,30.622818691330487
MeglenoRomanian,Romanian,megl1237,roma1327,305.9882549813484,305.80377630371834
Oscan,Umbrian,osca1245,umbr1253,114.21421884483037,122.00929165784888
BretonGwened,BretonTreger,vann1244,treg1244,71.30086676616526,72.83501078580714
LateCornish,MiddleCornish,corn1251,midd1380,0.0,0.027930259252927213
GaelicManx,GaelicScottish,manx1243,scot1245,182.82876152284476,182.01119611668585
Icelandic,OldIcelandic,icel1247,oldn1244,0.0,0.01421783488327511
OldSwedish,Swedish,olds1252,swed1254,0.0,0.0
Dutch,Flemish,dutc1256,vlaa1240,146.53516445160992,158.7277290178679
German,GermanBernese,stan1295,swis1247,71.57460853621116,77.63368644938717
English,OldEnglish,stan1293,olde1238,0.0,42.69368876215025
Frisian,OldFrisian,west2354,oldf1241,0.0,0.15042935732252347
Czech,Slovak,czec1258,slov1269,178.84724248139264,173.84705824649197
SorbianLower,SorbianUpper,lowe1385,uppe1395,19.544606814489647,20.82488027260431
Slovene,SloveneKostel,slov1268,lowe1384,71.88973792228168,71.6776288859984
Latgalian,Latvian,east2282,latv1249,67.19434749779623,70.56655353807078
Assamese,Bengali,assa1263,beng1280,339.9142059951414,400.5961874479162
Bhojpuri,Magahi,bhoj1244,maga1260,401.2829552324664,406.20671474665875
Hindi,Urdu,hind1269,urdu1245,646.800057793504,601.617890509579
Gawri,Palula,kala1373,ashr1238,85.46022457153603,90.10861139960166
Khowar,PashaiNorthWest,khow1242,nort2665,295.8228483064422,298.5579143438477
Hawrami,Tati,hawr1243,take1255,353.02564403931365,353.5568068757397
KurdishCJafi,KurdishNBahdini,cent1972,nort2641,397.8879048376957,393.80751117758183
OsseticDigor,OsseticIron,digo1242,iron1242,16.781917121574615,17.200928916442205
Bakhtiari,Kumzari,bakh1245,kumz1235,843.2657847025407,840.8652213069932
AlbanianStandard,AlbanianGheg,alba1267,gheg1238,103.56376520929476,105.4671115362256
GreekPontic,GreekCappodocian,pont1253,capp1239,277.7259906882392,315.36645496610345
TocharianB,TocharianA,tokh1243,tokh1242,266.5141992164506,301.21413148168756
OldFrench,AngloNorman,oldf1239,angl1258,90.57320667164518,93.06062881089241
French,FrancoProvencal,stan1290,fran1269,292.9659118800762,276.500854778443
Ladin,Friulian,ladi1250,friu1240,71.45144000049139,71.2960385339207
PortugueseBrazilian,Portuguese,braz1246,port1283,0.0,0.0
SardinianNuoro,SardinianLogudoro,nuor1238,logu1236,14.208296921246593,15.159530571686734
Romanian,MeglenoRomanian,roma1327,megl1237,580.4927445100079,571.8565215388882
Umbrian,Oscan,umbr1253,osca1245,115.91882944883358,128.37541997387382
BretonTreger,BretonGwened,treg1244,vann1244,48.152543302505904,48.763392815126714
MiddleCornish,LateCornish,midd1380,corn1251,0.0,0.7413786768114832
GaelicScottish,GaelicManx,scot1245,manx1243,352.9795473183167,346.1628649871458
OldIcelandic,Icelandic,oldn1244,icel1247,0.0,0.06022332713768367
Swedish,OldSwedish,swed1254,olds1252,51.475857917650046,210.21452299207104
Flemish,Dutch,vlaa1240,dutc1256,21.21283225808958,23.397679584856956
GermanBernese,German,swis1247,stan1295,124.09017454003416,121.64563965047878
OldEnglish,English,olde1238,stan1293,0.0,0.5141925608007982
OldFrisian,Frisian,oldf1241,west2354,38.39890584803257,46.77101693833339
Slovak,Czech,slov1269,czec1258,102.35859100588576,112.73753941849606
SorbianUpper,SorbianLower,uppe1395,lowe1385,17.90273485081255,19.431192619849124
SloveneKostel,Slovene,lowe1384,slov1268,51.11987691012981,52.99271533989549
Latvian,Latgalian,latv1249,east2282,69.87174065578773,93.10677699091089
Bengali,Assamese,beng1280,assa1263,427.6793977904984,466.6923914655823
Magahi,Bhojpuri,maga1260,bhoj1244,337.672861479346,335.772161595655
Urdu,Hindi,urdu1245,hind1269,0.0,0.0
Palula,Gawri,ashr1238,kala1373,37.07078293423466,37.12213774401769
PashaiNorthWest,Khowar,nort2665,khow1242,225.43635763468387,227.20538888642008
Tati,Hawrami,take1255,hawr1243,370.36587041027695,370.2251957453386
KurdishNBahdini,KurdishCJafi,nort2641,cent1972,232.2459029063192,230.37284543830788
OsseticIron,OsseticDigor,iron1242,digo1242,41.07290212520804,41.226242859759864
Kumzari,Bakhtiari,kumz1235,bakh1245,743.8751905145076,745.242758218217
