language_1,language_2,median_distance,mean_distance
arbe1236,gheg1238,962248.9559627024,961991.005544526
arbe1236,alba1267,725588.2065274189,725017.3830260776
gheg1238,alba1267,62716.7415242832,66038.74307545669
bela1254,russ1263,304685.55066231266,343480.20062668103
czec1258,slov1269,258356.14629556405,252579.9745794386
midd1380,corn1251,0.0,955.3523583072891
manx1243,scot1245,311252.2686058228,309723.5625996047
olds1252,swed1254,0.0,0.0
faro1244,icel1247,1031557.259399144,1037131.272494863
faro1244,oldn1244,1028966.1879633139,1034064.687044198
icel1247,oldn1244,0.0,19.776613536159886
dutc1256,vlaa1240,242988.57066372613,261690.09843337626
stan1293,olde1238,0.0,73151.72278479967
west2354,oldf1241,0.0,270.48672592754207
gawa1247,khow1242,16088.13236943884,15446.660359629073
gawa1247,vedi1234,223365.07977461338,224164.29878742504
khow1242,vedi1234,316615.7052664958,319339.13672119967
beng1280,assa1263,234363.03445730062,243510.33644778887
bhoj1244,maga1260,230571.1080408949,239121.28231938905
bhoj1244,mait1250,133803.07590293948,138549.09504380895
maga1260,mait1250,146287.1987464249,146671.332894052
hind1269,urdu1245,413206.73839837033,397023.45118122146
digo1242,iron1242,21782.12021877576,22184.741435274787
sout2645,west2369,19097.185254153846,23512.141566872713
sout2645,kumz1235,185032.18463087885,210317.81259405648
sout2645,bakh1245,529177.7260074592,526682.9039898193
west2369,kumz1235,923026.4251384112,888609.1511275441
west2369,bakh1245,577608.6175031266,595971.7478348052
kumz1235,bakh1245,700884.8948083409,702064.6600877034
friu1240,ladi1250,145083.18911905686,145551.8607660127
angl1258,stan1290,419937.21244220255,455332.351364245
angl1258,oldf1239,666630.0309513945,694392.6407467354
angl1258,wall1255,772978.2115068324,834689.1278721736
stan1290,oldf1239,213844.41487333225,237069.68065085838
stan1290,wall1255,701039.3204094965,680056.312573601
oldf1239,wall1255,510042.9698787015,479051.2192510945
braz1246,port1283,0.0,0.0
barb1262,sout2614,31521.218700676935,32059.222777873256
osca1245,umbr1253,166569.2547250561,169006.62969321356
tokh1242,tokh1243,0.0,107.79735532424972
gheg1238,arbe1236,1033352.6295453107,1032488.4996435132
alba1267,arbe1236,828700.7293590559,833681.6434668229
alba1267,gheg1238,164115.54609456746,155272.9669478594
russ1263,bela1254,4789778.687170196,5118070.557958203
slov1269,czec1258,143827.8659034624,165499.27373016241
corn1251,midd1380,0.0,30.636146630256178
scot1245,manx1243,591099.3032541964,584147.1670656891
swed1254,olds1252,0.0,375698.80710510147
icel1247,faro1244,1388622.7686244096,1423192.2052840656
oldn1244,faro1244,1412411.6513571541,1436571.2473515952
oldn1244,icel1247,0.0,314.2115293306678
vlaa1240,dutc1256,38543.70936761323,40705.35912766506
olde1238,stan1293,0.0,538.3456159812021
oldf1241,west2354,50591.818993893365,68943.17806989637
khow1242,gawa1247,121149.6175199566,124367.70911791606
vedi1234,gawa1247,742581.6587239712,718823.1064684171
vedi1234,khow1242,741201.1507564653,719947.9373863821
assa1263,beng1280,172865.94652845064,201413.19289024168
maga1260,bhoj1244,200511.8030632219,201261.49601146844
mait1250,bhoj1244,111400.71417675761,111994.96252044779
mait1250,maga1260,129977.45597863584,135401.95791866726
urdu1245,hind1269,0.0,0.0
iron1242,digo1242,52739.36378599008,53323.392535552055
west2369,sout2645,623291.0024409763,601329.2826043603
kumz1235,sout2645,84016.48607916379,83195.44195539554
bakh1245,sout2645,261212.44244266304,266778.9262348092
kumz1235,west2369,140195.09126192628,139898.5032623501
bakh1245,west2369,39109.164352619686,39128.1043710302
bakh1245,kumz1235,795529.5785956245,795790.2998719013
ladi1250,friu1240,103600.01112935696,103454.49316215585
stan1290,angl1258,454739.6909540286,444245.30696634913
oldf1239,angl1258,146176.43761593074,147861.75395391462
wall1255,angl1258,365019.11526796565,364118.39183982677
oldf1239,stan1290,0.0,0.0
wall1255,stan1290,44365.57102000361,52011.35016606515
wall1255,oldf1239,204726.96031368786,210320.22726887302
port1283,braz1246,0.0,0.0
sout2614,barb1262,36326.40261931236,36137.951712097485
umbr1253,osca1245,148777.94154458118,168726.00672248285
tokh1243,tokh1242,281898.77678855136,299449.7571677316
