language_1,language_2,Glottocode_1,Glottocode_2,median_distance,mean_distance
AlbanianArberesh,AlbanianGheg,arbe1236,gheg1238,737.6591657209481,737.4932295302757
AlbanianArberesh,AlbanianStandard,arbe1236,alba1267,563.4448193887656,563.0374801556804
AlbanianGheg,AlbanianStandard,gheg1238,alba1267,47.3721837337874,50.077412284805
Latgalian,Latvian,east2282,latv1249,67.19434749779623,70.56655353807078
Belarusian,Russian,bela1254,russ1263,166.15439330704595,186.28337310698183
SloveneKostel,Slovene,lowe1384,slov1268,51.11987691012981,52.99271533989549
SloveneKostel,SloveneEarlyModern,lowe1384,slov1268,51.11987691012981,52.99271533989549
Slovene,SloveneEarlyModern,slov1268,slov1268,0.0,0.0
Czech,Slovak,czec1258,slov1269,178.84724248139264,173.84705824649197
SorbianLower,SorbianUpper,lowe1385,uppe1395,19.544606814489647,20.82488027260431
MiddleBreton,BretonTreger,midd1359,treg1244,51.284942950241636,51.50144809764069
MiddleBreton,BretonGwened,midd1359,vann1244,32.48232749592457,35.70509059261445
BretonTreger,BretonGwened,treg1244,vann1244,48.152543302505904,48.763392815126714
MiddleCornish,LateCornish,midd1380,corn1251,0.0,0.7413786768114832
GaelicManx,GaelicScottish,manx1243,scot1245,182.82876152284476,182.01119611668585
OldSwedish,Swedish,olds1252,swed1254,0.0,0.0
Faroese,Icelandic,faro1244,icel1247,471.6114422315859,475.23868259965235
Faroese,OldIcelandic,faro1244,oldn1244,470.30800120630727,474.14177487163846
Icelandic,OldIcelandic,icel1247,oldn1244,0.0,0.01421783488327511
GermanBernese,German,swis1247,stan1295,124.09017454003416,121.64563965047878
Dutch,Flemish,dutc1256,vlaa1240,146.53516445160992,158.7277290178679
English,OldEnglish,stan1293,olde1238,0.0,42.69368876215025
Frisian,OldFrisian,west2354,oldf1241,0.0,0.15042935732252347
GreekCappodocian,GreekPontic,capp1239,pont1253,393.14963011071046,378.6122228693324
Gawarbati,Khowar,gawa1247,khow1242,14.560572951520216,14.816979692140048
Gawarbati,PashaiNorthWest,gawa1247,nort2665,134.82208011304434,134.3541972768579
Gawarbati,VedicEarly,gawa1247,vedi1234,254.6861393241957,254.82383183132006
Khowar,PashaiNorthWest,khow1242,nort2665,295.8228483064422,298.5579143438477
Khowar,VedicEarly,khow1242,vedi1234,360.8119485854368,363.66785945056426
PashaiNorthWest,VedicEarly,nort2665,vedi1234,271.39391450718256,273.73230965098
Bengali,Assamese,beng1280,assa1263,427.6793977904984,466.6923914655823
Bhojpuri,Magahi,bhoj1244,maga1260,401.2829552324664,406.20671474665875
Bhojpuri,Maithili,bhoj1244,mait1250,238.14235672689597,241.69004364168117
Magahi,Maithili,maga1260,mait1250,231.17007719443586,236.8926641306057
Hindi,Urdu,hind1269,urdu1245,646.800057793504,601.617890509579
Gawri,Palula,kala1373,ashr1238,85.46022457153603,90.10861139960166
Hawrami,Tati,hawr1243,take1255,353.02564403931365,353.5568068757397
KurdishCJafi,KurdishNBahdini,cent1972,nort2641,397.8879048376957,393.80751117758183
OsseticDigor,OsseticIron,digo1242,iron1242,16.781917121574615,17.200928916442205
Delvari,PersianTehran,sout2645,west2369,22.148570381240393,27.01587689578591
Delvari,Kumzari,sout2645,kumz1235,193.2816665719323,221.93936991983492
Delvari,Bakhtiari,sout2645,bakh1245,557.9340394992456,563.2606642050102
PersianTehran,Kumzari,west2369,kumz1235,964.7704964533407,921.8226146109819
PersianTehran,Bakhtiari,west2369,bakh1245,585.6688340549545,634.9174348016313
Kumzari,Bakhtiari,kumz1235,bakh1245,743.8751905145076,745.242758218217
MeglenoRomanian,Romanian,megl1237,roma1327,305.9882549813484,305.80377630371834
Friulian,Ladin,friu1240,ladi1250,98.38723060194744,99.36155628617338
AngloNorman,French,angl1258,stan1290,245.10222797054723,269.04104938520095
AngloNorman,FrancoProvencal,angl1258,fran1269,777.1917741506049,784.7463188520458
AngloNorman,OldFrench,angl1258,oldf1239,404.0828217479982,413.9042338421615
AngloNorman,Walloon,angl1258,wall1255,475.32303508776613,499.76444283806705
French,FrancoProvencal,stan1290,fran1269,292.9659118800762,276.500854778443
French,OldFrench,stan1290,oldf1239,64.2524271147679,76.20486502851605
French,Walloon,stan1290,wall1255,302.5536471990156,310.21223309997504
FrancoProvencal,OldFrench,fran1269,oldf1239,227.22894284138187,226.93659084438897
FrancoProvencal,Walloon,fran1269,wall1255,419.76792891323305,416.97264314671276
OldFrench,Walloon,oldf1239,wall1255,316.8759710094099,303.49896407220893
PortugueseBrazilian,Portuguese,braz1246,port1283,0.0,0.0
SardinianNuoro,SardinianLogudoro,nuor1238,logu1236,14.208296921246593,15.159530571686734
Oscan,Umbrian,osca1245,umbr1253,114.21421884483037,122.00929165784888
TocharianA,TocharianB,tokh1242,tokh1243,0.0,0.20159734719546343
AlbanianGheg,AlbanianArberesh,gheg1238,arbe1236,791.015725075686,788.8517244175353
AlbanianStandard,AlbanianArberesh,alba1267,arbe1236,656.5799752983414,652.0332416012395
AlbanianStandard,AlbanianGheg,alba1267,gheg1238,103.56376520929476,105.4671115362256
Latvian,Latgalian,latv1249,east2282,69.87174065578773,93.10677699091089
Russian,Belarusian,russ1263,bela1254,3126.735295479944,3276.414680973514
Slovene,SloveneKostel,slov1268,lowe1384,71.88973792228168,71.6776288859984
SloveneEarlyModern,SloveneKostel,slov1268,lowe1384,71.88973792228168,71.6776288859984
SloveneEarlyModern,Slovene,slov1268,slov1268,0.0,0.0
Slovak,Czech,slov1269,czec1258,102.35859100588576,112.73753941849606
SorbianUpper,SorbianLower,uppe1395,lowe1385,17.90273485081255,19.431192619849124
BretonTreger,MiddleBreton,treg1244,midd1359,0.0,0.0
BretonGwened,MiddleBreton,vann1244,midd1359,0.0,0.0
BretonGwened,BretonTreger,vann1244,treg1244,71.30086676616526,72.83501078580714
LateCornish,MiddleCornish,corn1251,midd1380,0.0,0.027930259252927213
GaelicScottish,GaelicManx,scot1245,manx1243,352.9795473183167,346.1628649871458
Swedish,OldSwedish,swed1254,olds1252,51.475857917650046,210.21452299207104
Icelandic,Faroese,icel1247,faro1244,639.2901397345156,649.6514873153394
OldIcelandic,Faroese,oldn1244,faro1244,637.1451640802345,649.2542490123442
OldIcelandic,Icelandic,oldn1244,icel1247,0.0,0.06022332713768367
German,GermanBernese,stan1295,swis1247,71.57460853621116,77.63368644938717
Flemish,Dutch,vlaa1240,dutc1256,21.21283225808958,23.397679584856956
OldEnglish,English,olde1238,stan1293,0.0,0.5141925608007982
OldFrisian,Frisian,oldf1241,west2354,38.39890584803257,46.77101693833339
GreekPontic,GreekCappodocian,pont1253,capp1239,277.7259906882392,315.36645496610345
Khowar,Gawarbati,khow1242,gawa1247,139.70944629709058,141.90148052236214
PashaiNorthWest,Gawarbati,nort2665,gawa1247,200.88311919174254,201.72170466676852
VedicEarly,Gawarbati,vedi1234,gawa1247,869.9143781586656,855.7520196574563
PashaiNorthWest,Khowar,nort2665,khow1242,225.43635763468387,227.20538888642008
VedicEarly,Khowar,vedi1234,khow1242,861.0357230953491,852.8897908492747
VedicEarly,PashaiNorthWest,vedi1234,nort2665,805.336644232675,784.8915306057936
Assamese,Bengali,assa1263,beng1280,339.9142059951414,400.5961874479162
Magahi,Bhojpuri,maga1260,bhoj1244,337.672861479346,335.772161595655
Maithili,Bhojpuri,mait1250,bhoj1244,188.39226251545793,187.7599686445071
Maithili,Magahi,mait1250,maga1260,241.65463544253925,241.50700408771732
Urdu,Hindi,urdu1245,hind1269,0.0,0.0
Palula,Gawri,ashr1238,kala1373,37.07078293423466,37.12213774401769
Tati,Hawrami,take1255,hawr1243,370.36587041027695,370.2251957453386
KurdishNBahdini,KurdishCJafi,nort2641,cent1972,232.2459029063192,230.37284543830788
OsseticIron,OsseticDigor,iron1242,digo1242,41.07290212520804,41.226242859759864
PersianTehran,Delvari,west2369,sout2645,675.6040324476946,620.4269571709415
