language_1,language_2,Glottocode_1,Glottocode_2,median_distance,mean_distance
AlbanianArberesh,AlbanianGheg,arbe1236,gheg1238,803.0535374462959,799.3586128266749
AlbanianArberesh,AlbanianStandard,arbe1236,alba1267,677.0742214367834,671.6903991060391
AlbanianGheg,AlbanianStandard,gheg1238,alba1267,155.26296700614122,161.68657564823872
Latgalian,Latvian,east2282,latv1249,211.39576817710616,210.17707358296263
Belarusian,Russian,bela1254,russ1263,2908.2369487001743,3263.8509962034095
SloveneKostel,Slovene,lowe1384,slov1268,80.949405257312,82.00058722424359
SloveneKostel,SloveneEarlyModern,lowe1384,slov1268,80.949405257312,82.00058722424359
Slovene,SloveneEarlyModern,slov1268,slov1268,0.0,0.0
Czech,Slovak,czec1258,slov1269,293.7950955803133,298.55114168333773
SorbianLower,SorbianUpper,lowe1385,uppe1395,44.84727828055685,45.944859486155174
MiddleBreton,BretonTreger,midd1359,treg1244,61.362553753625875,71.20391540001154
MiddleBreton,BretonGwened,midd1359,vann1244,69.7410737892173,69.06077353104138
BretonTreger,BretonGwened,treg1244,vann1244,98.75661961216434,99.90618608750309
MiddleCornish,LateCornish,midd1380,corn1251,17.402361590886805,17.99710197302361
GaelicManx,GaelicScottish,manx1243,scot1245,384.65172991917916,370.282489053804
OldSwedish,Swedish,olds1252,swed1254,364.08803799927944,393.93000624809514
Faroese,Icelandic,faro1244,icel1247,689.4805499565691,691.0150630274022
Faroese,OldIcelandic,faro1244,oldn1244,687.2284030557717,681.5587897764382
Icelandic,OldIcelandic,icel1247,oldn1244,85.49016143775592,97.63341955742538
GermanBernese,German,swis1247,stan1295,252.71154892899648,255.94947699004354
Dutch,Flemish,dutc1256,vlaa1240,176.49382169122669,198.4974856900405
English,OldEnglish,stan1293,olde1238,248.6306399355598,250.4351572824365
Frisian,OldFrisian,west2354,oldf1241,71.41791677445903,72.49798777613195
GreekCappodocian,GreekPontic,capp1239,pont1253,470.7843434625345,471.5620267363907
Gawarbati,Khowar,gawa1247,khow1242,143.2105633266314,155.33967892075583
Gawarbati,PashaiNorthWest,gawa1247,nort2665,231.11749471796153,232.84418818322172
Gawarbati,VedicEarly,gawa1247,vedi1234,901.4632259763491,920.3240145507393
Khowar,PashaiNorthWest,khow1242,nort2665,379.0274065348234,380.6571494375578
Khowar,VedicEarly,khow1242,vedi1234,948.6516751824317,975.01479021871
PashaiNorthWest,VedicEarly,nort2665,vedi1234,949.7721872581292,923.8039602057476
Bengali,Assamese,beng1280,assa1263,921.2724488152865,919.7590130396718
Bhojpuri,Magahi,bhoj1244,maga1260,482.1018282960657,487.31087575492575
Bhojpuri,Maithili,bhoj1244,mait1250,382.06584756005884,389.4242269151153
Magahi,Maithili,maga1260,mait1250,330.0848766118693,333.7891869472247
Hindi,Urdu,hind1269,urdu1245,682.6651179380572,682.7812647265747
Gawri,Palula,kala1373,ashr1238,108.80539621211426,105.00750361236273
Hawrami,Tati,hawr1243,take1255,392.11617118230777,389.97629658075266
KurdishCJafi,KurdishNBahdini,cent1972,nort2641,454.63986611909456,446.0730638711897
OsseticDigor,OsseticIron,digo1242,iron1242,70.33537405196327,74.64486868541891
Delvari,PersianTehran,sout2645,west2369,815.598845146437,768.6870879075321
Delvari,Kumzari,sout2645,kumz1235,232.49423088159017,237.2783898187821
Delvari,Bakhtiari,sout2645,bakh1245,668.6773179817505,677.8596944983624
PersianTehran,Kumzari,west2369,kumz1235,1060.8459115901014,975.3669839779504
PersianTehran,Bakhtiari,west2369,bakh1245,703.763569724635,668.9625794254722
Kumzari,Bakhtiari,kumz1235,bakh1245,867.3445165834828,864.4608893304493
MeglenoRomanian,Romanian,megl1237,roma1327,599.2708566840079,593.6767817116629
Friulian,Ladin,friu1240,ladi1250,109.20094644302388,111.66380518226117
AngloNorman,French,angl1258,stan1290,528.685208309256,542.5127715684791
AngloNorman,FrancoProvencal,angl1258,fran1269,880.1653749813802,883.0519708035982
AngloNorman,OldFrench,angl1258,oldf1239,540.3861599072809,536.7299523012153
AngloNorman,Walloon,angl1258,wall1255,557.0980007781532,570.1998171555803
French,FrancoProvencal,stan1290,fran1269,414.1233566450179,396.1218851408403
French,OldFrench,stan1290,oldf1239,149.02535564609676,160.42010701614356
French,Walloon,stan1290,wall1255,370.48185194928345,370.57580425275756
FrancoProvencal,OldFrench,fran1269,oldf1239,365.91231196135016,376.7525928288369
FrancoProvencal,Walloon,fran1269,wall1255,496.0885259469653,494.23144155720115
OldFrench,Walloon,oldf1239,wall1255,362.1374866243465,355.87076874206514
PortugueseBrazilian,Portuguese,braz1246,port1283,0.0,0.0
SardinianNuoro,SardinianLogudoro,nuor1238,logu1236,50.28030204698456,50.02606680281103
Oscan,Umbrian,osca1245,umbr1253,264.2400981467336,264.2467223428943
TocharianA,TocharianB,tokh1242,tokh1243,446.6531387146069,402.7038834214166
AlbanianGheg,AlbanianArberesh,gheg1238,arbe1236,803.0535374462959,799.3586128266749
AlbanianStandard,AlbanianArberesh,alba1267,arbe1236,677.0742214367834,671.6903991060391
AlbanianStandard,AlbanianGheg,alba1267,gheg1238,155.26296700614122,161.68657564823872
Latvian,Latgalian,latv1249,east2282,211.39576817710616,210.17707358296263
Russian,Belarusian,russ1263,bela1254,2908.2369487001743,3263.8509962034095
Slovene,SloveneKostel,slov1268,lowe1384,80.949405257312,82.00058722424359
SloveneEarlyModern,SloveneKostel,slov1268,lowe1384,80.949405257312,82.00058722424359
SloveneEarlyModern,Slovene,slov1268,slov1268,0.0,0.0
Slovak,Czech,slov1269,czec1258,293.7950955803133,298.55114168333773
SorbianUpper,SorbianLower,uppe1395,lowe1385,44.84727828055685,45.944859486155174
BretonTreger,MiddleBreton,treg1244,midd1359,61.362553753625875,71.20391540001154
BretonGwened,MiddleBreton,vann1244,midd1359,69.7410737892173,69.06077353104138
BretonGwened,BretonTreger,vann1244,treg1244,98.75661961216434,99.90618608750309
LateCornish,MiddleCornish,corn1251,midd1380,17.402361590886805,17.99710197302361
GaelicScottish,GaelicManx,scot1245,manx1243,384.65172991917916,370.282489053804
Swedish,OldSwedish,swed1254,olds1252,364.08803799927944,393.93000624809514
Icelandic,Faroese,icel1247,faro1244,689.4805499565691,691.0150630274022
OldIcelandic,Faroese,oldn1244,faro1244,687.2284030557717,681.5587897764382
OldIcelandic,Icelandic,oldn1244,icel1247,85.49016143775592,97.63341955742538
German,GermanBernese,stan1295,swis1247,252.71154892899648,255.94947699004354
Flemish,Dutch,vlaa1240,dutc1256,176.49382169122669,198.4974856900405
OldEnglish,English,olde1238,stan1293,248.6306399355598,250.4351572824365
OldFrisian,Frisian,oldf1241,west2354,71.41791677445903,72.49798777613195
GreekPontic,GreekCappodocian,pont1253,capp1239,470.7843434625345,471.5620267363907
Khowar,Gawarbati,khow1242,gawa1247,143.2105633266314,155.33967892075583
PashaiNorthWest,Gawarbati,nort2665,gawa1247,231.11749471796153,232.84418818322172
VedicEarly,Gawarbati,vedi1234,gawa1247,901.4632259763491,920.3240145507393
PashaiNorthWest,Khowar,nort2665,khow1242,379.0274065348234,380.6571494375578
VedicEarly,Khowar,vedi1234,khow1242,948.6516751824317,975.01479021871
VedicEarly,PashaiNorthWest,vedi1234,nort2665,949.7721872581292,923.8039602057476
Assamese,Bengali,assa1263,beng1280,921.2724488152865,919.7590130396718
Magahi,Bhojpuri,maga1260,bhoj1244,482.1018282960657,487.31087575492575
Maithili,Bhojpuri,mait1250,bhoj1244,382.06584756005884,389.4242269151153
Maithili,Magahi,mait1250,maga1260,330.0848766118693,333.7891869472247
Urdu,Hindi,urdu1245,hind1269,682.6651179380572,682.7812647265747
Palula,Gawri,ashr1238,kala1373,108.80539621211426,105.00750361236273
Tati,Hawrami,take1255,hawr1243,392.11617118230777,389.97629658075266
KurdishNBahdini,KurdishCJafi,nort2641,cent1972,454.63986611909456,446.0730638711897
OsseticIron,OsseticDigor,iron1242,digo1242,70.33537405196327,74.64486868541891
PersianTehran,Delvari,west2369,sout2645,815.598845146437,768.6870879075321
Kumzari,Delvari,kumz1235,sout2645,232.49423088159017,237.2783898187821
Bakhtiari,Delvari,bakh1245,sout2645,668.6773179817505,677.8596944983624
Kumzari,PersianTehran,kumz1235,west2369,1060.8459115901014,975.3669839779504
Bakhtiari,PersianTehran,bakh1245,west2369,703.763569724635,668.9625794254722
Bakhtiari,Kumzari,bakh1245,kumz1235,867.3445165834828,864.4608893304493
Romanian,MeglenoRomanian,roma1327,megl1237,599.2708566840079,593.6767817116629
Ladin,Friulian,ladi1250,friu1240,109.20094644302388,111.66380518226117
French,AngloNorman,stan1290,angl1258,528.685208309256,542.5127715684791
FrancoProvencal,AngloNorman,fran1269,angl1258,880.1653749813802,883.0519708035982
OldFrench,AngloNorman,oldf1239,angl1258,540.3861599072809,536.7299523012153
Walloon,AngloNorman,wall1255,angl1258,557.0980007781532,570.1998171555803
FrancoProvencal,French,fran1269,stan1290,414.1233566450179,396.1218851408403
OldFrench,French,oldf1239,stan1290,149.02535564609676,160.42010701614356
Walloon,French,wall1255,stan1290,370.48185194928345,370.57580425275756
OldFrench,FrancoProvencal,oldf1239,fran1269,365.91231196135016,376.7525928288369
Walloon,FrancoProvencal,wall1255,fran1269,496.0885259469653,494.23144155720115
Walloon,OldFrench,wall1255,oldf1239,362.1374866243465,355.87076874206514
Portuguese,PortugueseBrazilian,port1283,braz1246,0.0,0.0
SardinianLogudoro,SardinianNuoro,logu1236,nuor1238,50.28030204698456,50.02606680281103
Umbrian,Oscan,umbr1253,osca1245,264.2400981467336,264.2467223428943
TocharianB,TocharianA,tokh1243,tokh1242,446.6531387146069,402.7038834214166
