language_1,language_2,glottocode_1,glottocode_2,median_distance,mean_distance
AlbanianGheg,AlbanianStandard,gheg1238,alba1267,155.263,161.687
GreekCappodocian,GreekPontic,capp1239,pont1253,470.784,471.562
TocharianA,TocharianB,tokh1242,tokh1243,446.653,402.704
AngloNorman,OldFrench,angl1258,oldf1239,540.386,536.73
FrancoProvencal,French,fran1269,stan1290,414.123,396.122
Friulian,Ladin,friu1240,ladi1250,109.201,111.664
Portuguese,PortugueseBrazilian,port1283,braz1246,0.0,0.0
SardinianLogudoro,SardinianNuoro,logu1236,nuor1238,50.28,50.026
MeglenoRomanian,Romanian,megl1237,roma1327,599.271,593.677
Oscan,Umbrian,osca1245,umbr1253,264.24,264.247
BretonGwened,BretonTreger,vann1244,treg1244,98.757,99.906
LateCornish,MiddleCornish,corn1251,midd1380,17.402,17.997
GaelicManx,GaelicScottish,manx1243,scot1245,384.652,370.282
Icelandic,OldIcelandic,icel1247,oldn1244,85.49,97.633
OldSwedish,Swedish,olds1252,swed1254,364.088,393.93
Dutch,Flemish,dutc1256,vlaa1240,176.494,198.497
German,GermanBernese,stan1295,swis1247,252.712,255.949
English,OldEnglish,stan1293,olde1238,248.631,250.435
Frisian,OldFrisian,west2354,oldf1241,71.418,72.498
Czech,Slovak,czec1258,slov1269,293.795,298.551
SorbianLower,SorbianUpper,lowe1385,uppe1395,44.847,45.945
Slovene,SloveneKostel,slov1268,lowe1384,80.949,82.001
Latgalian,Latvian,east2282,latv1249,211.396,210.177
Assamese,Bengali,assa1263,beng1280,921.272,919.759
Bhojpuri,Magahi,bhoj1244,maga1260,482.102,487.311
Hindi,Urdu,hind1269,urdu1245,682.665,682.781
Gawri,Palula,kala1373,ashr1238,108.805,105.008
Khowar,PashaiNorthWest,khow1242,nort2665,379.027,380.657
Hawrami,Tati,hawr1243,take1255,392.116,389.976
KurdishCJafi,KurdishNBahdini,cent1972,nort2641,454.64,446.073
OsseticDigor,OsseticIron,digo1242,iron1242,70.335,74.645
Bakhtiari,Kumzari,bakh1245,kumz1235,867.345,864.461
AlbanianStandard,AlbanianGheg,alba1267,gheg1238,155.263,161.687
GreekPontic,GreekCappodocian,pont1253,capp1239,470.784,471.562
TocharianB,TocharianA,tokh1243,tokh1242,446.653,402.704
OldFrench,AngloNorman,oldf1239,angl1258,540.386,536.73
French,FrancoProvencal,stan1290,fran1269,414.123,396.122
Ladin,Friulian,ladi1250,friu1240,109.201,111.664
PortugueseBrazilian,Portuguese,braz1246,port1283,0.0,0.0
SardinianNuoro,SardinianLogudoro,nuor1238,logu1236,50.28,50.026
Romanian,MeglenoRomanian,roma1327,megl1237,599.271,593.677
Umbrian,Oscan,umbr1253,osca1245,264.24,264.247
BretonTreger,BretonGwened,treg1244,vann1244,98.757,99.906
MiddleCornish,LateCornish,midd1380,corn1251,17.402,17.997
GaelicScottish,GaelicManx,scot1245,manx1243,384.652,370.282
OldIcelandic,Icelandic,oldn1244,icel1247,85.49,97.633
Swedish,OldSwedish,swed1254,olds1252,364.088,393.93
Flemish,Dutch,vlaa1240,dutc1256,176.494,198.497
GermanBernese,German,swis1247,stan1295,252.712,255.949
OldEnglish,English,olde1238,stan1293,248.631,250.435
OldFrisian,Frisian,oldf1241,west2354,71.418,72.498
Slovak,Czech,slov1269,czec1258,293.795,298.551
SorbianUpper,SorbianLower,uppe1395,lowe1385,44.847,45.945
SloveneKostel,Slovene,lowe1384,slov1268,80.949,82.001
Latvian,Latgalian,latv1249,east2282,211.396,210.177
Bengali,Assamese,beng1280,assa1263,921.272,919.759
Magahi,Bhojpuri,maga1260,bhoj1244,482.102,487.311
Urdu,Hindi,urdu1245,hind1269,682.665,682.781
Palula,Gawri,ashr1238,kala1373,108.805,105.008
PashaiNorthWest,Khowar,nort2665,khow1242,379.027,380.657
Tati,Hawrami,take1255,hawr1243,392.116,389.976
KurdishNBahdini,KurdishCJafi,nort2641,cent1972,454.64,446.073
OsseticIron,OsseticDigor,iron1242,digo1242,70.335,74.645
Kumzari,Bakhtiari,kumz1235,bakh1245,867.345,864.461
