language_1,language_2,median_distance,mean_distance
friu1240,ladi1250,145083.18911905686,145551.8607660127
angl1258,stan1290,419937.21244220255,455332.351364245
angl1258,oldf1239,666630.0309513945,694392.6407467354
angl1258,wall1255,772978.2115068324,834689.1278721736
stan1290,oldf1239,213844.41487333225,237069.68065085838
stan1290,wall1255,701039.3204094965,680056.312573601
oldf1239,wall1255,510042.9698787015,479051.2192510945
braz1246,port1283,0.0,0.0
barb1262,sout2614,31521.218700676935,32059.222777873256
osca1245,umbr1253,166569.2547250561,169006.62969321356
ladi1250,friu1240,103600.01112935696,103454.49316215585
stan1290,angl1258,454739.6909540286,444245.30696634913
oldf1239,angl1258,146176.43761593074,147861.75395391462
wall1255,angl1258,365019.11526796565,364118.39183982677
oldf1239,stan1290,0.0,0.0
wall1255,stan1290,44365.57102000361,52011.35016606515
wall1255,oldf1239,204726.96031368786,210320.22726887302
port1283,braz1246,0.0,0.0
sout2614,barb1262,36326.40261931236,36137.951712097485
umbr1253,osca1245,148777.94154458118,168726.00672248285
