language_1,language_2,glottocode_1,glottocode_2,median_distance,mean_distance
Ikarranggal,Walangama,gurd1238,wala1263,465.188,464.225
Olkola,UwOykangand,oyka1239,oyka1239,112.379,113.151
Alngith,Linngithigh,alng1239,leni1238,23.677,23.967
Mbakwithi,Thaynakwith,angu1242,alng1239,155.035,150.188
Injinoo,Yadhaykenu,angg1238,yadh1237,32.369,32.736
KuukuYau,Umpila,kuuk1238,umpi1239,107.199,110.533
KuukThaayorre,YirYoront,thay1249,yiry1245,14.616,18.202
Djabugay,Yidiny,dyaa1242,yidi1250,48.488,49.681
GuuguYimidhirr,KukuYalanji,gugu1255,kuku1273,71.232,76.127
KKY,KLY,kala1377,kala1377,0,0
Barna,Belyando,biri1256,biri1256,190.777,188.355
Biri,Gangulu,biri1256,gang1268,457.661,462.632
Dharawala,Tambo,bidy1243,bidy1243,167.095,159.548
Wadjabangayi,Yiningay,bidy1243,bidy1243,109.222,105.213
Gunggari,Guwamu,kung1258,guwa1243,67.214,71.527
Gunya,Margany,guny1241,marg1253,80.886,78.376
Coonambella,Wulguru,wulg1239,wulg1239,0,0
Nyawaygi,Wargamay,nyaw1247,warr1255,30.917,30.632
Gudjal,GuguBadhun,gudj1237,gugu1253,82.189,86.749
Dharumbal,Mbabaram,dhar1248,mbab1239,1047.093,1046.207
Walangama,Ikarranggal,wala1263,gurd1238,470.777,472.383
UwOykangand,Olkola,oyka1239,oyka1239,93.845,95.282
Linngithigh,Alngith,leni1238,alng1239,91.016,94.462
Thaynakwith,Mbakwithi,alng1239,angu1242,104.11,103.74
Yadhaykenu,Injinoo,yadh1237,angg1238,62.13,60.239
Umpila,KuukuYau,umpi1239,kuuk1238,79.847,80.761
YirYoront,KuukThaayorre,yiry1245,thay1249,19.35,20.832
Yidiny,Djabugay,yidi1250,dyaa1242,35.529,35.483
KukuYalanji,GuuguYimidhirr,kuku1273,gugu1255,116.559,113.753
KLY,KKY,kala1377,kala1377,0,0
Belyando,Barna,biri1256,biri1256,181.785,186.698
Gangulu,Biri,gang1268,biri1256,563.547,568.237
Tambo,Dharawala,bidy1243,bidy1243,150.71,147.974
Yiningay,Wadjabangayi,bidy1243,bidy1243,202.977,197.127
Guwamu,Gunggari,guwa1243,kung1258,117.171,111.526
Margany,Gunya,marg1253,guny1241,147.782,139.569
Wulguru,Coonambella,wulg1239,wulg1239,0,0
Wargamay,Nyawaygi,warr1255,nyaw1247,30.581,29.224
GuguBadhun,Gudjal,gugu1253,gudj1237,107.011,111.983
Mbabaram,Dharumbal,mbab1239,dhar1248,999.702,999.329
