language_1,language_2,glottocode_1,glottocode_2,median_distance,mean_distance
Adnyamathanha,Parnkala,adny1235,bang1339,194.419,188.427
Narrungga,Nukunu,naru1238,nugu1241,151.338,156.521
Alyawarr,Antekerrepenhe,alya1239,east2379,181.158,183.526
CentralAnmatyerr,WesternArrarnta,anma1239,west2441,108.864,109.32
MuliarraTribe,Wajarri,waja1257,waja1257,0.0,0.0
ChampionBay,Nhanta,nhan1238,nhan1238,0.0,0.0
Bibbulman,Pinjarra,bibb1234,nyun1247,754.924,757.885
NewNorciaandLeschenaultBay,Watjuk,nyun1247,nyun1247,928.719,932.314
Jiwarli,Warriyangga,djiw1241,wari1262,172.944,165.214
Purduna,Thalanyji,burd1238,dhal1245,90.443,91.924
Kariyarra,Ngarluma,kari1304,ngar1287,135.347,131.634
Kurrama,Yindjibarndi,kurr1243,yind1247,38.966,42.113
Panyjima,Yinhawangka,pany1241,pany1241,129.358,128.13
Ngarla,Nyamal,ngar1296,nyam1271,59.418,64.95
Mudburra,MudburraMcC,mudb1240,mudb1240,0.0,0.0
Jaru,JaruMcC,jaru1254,jaru1254,0.0,0.0
Warlmanpa,Warlpiri,warl1255,warl1254,175.201,178.574
Jiwarliny,WalmajarriNW,walm1241,walm1241,129.752,148.171
Karajarri,KarajarriNW,kara1476,kara1476,0.0,0.0
NorthernNyangumarta,Nyangumarta,nyan1301,nyan1301,0.0,0.0
MangalaMcK,NorthernMangarla,mang1383,mang1383,0.0,0.0
Kartujarra,Warnman,kart1247,wanm1242,196.887,197.913
Arabana,Wangkangurru,arab1267,wang1290,197.238,192.933
PittaPitta,Wangkayutyuru,pitt1247,wang1289,116.966,118.444
Guwa,Yanda,guwa1242,yand1251,131.274,131.549
Ngamini,Yarluyandi,ngam1265,yarl1238,97.694,96.483
Karuwali,Mithaka,karr1236,mith1236,168.312,174.324
Wangkumara,WangkumaraMcDWur,wong1246,wong1246,0.0,0.0
Kungkari,Pirriya,kuun1236,pirr1240,99.862,110.691
Kurnu,Paakantyi,darl1243,darl1243,264.058,255.809
Wadikali,Yardliyawarra,yarl1236,yarl1236,227.417,224.077
Ikarranggal,Walangama,gurd1238,wala1263,465.188,464.225
Olkola,UwOykangand,oyka1239,oyka1239,112.379,113.151
Alngith,Linngithigh,alng1239,leni1238,23.677,23.967
Mbakwithi,Thaynakwith,angu1242,alng1239,155.035,150.188
Injinoo,Yadhaykenu,angg1238,yadh1237,32.369,32.736
KuukuYau,Umpila,kuuk1238,umpi1239,107.199,110.533
KuukThaayorre,YirYoront,thay1249,yiry1245,14.616,18.202
Djabugay,Yidiny,dyaa1242,yidi1250,48.488,49.681
GuuguYimidhirr,KukuYalanji,gugu1255,kuku1273,71.232,76.127
KKY,KLY,kala1377,kala1377,0.0,0.0
Barna,Belyando,biri1256,biri1256,190.777,188.355
Biri,Gangulu,biri1256,gang1268,457.661,462.632
Dharawala,Tambo,bidy1243,bidy1243,167.095,159.548
Wadjabangayi,Yiningay,bidy1243,bidy1243,109.222,105.213
Gunggari,Guwamu,kung1258,guwa1243,67.214,71.527
Gunya,Margany,guny1241,marg1253,80.886,78.376
Coonambella,Wulguru,wulg1239,wulg1239,0.0,0.0
Nyawaygi,Wargamay,nyaw1247,warr1255,30.917,30.632
Gudjal,GuguBadhun,gudj1237,gugu1253,82.189,86.749
Dharumbal,Mbabaram,dhar1248,mbab1239,1047.093,1046.207
Kalkatungu,Yalarnnga,kalk1246,yala1262,119.514,122.323
MayiThakurti,Wanamara,mayk1239,wunu1234,61.362,63.087
Kayardild,Lardil,kaya1319,lard1243,60.494,60.387
Awabakal,Karree,awab1243,awab1243,0.0,0.0
Katthang,SteeleGDG,wori1245,wori1245,44.046,47.707
Birrpayi,Iyora,sydn1236,sydn1236,270.816,272.686
Gundungurra,Ngunawal,nort2760,nort2760,61.557,66.728
Ngiyambaa,Wiradjuri,wang1291,wira1262,97.548,105.919
Bandjalang,Githabul,band1358,gida1240,37.992,38.578
Minjungbal,TweedRiverandPointDangar,minj1242,yuga1244,242.75,240.138
Janday,Yagara,jand1248,yaga1256,11.33,11.549
Bayali,GoorengGooreng,baya1257,gure1255,92.42,90.657
DawsonRiver,WakaWaka,waka1274,waka1274,0.0,0.0
Duungidjawu,UpperBrisbaneRiver,duun1241,waka1274,9.603,10.114
Bigambal,GlenInnes,biga1237,yuga1244,147.935,149.086
Gumbaynggir,Yaygirr,kumb1268,yayg1236,61.523,58.557
Balkurra,Ngarrindjeri,yara1254,narr1259,59.887,59.909
Keramin,YithaYitha,nort2756,yith1234,182.439,182.947
Bindjali,HOPKINSRIVER,warr1257,warr1257,2699.923,2701.9
LakeHindmarsh,MathiMathi,wotj1234,west2443,256.493,261.622
YabulaYabula,YortaYorta,yort1237,yort1237,39.581,40.345
Bularnu,Warluwarra,bula1255,warl1256,70.496,75.783
Wakaya,Yindjilandji,waga1260,yind1248,169.011,167.047
Parnkala,Adnyamathanha,bang1339,adny1235,340.155,328.688
Nukunu,Narrungga,nugu1241,naru1238,131.981,130.892
Antekerrepenhe,Alyawarr,east2379,alya1239,101.844,108.387
WesternArrarnta,CentralAnmatyerr,west2441,anma1239,212.85,207.971
Wajarri,MuliarraTribe,waja1257,waja1257,0.0,0.0
Nhanta,ChampionBay,nhan1238,nhan1238,0.0,0.0
Pinjarra,Bibbulman,nyun1247,bibb1234,850.886,860.282
Watjuk,NewNorciaandLeschenaultBay,nyun1247,nyun1247,775.37,776.564
Warriyangga,Jiwarli,wari1262,djiw1241,86.719,83.838
Thalanyji,Purduna,dhal1245,burd1238,107.007,115.637
Ngarluma,Kariyarra,ngar1287,kari1304,139.346,140.274
Yindjibarndi,Kurrama,yind1247,kurr1243,112.71,117.325
Yinhawangka,Panyjima,pany1241,pany1241,93.139,89.302
Nyamal,Ngarla,nyam1271,ngar1296,253.681,246.931
MudburraMcC,Mudburra,mudb1240,mudb1240,0.0,0.0
JaruMcC,Jaru,jaru1254,jaru1254,0.0,0.0
Warlpiri,Warlmanpa,warl1254,warl1255,392.577,397.659
WalmajarriNW,Jiwarliny,walm1241,walm1241,248.23,263.034
KarajarriNW,Karajarri,kara1476,kara1476,0.0,0.0
Nyangumarta,NorthernNyangumarta,nyan1301,nyan1301,0.0,0.0
NorthernMangarla,MangalaMcK,mang1383,mang1383,0.0,0.0
Warnman,Kartujarra,wanm1242,kart1247,115.098,119.099
Wangkangurru,Arabana,wang1290,arab1267,288.4,300.478
Wangkayutyuru,PittaPitta,wang1289,pitt1247,144.959,144.452
Yanda,Guwa,yand1251,guwa1242,105.03,103.431
Yarluyandi,Ngamini,yarl1238,ngam1265,59.701,60.469
Mithaka,Karuwali,mith1236,karr1236,98.766,102.287
WangkumaraMcDWur,Wangkumara,wong1246,wong1246,0.0,0.0
Pirriya,Kungkari,pirr1240,kuun1236,89.953,98.103
Paakantyi,Kurnu,darl1243,darl1243,222.466,216.912
Yardliyawarra,Wadikali,yarl1236,yarl1236,308.567,298.537
Walangama,Ikarranggal,wala1263,gurd1238,470.777,472.383
UwOykangand,Olkola,oyka1239,oyka1239,93.845,95.282
Linngithigh,Alngith,leni1238,alng1239,91.016,94.462
Thaynakwith,Mbakwithi,alng1239,angu1242,104.11,103.74
Yadhaykenu,Injinoo,yadh1237,angg1238,62.13,60.239
Umpila,KuukuYau,umpi1239,kuuk1238,79.847,80.761
YirYoront,KuukThaayorre,yiry1245,thay1249,19.35,20.832
Yidiny,Djabugay,yidi1250,dyaa1242,35.529,35.483
KukuYalanji,GuuguYimidhirr,kuku1273,gugu1255,116.559,113.753
KLY,KKY,kala1377,kala1377,0.0,0.0
Belyando,Barna,biri1256,biri1256,181.785,186.698
Gangulu,Biri,gang1268,biri1256,563.547,568.237
Tambo,Dharawala,bidy1243,bidy1243,150.71,147.974
Yiningay,Wadjabangayi,bidy1243,bidy1243,202.977,197.127
Guwamu,Gunggari,guwa1243,kung1258,117.171,111.526
Margany,Gunya,marg1253,guny1241,147.782,139.569
Wulguru,Coonambella,wulg1239,wulg1239,0.0,0.0
Wargamay,Nyawaygi,warr1255,nyaw1247,30.581,29.224
GuguBadhun,Gudjal,gugu1253,gudj1237,107.011,111.983
Mbabaram,Dharumbal,mbab1239,dhar1248,999.702,999.329
Yalarnnga,Kalkatungu,yala1262,kalk1246,106.622,110.189
Wanamara,MayiThakurti,wunu1234,mayk1239,55.624,56.808
Lardil,Kayardild,lard1243,kaya1319,79.288,78.025
Karree,Awabakal,awab1243,awab1243,0.0,0.0
SteeleGDG,Katthang,wori1245,wori1245,20.928,22.912
Iyora,Birrpayi,sydn1236,sydn1236,293.678,290.272
Ngunawal,Gundungurra,nort2760,nort2760,0.0,7.887
Wiradjuri,Ngiyambaa,wira1262,wang1291,160.521,168.302
Githabul,Bandjalang,gida1240,band1358,40.374,42.007
TweedRiverandPointDangar,Minjungbal,yuga1244,minj1242,236.182,235.223
Yagara,Janday,yaga1256,jand1248,85.81,87.266
GoorengGooreng,Bayali,gure1255,baya1257,143.293,141.489
WakaWaka,DawsonRiver,waka1274,waka1274,0.0,0.0
UpperBrisbaneRiver,Duungidjawu,waka1274,duun1241,157.931,148.523
GlenInnes,Bigambal,yuga1244,biga1237,99.118,102.906
Yaygirr,Gumbaynggir,yayg1236,kumb1268,26.534,30.131
Ngarrindjeri,Balkurra,narr1259,yara1254,36.438,38.853
YithaYitha,Keramin,yith1234,nort2756,194.122,190.204
HOPKINSRIVER,Bindjali,warr1257,warr1257,2719.798,2718.731
MathiMathi,LakeHindmarsh,west2443,wotj1234,201.176,204.934
YortaYorta,YabulaYabula,yort1237,yort1237,57.19,57.191
Warluwarra,Bularnu,warl1256,bula1255,133.359,155.373
Yindjilandji,Wakaya,yind1248,waga1260,84.0,85.949
