language_1,language_2,glottocode_1,glottocode_2,median_distance,mean_distance
Adnyamathanha,Parnkala,adny1235,bang1339,503.299,490.109
Narrungga,Nukunu,naru1238,nugu1241,275.626,275.572
Alyawarr,Antekerrepenhe,alya1239,east2379,303.983,309.609
CentralAnmatyerr,WesternArrarnta,anma1239,west2441,308.349,299.001
MuliarraTribe,Wajarri,waja1257,waja1257,0.0,0.0
ChampionBay,Nhanta,nhan1238,nhan1238,0.0,0.0
Bibbulman,Pinjarra,bibb1234,nyun1247,970.034,966.956
NewNorciaandLeschenaultBay,Watjuk,nyun1247,nyun1247,1033.645,1047.25
Jiwarli,Warriyangga,djiw1241,wari1262,231.654,239.444
Purduna,Thalanyji,burd1238,dhal1245,225.402,249.387
Kariyarra,Ngarluma,kari1304,ngar1287,278.217,273.863
Kurrama,Yindjibarndi,kurr1243,yind1247,182.964,206.435
Panyjima,Yinhawangka,pany1241,pany1241,220.902,230.375
Ngarla,Nyamal,ngar1296,nyam1271,348.666,358.609
Mudburra,MudburraMcC,mudb1240,mudb1240,0.0,0.0
Jaru,JaruMcC,jaru1254,jaru1254,0.0,0.0
Warlmanpa,Warlpiri,warl1255,warl1254,525.761,563.291
Jiwarliny,WalmajarriNW,walm1241,walm1241,438.646,452.147
Karajarri,KarajarriNW,kara1476,kara1476,0.0,0.0
NorthernNyangumarta,Nyangumarta,nyan1301,nyan1301,0.0,0.0
MangalaMcK,NorthernMangarla,mang1383,mang1383,0.0,0.0
Kartujarra,Warnman,kart1247,wanm1242,332.371,351.89
Arabana,Wangkangurru,arab1267,wang1290,483.317,479.441
PittaPitta,Wangkayutyuru,pitt1247,wang1289,292.765,305.198
Guwa,Yanda,guwa1242,yand1251,256.021,259.514
Ngamini,Yarluyandi,ngam1265,yarl1238,164.972,169.134
Karuwali,Mithaka,karr1236,mith1236,303.957,315.753
Wangkumara,WangkumaraMcDWur,wong1246,wong1246,0.0,0.0
Kungkari,Pirriya,kuun1236,pirr1240,213.112,217.694
Kurnu,Paakantyi,darl1243,darl1243,438.187,451.754
Wadikali,Yardliyawarra,yarl1236,yarl1236,461.876,437.931
Ikarranggal,Walangama,gurd1238,wala1263,508.366,507.485
Olkola,UwOykangand,oyka1239,oyka1239,141.974,142.004
Alngith,Linngithigh,alng1239,leni1238,108.24,109.896
Mbakwithi,Thaynakwith,angu1242,alng1239,171.541,162.098
Injinoo,Yadhaykenu,angg1238,yadh1237,86.819,88.853
KuukuYau,Umpila,kuuk1238,umpi1239,143.356,154.428
KuukThaayorre,YirYoront,thay1249,yiry1245,42.425,42.674
Djabugay,Yidiny,dyaa1242,yidi1250,90.775,94.26
GuuguYimidhirr,KukuYalanji,gugu1255,kuku1273,182.87,192.316
KKY,KLY,kala1377,kala1377,0.0,0.0
Barna,Belyando,biri1256,biri1256,238.119,235.291
Biri,Gangulu,biri1256,gang1268,611.125,614.461
Dharawala,Tambo,bidy1243,bidy1243,251.712,259.976
Wadjabangayi,Yiningay,bidy1243,bidy1243,295.171,299.497
Gunggari,Guwamu,kung1258,guwa1243,199.462,201.548
Gunya,Margany,guny1241,marg1253,217.766,227.443
Coonambella,Wulguru,wulg1239,wulg1239,0.0,0.0
Nyawaygi,Wargamay,nyaw1247,warr1255,67.947,72.39
Gudjal,GuguBadhun,gudj1237,gugu1253,221.878,225.489
Dharumbal,Mbabaram,dhar1248,mbab1239,1108.91,1106.885
Kalkatungu,Yalarnnga,kalk1246,yala1262,236.043,248.062
MayiThakurti,Wanamara,mayk1239,wunu1234,115.462,123.976
Kayardild,Lardil,kaya1319,lard1243,88.295,89.217
Awabakal,Karree,awab1243,awab1243,0.0,0.0
Katthang,SteeleGDG,wori1245,wori1245,70.812,75.432
Birrpayi,Iyora,sydn1236,sydn1236,326.331,334.979
Gundungurra,Ngunawal,nort2760,nort2760,105.818,114.946
Ngiyambaa,Wiradjuri,wang1291,wira1262,327.142,352.514
Bandjalang,Githabul,band1358,gida1240,87.643,93.286
Minjungbal,TweedRiverandPointDangar,minj1242,yuga1244,300.443,301.197
Janday,Yagara,jand1248,yaga1256,102.577,105.584
Bayali,GoorengGooreng,baya1257,gure1255,183.134,185.487
DawsonRiver,WakaWaka,waka1274,waka1274,0.0,0.0
Duungidjawu,UpperBrisbaneRiver,duun1241,waka1274,203.153,180.34
Bigambal,GlenInnes,biga1237,yuga1244,179.387,184.348
Gumbaynggir,Yaygirr,kumb1268,yayg1236,101.724,96.791
Balkurra,Ngarrindjeri,yara1254,narr1259,111.199,114.281
Keramin,YithaYitha,nort2756,yith1234,268.318,271.323
Bindjali,HOPKINSRIVER,warr1257,warr1257,2782.074,2784.514
LakeHindmarsh,MathiMathi,wotj1234,west2443,332.893,332.545
YabulaYabula,YortaYorta,yort1237,yort1237,96.885,103.987
Bularnu,Warluwarra,bula1255,warl1256,253.203,280.749
Wakaya,Yindjilandji,waga1260,yind1248,212.604,236.724
Parnkala,Adnyamathanha,bang1339,adny1235,503.299,490.109
Nukunu,Narrungga,nugu1241,naru1238,275.626,275.572
Antekerrepenhe,Alyawarr,east2379,alya1239,303.983,309.609
WesternArrarnta,CentralAnmatyerr,west2441,anma1239,308.349,299.001
Wajarri,MuliarraTribe,waja1257,waja1257,0.0,0.0
Nhanta,ChampionBay,nhan1238,nhan1238,0.0,0.0
Pinjarra,Bibbulman,nyun1247,bibb1234,970.034,966.956
Watjuk,NewNorciaandLeschenaultBay,nyun1247,nyun1247,1033.645,1047.25
Warriyangga,Jiwarli,wari1262,djiw1241,231.654,239.444
Thalanyji,Purduna,dhal1245,burd1238,225.402,249.387
Ngarluma,Kariyarra,ngar1287,kari1304,278.217,273.863
Yindjibarndi,Kurrama,yind1247,kurr1243,182.964,206.435
Yinhawangka,Panyjima,pany1241,pany1241,220.902,230.375
Nyamal,Ngarla,nyam1271,ngar1296,348.666,358.609
MudburraMcC,Mudburra,mudb1240,mudb1240,0.0,0.0
JaruMcC,Jaru,jaru1254,jaru1254,0.0,0.0
Warlpiri,Warlmanpa,warl1254,warl1255,525.761,563.291
WalmajarriNW,Jiwarliny,walm1241,walm1241,438.646,452.147
KarajarriNW,Karajarri,kara1476,kara1476,0.0,0.0
Nyangumarta,NorthernNyangumarta,nyan1301,nyan1301,0.0,0.0
NorthernMangarla,MangalaMcK,mang1383,mang1383,0.0,0.0
Warnman,Kartujarra,wanm1242,kart1247,332.371,351.89
Wangkangurru,Arabana,wang1290,arab1267,483.317,479.441
Wangkayutyuru,PittaPitta,wang1289,pitt1247,292.765,305.198
Yanda,Guwa,yand1251,guwa1242,256.021,259.514
Yarluyandi,Ngamini,yarl1238,ngam1265,164.972,169.134
Mithaka,Karuwali,mith1236,karr1236,303.957,315.753
WangkumaraMcDWur,Wangkumara,wong1246,wong1246,0.0,0.0
Pirriya,Kungkari,pirr1240,kuun1236,213.112,217.694
Paakantyi,Kurnu,darl1243,darl1243,438.187,451.754
Yardliyawarra,Wadikali,yarl1236,yarl1236,461.876,437.931
Walangama,Ikarranggal,wala1263,gurd1238,508.366,507.485
UwOykangand,Olkola,oyka1239,oyka1239,141.974,142.004
Linngithigh,Alngith,leni1238,alng1239,108.24,109.896
Thaynakwith,Mbakwithi,alng1239,angu1242,171.541,162.098
Yadhaykenu,Injinoo,yadh1237,angg1238,86.819,88.853
Umpila,KuukuYau,umpi1239,kuuk1238,143.356,154.428
YirYoront,KuukThaayorre,yiry1245,thay1249,42.425,42.674
Yidiny,Djabugay,yidi1250,dyaa1242,90.775,94.26
KukuYalanji,GuuguYimidhirr,kuku1273,gugu1255,182.87,192.316
KLY,KKY,kala1377,kala1377,0.0,0.0
Belyando,Barna,biri1256,biri1256,238.119,235.291
Gangulu,Biri,gang1268,biri1256,611.125,614.461
Tambo,Dharawala,bidy1243,bidy1243,251.712,259.976
Yiningay,Wadjabangayi,bidy1243,bidy1243,295.171,299.497
Guwamu,Gunggari,guwa1243,kung1258,199.462,201.548
Margany,Gunya,marg1253,guny1241,217.766,227.443
Wulguru,Coonambella,wulg1239,wulg1239,0.0,0.0
Wargamay,Nyawaygi,warr1255,nyaw1247,67.947,72.39
GuguBadhun,Gudjal,gugu1253,gudj1237,221.878,225.489
Mbabaram,Dharumbal,mbab1239,dhar1248,1108.91,1106.885
Yalarnnga,Kalkatungu,yala1262,kalk1246,236.043,248.062
Wanamara,MayiThakurti,wunu1234,mayk1239,115.462,123.976
Lardil,Kayardild,lard1243,kaya1319,88.295,89.217
Karree,Awabakal,awab1243,awab1243,0.0,0.0
SteeleGDG,Katthang,wori1245,wori1245,70.812,75.432
Iyora,Birrpayi,sydn1236,sydn1236,326.331,334.979
Ngunawal,Gundungurra,nort2760,nort2760,105.818,114.946
Wiradjuri,Ngiyambaa,wira1262,wang1291,327.142,352.514
Githabul,Bandjalang,gida1240,band1358,87.643,93.286
TweedRiverandPointDangar,Minjungbal,yuga1244,minj1242,300.443,301.197
Yagara,Janday,yaga1256,jand1248,102.577,105.584
GoorengGooreng,Bayali,gure1255,baya1257,183.134,185.487
WakaWaka,DawsonRiver,waka1274,waka1274,0.0,0.0
UpperBrisbaneRiver,Duungidjawu,waka1274,duun1241,203.153,180.34
GlenInnes,Bigambal,yuga1244,biga1237,179.387,184.348
Yaygirr,Gumbaynggir,yayg1236,kumb1268,101.724,96.791
Ngarrindjeri,Balkurra,narr1259,yara1254,111.199,114.281
YithaYitha,Keramin,yith1234,nort2756,268.318,271.323
HOPKINSRIVER,Bindjali,warr1257,warr1257,2782.074,2784.514
MathiMathi,LakeHindmarsh,west2443,wotj1234,332.893,332.545
YortaYorta,YabulaYabula,yort1237,yort1237,96.885,103.987
Warluwarra,Bularnu,warl1256,bula1255,253.203,280.749
