language_1,language_2,glottocode_1,glottocode_2,median_distance,mean_distance
StandardEstonian,VoroSouthEstonian,esto1258,sout2679,81.86146356709735,80.83588649207191
KarelianProper,Veps,kare1335,veps1250,324.0429183282565,338.74433337649754
KildinSaami,SkoltSaami,kild1236,skol1241,76.7622868819337,76.53722032104945
PiteSaami,UmeSaami,pite1240,umes1235,37.65166015065431,40.3045692485419
KomiPermyak,KomiZyrian,komi1269,komi1268,184.5752518735132,171.54520951644173
SosvaMansi,VakhVasyuganKhanty,nort2677,fare1244,760.4656953359884,753.613603298653
Selkup,TundraNenets,tazz1244,nene1249,567.3824634657063,578.060332020637
VoroSouthEstonian,StandardEstonian,sout2679,esto1258,46.324800057616585,50.925532115216306
Veps,KarelianProper,veps1250,kare1335,58.90368967638473,61.55357612627735
SkoltSaami,KildinSaami,skol1241,kild1236,56.19666287942961,59.86704189361317
UmeSaami,PiteSaami,umes1235,pite1240,52.71018231707957,55.96382904480021
KomiZyrian,KomiPermyak,komi1268,komi1269,521.1122676173406,544.1214486325936
VakhVasyuganKhanty,SosvaMansi,fare1244,nort2677,793.7950321295958,786.6944486027134
TundraNenets,Selkup,nene1249,tazz1244,520.9649697408231,563.5702787296647
