language_1,language_2,median_distance,mean_distance
hung1274,fare1244,6543712.705742119,6498664.971350086
hung1274,nort2677,5240660.052658316,5193433.583457212
hung1274,east2328,3722976.599288652,3680109.639942907
hung1274,erzy1239,2798251.644417936,2750115.8376479046
fare1244,nort2677,1430261.2677148818,1404997.8220026824
fare1244,east2328,2572480.0291343704,2552856.938083828
fare1244,erzy1239,3227671.004104334,3218168.217889535
nort2677,east2328,1182286.5731216795,1230444.4380326949
nort2677,erzy1239,1883187.8244970897,1926557.665876715
east2328,erzy1239,320013.49529335625,350028.95516950445
esto1258,west2391,300704.79167345737,310008.5404229053
veps1250,ingr1248,459338.9935519589,467836.7253501568
veps1250,kare1335,115156.60380402429,114935.59258698879
ingr1248,kare1335,408078.5820540824,386756.8864799139
komi1269,komi1268,349472.47390724753,324301.9836466848
inar1241,skol1241,120567.4911134661,121939.39132258546
pite1240,nort2671,365571.46659974934,370298.77205304336
sout2674,umes1235,383114.99848395237,404081.01720657997
nene1249,tazz1244,1345909.696481302,1402563.3270506256
nene1249,ngan1291,1696462.8368354095,1708767.308011876
tazz1244,ngan1291,2648919.8687049486,2612632.5682723573
fare1244,hung1274,6362045.842035126,6356294.830143589
nort2677,hung1274,4902844.897402502,4906931.69599799
east2328,hung1274,3257498.481320585,3336664.481843588
erzy1239,hung1274,2446367.4682533713,2520985.7019865243
nort2677,fare1244,1525445.730610473,1482593.3420166688
east2328,fare1244,2593736.4576334683,2568001.135413089
erzy1239,fare1244,3464710.5322552845,3366565.3834447805
east2328,nort2677,1332430.8323593554,1260252.329444287
erzy1239,nort2677,2106661.7778576557,2061594.4365316995
erzy1239,east2328,611461.0888064366,579781.0168189568
west2391,esto1258,238528.70924722624,217162.61897846687
ingr1248,veps1250,553239.7551724904,552235.8800713697
kare1335,veps1250,701141.7890537127,732448.3836858493
kare1335,ingr1248,866168.0592618074,882490.6844154479
komi1268,komi1269,1135304.171858117,1201436.403619453
skol1241,inar1241,191160.8544221245,191447.54182516012
nort2671,pite1240,861950.0051851801,894428.7482789882
umes1235,sout2674,125299.24344994192,153254.14354568336
tazz1244,nene1249,1155393.816993325,1115466.5851915227
ngan1291,nene1249,1383441.068682578,1443271.5050594774
ngan1291,tazz1244,2414596.7034856635,2511805.7953940704
