language_1,language_2,Glottocode_1,Glottocode_2,median_distance,mean_distance
Hungarian,VakhVasyuganKhanty,hung1274,fare1244,3989.9561576891565,3968.6549250507433
Hungarian,SosvaMansi,hung1274,nort2677,3066.627525817963,3047.0002886996567
Hungarian,MeadowMari,hung1274,east2328,2317.4828980519674,2295.827589085482
Hungarian,Erzya,hung1274,erzy1239,1795.466334719014,1773.5622338448393
VakhVasyuganKhanty,SosvaMansi,fare1244,nort2677,780.5080612300918,776.9244648414951
VakhVasyuganKhanty,MeadowMari,fare1244,east2328,1464.39481252714,1465.8262574275693
VakhVasyuganKhanty,Erzya,fare1244,erzy1239,1886.8917427674462,1889.8742543883418
SosvaMansi,MeadowMari,nort2677,east2328,641.5236589423491,658.0224184509359
SosvaMansi,Erzya,nort2677,erzy1239,1062.8754106844985,1069.794013541995
MeadowMari,Erzya,east2328,erzy1239,195.7567616678985,211.74542958421856
StandardEstonian,WesternVotic,esto1258,west2391,160.85175629329376,165.66511841968588
Veps,Ingrian,veps1250,ingr1248,232.87707009428672,236.51810744079776
Veps,KarelianProper,veps1250,kare1335,58.848915105260886,61.09876577242868
Ingrian,KarelianProper,ingr1248,kare1335,208.1288476132916,196.61470037543003
KomiPermyak,KomiZyrian,komi1269,komi1268,190.82489437149067,177.5200095577224
InariSaami,SkoltSaami,inar1241,skol1241,44.41056463749406,45.11851851874297
PiteSaami,NorthSaami,pite1240,nort2671,142.88128961825078,145.31527802505948
SouthSaami,UmeSaami,sout2674,umes1235,178.59768962711757,187.8678378091513
TundraNenets,Selkup,nene1249,tazz1244,543.6728720984255,585.8338394949055
TundraNenets,Nganasan,nene1249,ngan1291,666.8029125343828,654.7175190998933
Selkup,Nganasan,tazz1244,ngan1291,1259.0600569273251,1195.420942863567
VakhVasyuganKhanty,Hungarian,fare1244,hung1274,3854.2843184553485,3845.983022373932
SosvaMansi,Hungarian,nort2677,hung1274,2860.0399291447775,2863.760360819556
MeadowMari,Hungarian,east2328,hung1274,2078.4519734896494,2104.968133363096
Erzya,Hungarian,erzy1239,hung1274,1571.2898810191762,1638.4073932304382
SosvaMansi,VakhVasyuganKhanty,nort2677,fare1244,768.2708296033595,758.3810498020385
MeadowMari,VakhVasyuganKhanty,east2328,fare1244,1547.0912422815863,1509.9969914790274
Erzya,VakhVasyuganKhanty,erzy1239,fare1244,2042.1623565349,1989.6435436437027
MeadowMari,SosvaMansi,east2328,nort2677,751.0109047879289,711.924630882124
Erzya,SosvaMansi,erzy1239,nort2677,1192.095125567451,1169.738987898727
Erzya,MeadowMari,erzy1239,east2328,362.1551521596326,341.61720054346836
WesternVotic,StandardEstonian,west2391,esto1258,110.41349275538431,103.1199242546492
Ingrian,Veps,ingr1248,veps1250,274.71971511004745,278.3492113758527
KarelianProper,Veps,kare1335,veps1250,331.73167376657045,340.86132401549986
KarelianProper,Ingrian,kare1335,ingr1248,413.15497350944406,413.13098439773415
KomiZyrian,KomiPermyak,komi1268,komi1269,519.2109079533695,537.8487582384143
SkoltSaami,InariSaami,skol1241,inar1241,66.0465022927466,66.45086373645441
NorthSaami,PiteSaami,nort2671,pite1240,308.69131335296936,326.3720390796869
UmeSaami,SouthSaami,umes1235,sout2674,53.49282594654256,64.02094082959087
Selkup,TundraNenets,tazz1244,nene1249,620.7200763395795,599.5394616611718
Nganasan,TundraNenets,ngan1291,nene1249,393.1781813224336,414.7656517816894
Nganasan,Selkup,ngan1291,tazz1244,818.0859016982606,856.8528960307787
