language_1,language_2,glottocode_1,glottocode_2,median_distance,mean_distance
Cora_27,Huichol_28,elna1235,huic1243,31.697,35.265
Papago_Pima_17,Pima_de_Onavas_18,toho1245,pima1248,299.999,294.073
Eudeve_21,Opata_20,eude1234,opat1246,20.841,23.713
Mayo_25,Yaqui_26,mayo1264,yaqu1251,254.286,256.049
Cahuilla_12,Cupeno_13,cahu1264,cupe1243,77.422,81.885
Kitanemuk_34,Serrano_11,kita1252,serr1255,0.0,6.667
Southern_Paiute_8,Southern_Ute_9,sout2969,utee1244,187.175,223.724
Mono_1,Northern_Paiute_2,mono1275,nort2954,89.883,89.192
Huichol_28,Cora_27,huic1243,elna1235,61.257,59.721
Pima_de_Onavas_18,Papago_Pima_17,pima1248,toho1245,306.732,270.647
Opata_20,Eudeve_21,opat1246,eude1234,107.581,108.28
Yaqui_26,Mayo_25,yaqu1251,mayo1264,103.557,116.233
Cupeno_13,Cahuilla_12,cupe1243,cahu1264,11.485,12.173
Serrano_11,Kitanemuk_34,serr1255,kita1252,99.365,92.35
Southern_Ute_9,Southern_Paiute_8,utee1244,sout2969,288.875,295.367
Northern_Paiute_2,Mono_1,nort2954,mono1275,594.469,563.641
