language_1,language_2,Glottocode_1,Glottocode_2,median_distance,mean_distance
Cahuilla_12,Cupeno_13,cahu1264,cupe1243,77.42182027404758,81.88528613236782
Kitanemuk_34,Serrano_11,kita1252,serr1255,0.0,6.666835857181216
Comanche_5,Pannamint_3,coma1245,pana1305,1857.8605631417417,1881.6730774535097
Chemehuevi_7,Southern_Paiute_8,chem1251,sout2969,66.45447713533196,66.55788980295462
Chemehuevi_7,Southern_Ute_9,chem1251,utee1244,613.5719331805327,612.5377030100409
Southern_Paiute_8,Southern_Ute_9,sout2969,utee1244,187.17536555365865,223.72431524599367
Mono_1,Northern_Paiute_2,mono1275,nort2954,89.88325635102989,89.19166807832735
Mayo_25,Yaqui_26,mayo1264,yaqu1251,254.28615160123553,256.0489937530329
Pipil_32,Aztec_Zacapoaxtla_31,pipi1250,high1278,2596.158341185215,2592.67811925457
Cora_27,Huichol_28,elna1235,huic1243,31.697074242072624,35.26491380606695
Eudeve_21,Opata_20,eude1234,opat1246,20.84137713770565,23.712614580039997
Pima_de_Onavas_18,Papago_Pima_17,pima1248,toho1245,306.73170633087113,270.64674117964734
Cupeno_13,Cahuilla_12,cupe1243,cahu1264,11.485188855302896,12.173086463263404
Serrano_11,Kitanemuk_34,serr1255,kita1252,99.36522453665367,92.34998371580653
Pannamint_3,Comanche_5,pana1305,coma1245,1517.04469494911,1510.9334141198892
Southern_Paiute_8,Chemehuevi_7,sout2969,chem1251,384.7800343324419,363.701305980828
Southern_Ute_9,Chemehuevi_7,utee1244,chem1251,923.7129928584953,927.3404842381369
Southern_Ute_9,Southern_Paiute_8,utee1244,sout2969,288.87492379733123,295.3671204052199
Northern_Paiute_2,Mono_1,nort2954,mono1275,594.4691462684189,563.6412623255462
Yaqui_26,Mayo_25,yaqu1251,mayo1264,103.55669013372744,116.23307644543692
Aztec_Zacapoaxtla_31,Pipil_32,high1278,pipi1250,2183.6557838290114,2184.234656106225
Huichol_28,Cora_27,huic1243,elna1235,61.25651770430768,59.72124514507537
Opata_20,Eudeve_21,opat1246,eude1234,107.58142071384574,108.2796763454877
Papago_Pima_17,Pima_de_Onavas_18,toho1245,pima1248,299.99925898872436,294.0725132090792
