language_1,language_2,Glottocode_1,Glottocode_2,median_distance,mean_distance
Cahuilla_12,Cupeno_13,cahu1264,cupe1243,77.43530761606425,88.98604491128044
Kitanemuk_34,Serrano_11,kita1252,serr1255,152.34148361039274,146.30527600370647
Comanche_5,Pannamint_3,coma1245,pana1305,1990.0924518950733,2004.4854925523882
Chemehuevi_7,Southern_Paiute_8,chem1251,sout2969,447.6691022507408,401.52311934829606
Chemehuevi_7,Southern_Ute_9,chem1251,utee1244,1038.8097328259996,1003.2501694046042
Southern_Paiute_8,Southern_Ute_9,sout2969,utee1244,654.6124540026578,636.1678084107539
Mono_1,Northern_Paiute_2,mono1275,nort2954,736.3747106179821,674.3546200898965
Mayo_25,Yaqui_26,mayo1264,yaqu1251,395.8685642940584,392.64768999374064
Pipil_32,Aztec_Zacapoaxtla_31,pipi1250,high1278,2667.649976148633,2676.7377359307425
Cora_27,Huichol_28,elna1235,huic1243,141.60812216641688,145.4958244084997
Eudeve_21,Opata_20,eude1234,opat1246,151.683017119961,158.96658417008314
Pima_de_Onavas_18,Papago_Pima_17,pima1248,toho1245,555.4819088805696,566.802140010554
Cupeno_13,Cahuilla_12,cupe1243,cahu1264,77.43530761606425,88.98604491128044
Serrano_11,Kitanemuk_34,serr1255,kita1252,152.34148361039274,146.30527600370647
Pannamint_3,Comanche_5,pana1305,coma1245,1990.0924518950733,2004.4854925523882
Southern_Paiute_8,Chemehuevi_7,sout2969,chem1251,447.6691022507408,401.52311934829606
Southern_Ute_9,Chemehuevi_7,utee1244,chem1251,1038.8097328259996,1003.2501694046042
Southern_Ute_9,Southern_Paiute_8,utee1244,sout2969,654.6124540026578,636.1678084107539
Northern_Paiute_2,Mono_1,nort2954,mono1275,736.3747106179821,674.3546200898965
Yaqui_26,Mayo_25,yaqu1251,mayo1264,395.8685642940584,392.64768999374064
Aztec_Zacapoaxtla_31,Pipil_32,high1278,pipi1250,2667.649976148633,2676.7377359307425
Huichol_28,Cora_27,huic1243,elna1235,141.60812216641688,145.4958244084997
Opata_20,Eudeve_21,opat1246,eude1234,151.683017119961,158.96658417008314
Papago_Pima_17,Pima_de_Onavas_18,toho1245,pima1248,555.4819088805696,566.802140010554
