"glcode","total_pages","iso","macroarea","family_name","latitude","longitude","GB020"
"aari1239",1181,"aiw","Africa",NA,NA,NA,NA
"aasa1238",1136,"aas","Africa",NA,NA,NA,NA
"abab1239",15,NA,"Africa",NA,NA,NA,NA
"abad1241",148,"kbt","Papunesia","Austronesian",-9.03389,146.992,"?"
"abag1245",8,"abg",NA,NA,NA,NA,NA
"abar1238",782,"mij","Africa","Atlantic-Congo",6.5805,10.2267,"1"
"abau1245",3386,"aau","Papunesia","Sepik",-3.97222,141.324,"0"
"abaz1241",4038,"abq","Eurasia",NA,NA,NA,NA
"abee1242",290,"aba","Africa","Atlantic-Congo",5.59682,-4.38497,"1"
"aben1249",401,"abp","Papunesia","Austronesian",15.4131,120.2,"0"
"abid1235",1043,"abi","Africa",NA,NA,NA,NA
"abin1243",482,"bsa","Papunesia",NA,NA,NA,NA
"abip1241",1656,"axb","South America","Guaicuruan",-29,-61,"?"
"abis1238",899,"ash","South America",NA,NA,NA,NA
"abkh1244",10876,"abk","Eurasia","Abkhaz-Adyge",43.056218,41.159115,"1"
"abom1238",49,"aob","Papunesia",NA,NA,NA,NA
"abro1238",1055,"abr","Africa",NA,NA,NA,NA
"abua1244",507,"abn","Africa",NA,NA,NA,NA
"abua1245",372,"aah","Papunesia","Nuclear Torricelli",-3.461612,142.917031,"0"
"abui1241",2759,"abz","Papunesia","Timor-Alor-Pantar",-8.31058,124.588,"1"
"abun1252",1103,"kgr","Papunesia",NA,-0.57073,132.416,"1"
"abur1243",771,"abu","Africa",NA,NA,NA,NA
"abur1244",26,"mgj","Africa",NA,NA,NA,NA
"abuu1241",8,"ado","Papunesia",NA,NA,NA,NA
"acat1239",881,"tpx","North America",NA,NA,NA,NA
"acha1249",1518,"acn","Eurasia","Sino-Tibetan",24.3479,97.7438,"0"
"acha1250",2449,"aca","South America","Arawakan",4.38649,-72.2005,"0"
"ache1244",28,"yif",NA,NA,NA,NA,NA
"ache1245",244,"acz","Africa","Narrow Talodi",10.8827,30.3187,"0"
"ache1246",2643,"guq","South America","Tupian",-25.5865,-56.4697,"?"
"achi1256",3071,"acr","North America","Mayan",15.073,-90.3513,"1"
"achi1257",11343,"ace","Papunesia","Austronesian",3.90757,96.6032,"0"
"achu1247",852,"acv","North America","Palaihnihan",41.0979,-121.191,"0"
"achu1248",5556,"acu","South America","Chicham",-2.82646,-77.2641,"0"
"acol1236",5559,"ach","Africa","Nilotic",3.57738,32.5147,"0"
"acom1246",593,NA,"North America",NA,NA,NA,NA
"acro1239",449,"acs","South America",NA,NA,NA,NA
"adai1235",15,"xad","North America",NA,NA,NA,NA
"adam1238",507,"ads","Africa",NA,NA,NA,NA
"adam1253",16376,"fub",NA,NA,NA,NA,NA
"adan1247",107993,"ada",NA,NA,NA,NA,NA
"adan1248",198,"adq","Africa",NA,NA,NA,NA
"adan1251",476,"adn","Papunesia","Timor-Alor-Pantar",-8.18958,124.448,"1"
