Language1,Language2,Distance
megl1237,roma1327,0.4723222351271132
neap1235,ital1282,0.28685872030942455
friu1240,ladi1250,0.42307791114609294
angl1258,stan1290,0.18927445682764832
angl1258,fran1269,0.577329846079846
angl1258,oldf1239,0.1414778160260088
angl1258,wall1255,0.421195652173913
stan1290,fran1269,0.5601105035315562
stan1290,oldf1239,0.15808106575963718
stan1290,wall1255,0.41798497922658995
fran1269,oldf1239,0.559078144078144
fran1269,wall1255,0.6058096380038825
oldf1239,wall1255,0.4402894491129785
oldc1251,stan1289,0.04654153348420864
olds1249,stan1288,0.0773844333240819
braz1246,port1283,0.004065040650406504
barb1262,sout2614,0.2517300445357999
osca1245,umbr1253,0.49041353383458647
