lang,mean_distance,median_distance
AlbanianGheg,5296.499,4570.632
ArmenianEastern,5066.697,4055.558
Bengali,2814.552,1764.752
Bulgarian,3338.789,2679.969
Belarusian,1695.812,1208.379
Catalan,1571.698,1243.707
Czech,996.673,748.634
Danish,581.273,517.092
English,998.979,773.354
Faroese,2168.224,2021.716
Flemish,370.97,318.767
Frisian,185.219,181.015
German,999.414,844.229
Hindi,5482.159,3958.23
GaelicIrish,2215.547,1780.765
Italian,1704.585,1355.951
Kashmiri,7380.754,6449.417
Ladin,1747.403,1617.508
Latvian,1578.783,1320.024
Lithuanian,2572.91,1839.548
SorbianLower,905.573,869.003
SorbianUpper,634.201,522.022
Marathi,3623.108,2658.862
PersianTehran,25233.211,23285.556
Polish,925.134,744.88
Romanian,5004.033,4125.948
SardinianLogudoro,2323.767,1824.313
SardinianNuoro,3122.192,2666.633
Sinhalese,2807.59,2257.55
Slovak,2457.88,2223.639
Spanish,4054.645,3220.578
Swedish,1190.46,721.11
Oscan,4437.113,3602.806
Mazanderani,7607.672,6518.345
Ukrainian,2358.003,1831.507
GreekPontic,7800.785,7355.029
Urdu,8098.631,7602.972
BretonTreger,1655.584,1429.817
AlbanianArberesh,3218.658,2997.707
Hittite,8463.752,6089.272
OldChurchSlavonic,6110.487,5628.609
BretonGwened,976.248,815.326
Delvari,34297.678,30471.464
WelshNorth,1544.96,1313.485
Magahi,5540.947,5176.376
GermanBernese,980.846,908.16
OsseticIron,5612.367,4691.109
AncientGreek,3158.137,2887.146
MiddleCornish,1694.072,1431.627
Bhojpuri,3979.17,2613.599
Walloon,1039.814,957.233
VedicEarly,12167.074,8689.481
SloveneKostel,15060.657,14724.094
OldPersian,12777.533,9812.389
OsseticDigor,6688.544,6416.945
TocharianA,18166.896,18430.5
Khowar,7931.536,6993.459
Maithili,2208.085,984.234
Elfdalian,1170.115,916.951
MiddleWelsh,2116.925,1123.093
Tati,7535.233,6229.082
GreekCappodocian,7509.451,6215.544
Kumzari,20194.386,16341.82
Luxembourgish,1268.284,1036.315
Gawarbati,8012.419,7933.496
Gawri,11759.626,9134.465
PashaiNorthWest,17563.189,15588.444
AlbanianStandard,3579.589,2885.852
SloveneEarlyModern,2681.802,2318.915
Hawrami,13060.899,10237.878
Palula,5262.644,4987.841
KurdishCJafi,11481.7,10018.127
AvestanYounger,22034.114,20952.822
Slovene,2681.802,2318.915
Bakhtiari,18204.957,16488.264
OldIrish,2343.084,1798.774
Macedonian,5799.542,5288.758
MeglenoRomanian,5105.64,4154.949
OldFrisian,1183.049,412.68
GaelicScottish,3626.135,1553.796
GaelicManx,1333.717,1335.736
KurdishNBahdini,16702.303,13026.275
Kashubian,669.86,618.553
MiddleHighGerman,1091.486,847.907
Umbrian,3018.524,2478.535
OldPrussian,1455.998,746.445
LateCornish,1264.34,1126.819
OldHighGerman,1091.486,847.907
Gothic,930.565,797.886
Latin,2003.156,1832.342
OldSwedish,1766.221,1184.462
Latgalian,2872.511,1920.042
OldEnglish,1173.888,840.964
OldSaxon,749.245,569.398
TocharianB,24866.776,23015.439
Wakhi,5624.367,4644.412
Milanese,1604.855,1250.767
FrancoProvencal,1351.936,1046.745
OldIcelandic,2702.75,1902.843
Dutch,339.844,273.661
Greek,5391.707,4554.14
MiddleDutch,758.853,458.723
Portuguese,1559.606,1185.05
PortugueseBrazilian,1559.606,1185.05
Icelandic,2773.63,1796.628
Friulian,2233.483,2112.296
OldFrench,824.76,583.394
Assamese,8775.702,5454.429
MiddleBreton,1406.077,1206.884
Russian,11078.387,5955.835
