lang,mean_distance,median_distance
AghuTharrnggala,2455.344,1447.209
Alngith,803.657,589.486
Aminungo,14775.704,12708.464
Ayapathu,7620.531,7593.473
Barna,16612.253,17994.922
BarrowPoint,1824.249,1491.338
Belyando,14775.704,12708.464
BidyaraGungabula,34043.707,28858.846
Bindal,8324.429,5137.564
Biri,14775.704,12708.464
Coonambella,38067.336,32466.986
Dharawala,14307.266,13167.57
Dharumbal,6372.73,5335.998
Djabugay,5255.416,4684.416
Dyirbal,4432.111,3795.41
FlindersIsland,13994.399,13685.839
Gangulu,13795.276,11661.244
Gudang,915.032,685.744
Gudjal,16162.22,15374.576
GuguBadhun,20367.022,17302.24
Gugumini,10483.473,10327.065
Gunggari,22117.704,20445.692
Gunya,7444.041,4814.576
GuuguYimidhirr,8680.603,8232.935
Guwamu,5707.543,3646.252
Ikarranggal,10483.473,10327.065
Injinoo,2001.446,1339.816
KKY,6072.707,4676.4
KLY,6072.707,4676.4
Kaanju,9435.074,8296.481
KokNar,1907.17,1290.073
KuguNganhcara,1196.464,240.275
Kukatj,6284.835,3974.138
KukuYalanji,18307.385,10707.563
Kurtjar,2166.425,2003.575
KuukThaayorre,290.087,61.2
KuukuYau,7624.198,6260.427
Linngithigh,4666.319,4183.414
Mabuiag,5650.393,5417.948
Margany,11891.765,10534.201
Mbabaram,8119.442,7357.914
Mbakwithi,3169.563,1801.522
Mpalityan,6996.197,4586.598
NatalDowns,14775.704,12708.464
Nyawaygi,14288.439,11531.66
Olkola,2839.852,1514.792
Pakanh,1082.364,643.945
Tambo,23994.429,21815.623
Thaynakwith,803.657,589.486
Umpila,13304.927,14695.174
Umpithamu,6770.54,5599.868
UpperParoo,23994.429,21815.623
Uradhi,8329.72,4008.473
UwOykangand,2579.364,1348.172
Wadjabangayi,36224.2,21443.065
Walangama,7903.407,7883.676
Wargamay,3198.239,1917.591
Warungu,10328.36,8642.408
WikMungkan,3747.964,2714.47
Wulguru,38067.336,32466.986
Yadhaykenu,11668.879,5755.918
Yambina,16361.068,14894.122
Yidiny,4184.473,3872.185
Yiningay,10954.672,8873.948
Yinwum,7936.938,6539.556
YirYoront,1563.753,950.328
Yirandali,14768.673,12085.563
