lang,mean_distance,median_distance
Adnyamathanha,14575.59,10513.762
AghuTharrnggala,19032.672,17733.514
Alngith,7164.978,6828.974
Alyawarr,44938.841,42301.903
Aminungo,26782.479,25211.92
Antekerrepenhe,32648.554,29759.372
Arabana,11205.296,9014.865
Awabakal,5346.569,2692.833
Ayapathu,10765.065,10208.31
Badimaya,28771.544,17114.265
Badjiri,19135.528,16647.725
Balkurra,13172.792,6553.696
Bandjalang,8344.338,8018.96
Barna,20098.699,16470.955
BarrowPoint,23959.854,19375.115
Batyala,5676.188,4580.184
Bayali,16632.481,11826.423
Belyando,26782.479,25211.92
Bibbulman,9461.918,4317.309
BidyaraGungabula,38358.599,35706.883
Bigambal,20725.66,17419.572
Bilinarra,49329.658,48142.275
Bindal,13968.377,10851.688
Bindjali,13968.377,10851.688
Biri,26782.479,25211.92
Birrpayi,45683.013,15191.35
Bularnu,54289.476,49570.758
Bunganditj,6750.199,5050.258
CentralAnmatyerr,37329.697,28553.766
ChampionBay,21215.486,20105.483
Coonambella,8241.479,6748.709
Dalla,18430.152,10232.124
Darkinyung,16697.245,15057.034
DawsonRiver,18430.152,10232.124
Dhangu,20918.962,20977.118
Dharawal,3352.391,2546.167
Dharawala,40992.356,31533.34
Dharuk,7200.475,4659.345
Dharumbal,14209.803,12084.968
Dhayyi,16113.707,15296.839
Dhudhuroa,7195.654,5604.484
Dhurga,17509.31,16003.254
Dhuwal,41120.518,37386.862
Dhuwala,47025.989,46318.129
Diyari,6842.616,5557.426
Djabugay,4284.635,3933.208
Djinang,7874.137,5579.916
Duungidjawu,1956.883,1357.859
Dyirbal,12133.561,10765.815
Gamilaraay,12902.963,10257.95
Gangulu,41050.188,39746.271
Garlali,16221.761,16585.862
Githabul,11815.829,10752.93
GlenInnes,27298.74,19385.173
GoorengGooreng,25409.796,27170.759
Gudang,6410.229,5436.225
Gudjal,20912.974,18744.225
GuguBadhun,50416.317,50112.849
Gugumini,19831.153,15815.872
Gumbaynggir,19369.746,18780.637
Gundungurra,8385.195,5765.448
Gunggari,36964.256,35858.025
Gunya,30570.2,25391.538
Gurindji,26081.366,21725.467
GuuguYimidhirr,50142.249,35176.103
Guwa,25835.402,24350.963
Guwamu,42090.668,30938.502
Guwar,4645.359,3500.042
Guyani,13049.841,7700.599
HOPKINSRIVER,4034.17,3788.541
Ikarranggal,19831.153,15815.872
Injinoo,15676.8,14985.016
IrwinMurchison,28771.544,17114.265
Iyora,1848.239,889.975
Janday,5338.816,4481.644
Jaru,54088.089,61357.915
JaruMcC,54088.089,61357.915
Jiwarli,5512.217,3033.805
Jiwarliny,137073.225,147302.679
KKY,10522.533,9750.076
KLY,10522.533,9750.076
Kaanju,43593.642,36934.956
Kalaamaya,20133.238,16146.976
Kalkatungu,26870.829,21095.032
Kaniyang,7119.459,6954.609
Karajarri,102955.777,103742.026
KarajarriNW,102955.777,103742.026
Kariyarra,28450.277,26297.499
Karree,5346.569,2692.833
Kartujarra,61692.739,58774.392
Karuwali,34089.199,28750.159
Katthang,13386.745,11504.603
Kaurna,12298.137,8936.69
Kaytetye,67247.107,62913.074
Keerraywoorroong,4034.17,3788.541
Keramin,5041.441,2804.544
KingsCreekandtheGeorginaRiver,29958.672,29104.103
KokNar,35527.142,35106.898
KuguNganhcara,19760.089,18577.53
Kukatj,33784.371,27692.28
Kukatja,87554.635,88880.979
KukuYalanji,14134.549,13581.143
Kungkari,51126.068,44843.525
Kurnu,10408.623,2683.05
Kurrama,5309.147,4435.578
Kurtjar,18992.741,17502.831
KuukThaayorre,13132.835,11324.316
KuukuYau,56001.722,59682.49
LakeHindmarsh,17702.935,14681.034
Lardil,9751.937,8156.714
Linngithigh,19860.963,20414.225
Mabuiag,6638.874,7297.402
Malgana,45453.25,32417.07
Malngin,40976.942,34563.064
Malyangapa,9050.939,6009.596
Manjiljarra,103616.206,103651.868
Margany,43089.89,38276.021
MartuWangka,103616.206,103651.868
Martuthunira,9310.287,6841.686
MathiMathi,26440.909,22940.26
MayiThakurti,37351.418,29812.622
MayiYapi,26939.68,21481.224
Mbabaram,6555.269,5567.351
Minjungbal,5970.201,5272.641
Minkin,29806.129,28704.264
Mirniny,82641.22,84146.672
Mithaka,12336.418,10490.688
Mudburra,85612.243,65588.631
MudburraMcC,85612.243,65588.631
MuliarraTribe,42802.857,35493.512
Muruwari,12812.169,5392.124
Narrungga,12401.051,10121.738
