lang,mean_distance,median_distance
Adnyamathanha,46658.01,40058.339
AghuTharrnggala,2455.344,1447.209
Alngith,803.657,589.486
Alyawarr,19221.048,16253.573
Aminungo,14775.704,12708.464
Antekerrepenhe,27181.792,24401.011
Arabana,18686.321,18416.11
Awabakal,1894.523,1308.396
Ayapathu,7620.531,7593.473
Badimaya,51370.956,29410.812
Badjiri,6324.233,3428.169
Balkurra,8417.238,5568.124
Bandjalang,2702.189,1508.218
Barna,16612.253,17994.922
BarrowPoint,1824.249,1491.338
Batyala,3320.384,2205.104
Bayali,6797.725,3688.97
Belyando,14775.704,12708.464
Bibbulman,5071.75,4257.248
BidyaraGungabula,34043.707,28858.846
Bigambal,14601.914,10676.474
Bilinarra,18157.393,8390.879
Bindal,8324.429,5137.564
Bindjali,8324.429,5137.564
Biri,14775.704,12708.464
Birrpayi,1255.73,1025.206
Bularnu,14350.254,13075.659
Bunganditj,2859.995,2111.365
CentralAnmatyerr,35475.431,33287.382
ChampionBay,16301.697,13150.025
Coonambella,38067.336,32466.986
Dalla,11459.508,7081.625
Darkinyung,4983.887,2764.857
DawsonRiver,11459.508,7081.625
Dhangu,2091.461,1805.081
Dharawal,1016.006,655.589
Dharawala,14307.266,13167.57
Dharuk,1910.624,934.322
Dharumbal,6372.73,5335.998
Dhayyi,984.272,766.738
Dhudhuroa,6614.051,4431.594
Dhurga,1702.841,1513.672
Dhuwal,1698.173,1260.166
Dhuwala,2115.048,1333.565
Diyari,12121.652,12109.366
Djabugay,5255.416,4684.416
Djinang,1443.134,720.293
Duungidjawu,1911.728,1307.332
Dyirbal,4432.111,3795.41
FlindersIsland,13994.399,13685.839
Gamilaraay,10990.988,3837.38
Gangulu,13795.276,11661.244
Garlali,20282.162,16355.108
Githabul,22823.662,16318.887
GlenInnes,2448.77,1362.71
Golpa,13068.881,10286.0
GoorengGooreng,24114.342,22309.691
Gudang,915.032,685.744
Gudjal,16162.22,15374.576
GuguBadhun,20367.022,17302.24
Gugumini,10483.473,10327.065
Gumbaynggir,1447.838,1145.4
Gundungurra,1675.574,1149.423
Gunggari,22117.704,20445.692
Gunya,7444.041,4814.576
Gurindji,21669.746,12170.306
GuuguYimidhirr,8680.603,8232.935
Guwa,19142.045,16634.439
Guwamu,5707.543,3646.252
Guwar,4547.316,4337.748
Guyani,21978.407,19984.269
HOPKINSRIVER,3584.201,2735.052
Ikarranggal,10483.473,10327.065
Injinoo,2001.446,1339.816
IrwinMurchison,51370.956,29410.812
Iyora,1207.826,1090.275
Janday,2115.839,1164.981
Jaru,12016.536,6994.625
JaruMcC,12016.536,6994.625
Jiwarli,54168.345,43985.693
Jiwarliny,175971.824,192226.433
KKY,6072.707,4676.4
KLY,6072.707,4676.4
Kaanju,9435.074,8296.481
Kalaamaya,82070.447,76642.911
Kalkatungu,25192.028,21183.063
Kaniyang,6778.943,5982.795
Karajarri,77508.523,72995.904
KarajarriNW,77508.523,72995.904
Kariyarra,14851.495,14745.833
Karree,1894.523,1308.396
Kartujarra,52978.184,51685.898
Karuwali,18726.587,14944.509
Katthang,1275.863,920.661
Kaurna,13054.539,11409.772
Kayardild,3200.191,2065.365
Kaytetye,33716.183,28868.805
Keerraywoorroong,3584.201,2735.052
Keramin,6004.878,3629.612
KingsCreekandtheGeorginaRiver,20205.811,14370.831
KokNar,1907.17,1290.073
KuguNganhcara,1196.464,240.275
Kukatj,6284.835,3974.138
Kukatja,134106.413,122480.614
KukuYalanji,18307.385,10707.563
Kungkari,12707.674,11158.812
Kurnu,12876.793,9774.837
Kurrama,57099.98,56151.595
Kurtjar,2166.425,2003.575
KuukThaayorre,290.087,61.2
KuukuYau,7624.198,6260.427
LakeHindmarsh,32272.686,27317.607
Lardil,2325.315,1545.032
Linngithigh,4666.319,4183.414
Mabuiag,5650.393,5417.948
Malgana,19607.588,15379.623
Malngin,37989.59,34785.561
Malyangapa,19374.193,9143.518
Manjiljarra,161757.007,165599.211
Margany,11891.765,10534.201
MartuWangka,161757.007,165599.211
Martuthunira,27508.607,23957.641
MathiMathi,39170.419,31493.683
MayiThakurti,5588.744,2966.991
MayiYapi,9071.487,6000.842
Mbabaram,8119.442,7357.914
Mbakwithi,3169.563,1801.522
Minjungbal,1696.561,1127.982
Minkin,5142.586,2901.018
Mirniny,233210.771,171442.352
Mithaka,17367.947,14341.666
Mpalityan,6996.197,4586.598
Mudburra,57692.667,43958.486
MudburraMcC,57692.667,43958.486
MuliarraTribe,20710.202,14475.074
Muruwari,7075.444,5237.733
Narrungga,13952.008,12249.531
NatalDowns,14775.704,12708.464
NewNorciaandLeschenaultBay,17514.644,5756.116
Ngaanyatjarra,172049.055,129836.377
Ngadjumaya,172846.944,108313.731
Ngadjuri,18763.043,16623.758
Ngaiawang,13269.081,11802.1
Ngamini,8140.326,4557.498
Ngarigu,1809.957,1447.679
Ngarinyman,42584.764,31162.826
Ngarla,11812.961,8243.694
Ngarluma,9101.971,5233.382
Ngarrindjeri,7016.625,4544.532
Ngawun,9326.602,8210.325
NggoiMwoi,2702.189,1508.218
Ngiyambaa,19754.016,15240.488
Ngunawal,2549.733,1721.097
Nhanta,16301.697,13150.025
Nhirrpi,80500.149,82984.62
NorthernNyangumarta,84214.284,71424.583
Nukunu,19123.849,16461.533
Nyamal,19828.845,16413.902
Nyangumarta,84214.284,71424.583
Nyawaygi,14288.439,11531.66
Nyungar,17514.644,5756.116
Olkola,2839.852,1514.792
Paakantyi,15248.668,10542.369
Pakanh,1082.364,643.945
Panyjima,32367.345,27706.923
Parnkala,34379.935,34119.648
Payungu,13638.73,9878.787
Pinjarra,17514.644,5756.116
Pirriya,9604.262,7646.761
PittaPitta,20205.811,14370.831
Punthamara,19265.147,16040.449
Purduna,74906.77,67198.4
Ritharrngu,2973.181,2427.56
RoxburghDowns_LowerGeorgina,20205.811,14370.831
SteeleGDG,2161.325,1186.693
Tambo,23994.429,21815.623
Tenterfield,2448.77,1362.71
Thalanyji,44678.25,52271.452
Thanggatti,1772.904,1474.879
Tharrgari,58256.006,53421.134
Thaynakwith,803.657,589.486
Tjapwurrung,4942.25,3915.453
TweedRiverandPointDangar,2448.77,1362.71
Umpila,13304.927,14695.174
Umpithamu,6770.54,5599.868
UpperBrisbaneRiver,11459.508,7081.625
UpperParoo,23994.429,21815.623
Uradhi,8329.72,4008.473
UwOykangand,2579.364,1348.172
Wadikali,7729.42,3004.969
Wadjabangayi,36224.2,21443.065
Wailwan,13290.248,8025.715
Wajarri,20710.202,14475.074
WakaWaka,11459.508,7081.625
Wakaya,30459.897,14755.431
Walangama,7903.407,7883.676
WalmajarriHR,118476.17,93806.459
WalmajarriNW,118476.17,93806.459
Wanamara,18038.232,14928.503
Wangkangurru,137202.323,110691.092
Wangkayutyuru,37545.241,18557.286
Wangkumara,11745.565,7032.976
WangkumaraMcDWur,11745.565,7032.976
Wardandi,7148.099,6076.663
Wargamay,3198.239,1917.591
Warlmanpa,56478.573,48829.018
Warlpiri,56825.751,53142.843
Warluwarra,18003.421,18217.206
Warnman,78002.278,64963.785
Warriyangga,29377.182,16341.259
Warrnambool,3584.201,2735.052
Warumungu,51794.795,37450.839
Warungu,10328.36,8642.408
Wathawurrung,4486.542,3332.476
Wathiwathi,5325.673,3107.511
Watjuk,10575.415,6417.233
WembaWemba,3240.57,1872.253
WesternArrarnta,132565.511,146495.429
WikMungkan,3747.964,2714.47
Wiradjuri,7654.634,5519.815
Wirangu,72950.226,56837.521
Woiwurrung,6591.137,4791.959
Wulguru,38067.336,32466.986
YabulaYabula,4922.893,3714.059
Yadhaykenu,11668.879,5755.918
Yagara,2588.47,1739.581
Yalarnnga,25389.973,19012.28
Yambina,16361.068,14894.122
Yanda,33961.076,30576.838
Yandruwandha,27533.819,20729.91
Yanyuwa,2922.574,2128.035
Yardliyawarra,44160.812,34710.667
Yarluyandi,3581.439,2079.203
Yawarrawarrka,17026.565,13800.254
Yaygirr,2046.099,1136.671
Yidiny,4184.473,3872.185
Yindjibarndi,28346.799,26768.636
