ascii,mean_distance,median_distance
Adnyamathanha,33290.874,27928.072
AghuTharrnggala,2931.639,1666.972
Alngith,976.662,475.203
Alyawarr,18993.159,17600.411
Aminungo,5016.369,2753.705
Antekerrepenhe,23420.354,20276.325
Arabana,9446.805,5652.632
Awabakal,1887.217,1639.321
Ayapathu,10112.131,8909.154
Badimaya,11579.769,10452.849
Badjiri,4246.291,2249.23
Balkurra,8629.321,5320.05
Bandjalang,8420.825,8110.211
Barna,7114.774,6232.636
BarrowPoint,2195.616,1198.64
Batyala,2929.383,1875.694
Bayali,4494.376,3237.119
Belyando,5016.369,2753.705
Bibbulman,6716.002,5586.542
BidyaraGungabula,20295.922,18286.066
Bigambal,13985.657,13096.581
Bilinarra,24363.197,15079.244
Bindal,5747.319,4639.001
Bindjali,5747.319,4639.001
Biri,5016.369,2753.705
Birrpayi,3519.722,1929.911
Bularnu,10366.66,9300.366
Bunganditj,4908.665,4147.304
CentralAnmatyerr,22387.599,12117.092
ChampionBay,16869.615,10747.09
Coonambella,6730.196,4957.358
Dalla,10213.162,9965.115
Darkinyung,9879.562,7661.608
DawsonRiver,10213.162,9965.115
Dhangu,4523.584,3987.184
Dharawal,1938.087,1401.22
Dharawala,12504.554,10790.2
Dharuk,10950.879,7916.346
Dharumbal,6496.32,4012.492
Dhayyi,1607.89,972.485
Dhudhuroa,11013.542,10922.274
Dhurga,4178.308,3614.609
Dhuwal,3470.971,3209.769
Dhuwala,3913.818,2022.44
Diyari,6403.575,5100.747
Djabugay,10404.613,10642.503
Djinang,2055.309,595.374
Duungidjawu,3590.759,2877.585
Dyirbal,24619.879,24815.103
FlindersIsland,15024.297,15971.93
Gamilaraay,11420.659,6565.394
Gangulu,10432.153,8293.817
Garlali,10983.6,5969.818
Githabul,18030.523,14928.365
GlenInnes,10156.815,9176.943
Golpa,31318.567,30244.471
GoorengGooreng,11319.203,9847.178
Gudang,1342.936,899.407
Gudjal,6016.566,5279.874
GuguBadhun,7716.982,6983.487
Gugumini,11679.76,11104.567
Gumbaynggir,3239.409,2273.73
