lang,mean_distance,median_distance
AghuTharrnggala,32837.034,31566.873
Alngith,15951.056,16694.194
Aminungo,18732.544,18790.352
Awabakal,2597.169,2122.093
Badimaya,135482.324,125424.956
Badjiri,15792.55,9856.473
Balkurra,15857.268,12689.156
Bandjalang,2899.417,1511.622
BarrowPoint,8319.114,7211.007
Batyala,13459.079,15153.584
Bayali,15532.973,7188.174
Belyando,18732.544,18790.352
Bibbulman,8490.743,6499.395
BidyaraGungabula,118325.496,115309.543
Bigambal,33127.71,26495.616
Bindal,15724.973,7622.717
Bindjali,15724.973,7622.717
Biri,18732.544,18790.352
Birrpayi,1689.361,1236.462
Bularnu,138730.293,122740.035
Bunganditj,26184.255,16571.431
ChampionBay,48573.808,46197.135
Coonambella,40149.894,33102.345
Dalla,26212.556,11619.383
Darkinyung,5454.117,2979.482
DawsonRiver,26212.556,11619.383
Dhangu,8130.262,5196.619
Dharawal,1287.482,1041.452
Dharawala,50806.777,38775.735
Dharuk,2029.736,1009.175
Dharumbal,13671.658,9983.721
Dhayyi,14344.441,13293.945
Dhudhuroa,7508.6,5485.701
Dhurga,1864.088,1552.015
Dhuwal,7991.217,4981.578
Dhuwala,9570.856,7389.281
Diyari,66729.768,58382.561
Djabugay,8269.916,6490.274
Djinang,7565.69,4537.74
Duungidjawu,3432.105,2644.07
Dyirbal,4519.127,3795.41
Gamilaraay,12118.907,5371.043
Gangulu,74831.963,61075.385
Garlali,71945.713,65541.86
Githabul,38179.739,33199.287
GlenInnes,2477.322,1437.164
Golpa,13269.761,10286.0
GoorengGooreng,58643.852,47665.32
Gudang,2421.482,1106.836
Gudjal,29672.682,23713.89
GuguBadhun,64693.56,54635.628
Gugumini,28056.451,26615.546
Gumbaynggir,1534.18,1145.4
Gundungurra,1789.74,1318.748
Gunggari,80775.893,73688.389
Gunya,9223.602,6002.797
GuuguYimidhirr,20706.395,16776.64
Guwa,39951.913,37096.796
Guwamu,9934.73,5401.687
Guyani,74450.14,70450.249
HOPKINSRIVER,14001.208,8445.001
Ikarranggal,28056.451,26615.546
Injinoo,11803.075,10941.619
IrwinMurchison,135482.324,125424.956
Iyora,2574.667,2044.654
Janday,8123.998,6686.184
Jaru,148750.872,131304.45
JaruMcC,148750.872,131304.45
KKY,6707.572,5356.571
KLY,6707.572,5356.571
Kaanju,52596.826,47431.862
Kalaamaya,137611.192,147580.379
Kalkatungu,67793.408,67796.034
Kaniyang,32091.413,28155.586
Karajarri,111936.591,112655.004
KarajarriNW,111936.591,112655.004
Kariyarra,73037.942,70860.163
Karree,2597.169,2122.093
Katthang,1294.032,920.661
Kaurna,66517.54,57315.999
Kayardild,12296.294,10619.863
Kaytetye,184139.663,159743.905
Keerraywoorroong,14001.208,8445.001
Keramin,8690.915,7396.392
KingsCreekandtheGeorginaRiver,91037.374,80857.001
KokNar,23244.775,14648.535
KuguNganhcara,41840.592,37920.623
Kukatj,58962.751,49348.848
KukuYalanji,31150.899,26983.643
Kungkari,36654.227,36889.18
Kurnu,59407.597,47690.267
Kurtjar,30007.02,27297.869
KuukThaayorre,40516.69,44487.38
KuukuYau,13711.675,13472.411
LakeHindmarsh,203102.14,197600.216
Lardil,4458.639,4181.652
Linngithigh,12376.957,11635.61
Mabuiag,5650.393,5417.948
Malgana,34534.915,27003.952
Malyangapa,28964.451,10364.166
Margany,16311.758,14157.607
Martuthunira,183372.17,200068.806
MathiMathi,48871.302,40922.524
MayiThakurti,9723.099,3677.435
MayiYapi,41149.735,40134.214
Mbabaram,15994.189,9195.718
Mbakwithi,6111.758,4679.668
Minjungbal,1981.391,1338.684
Minkin,18241.664,14125.534
MuliarraTribe,134647.905,120806.003
Muruwari,9169.854,5817.096
Narrungga,99049.86,93728.506
NatalDowns,18732.544,18790.352
Ngadjumaya,172846.944,108313.731
Ngadjuri,37326.651,37817.604
Ngaiawang,37430.223,29429.097
Ngarigu,2069.153,1551.903
Ngarinyman,95834.657,92231.956
Ngarla,24559.871,16180.492
Ngarluma,29216.46,21737.542
Ngarrindjeri,10477.48,7352.515
Ngawun,45136.197,47561.426
NggoiMwoi,2899.417,1511.622
Ngiyambaa,36941.186,32203.791
Ngunawal,2564.943,1721.097
Nhanta,48573.808,46197.135
Nukunu,68934.722,67387.702
Nyawaygi,14289.508,11531.66
Paakantyi,21560.733,14131.745
Parnkala,70608.331,54118.344
Payungu,37405.955,39716.551
Pirriya,148863.431,146300.317
PittaPitta,91037.374,80857.001
Purduna,74906.77,67198.4
Ritharrngu,37653.903,37686.489
RoxburghDowns_LowerGeorgina,91037.374,80857.001
SteeleGDG,3398.623,1413.74
Tambo,95660.548,77568.149
Tenterfield,2477.322,1437.164
Thalanyji,101759.279,85878.607
Thanggatti,1783.667,1474.879
Thaynakwith,15951.056,16694.194
Tjapwurrung,47733.239,44626.315
TweedRiverandPointDangar,2477.322,1437.164
Umpila,26442.371,21212.106
Umpithamu,25876.518,24881.772
UpperBrisbaneRiver,26212.556,11619.383
UpperParoo,95660.548,77568.149
Uradhi,10023.627,7340.346
UwOykangand,12811.53,11254.475
Wadikali,12040.187,3640.653
Wadjabangayi,77658.516,80917.325
Wailwan,16816.3,9796.983
Wajarri,134647.905,120806.003
WakaWaka,26212.556,11619.383
Wanamara,35297.949,24182.924
Wangkumara,83926.003,46683.423
WangkumaraMcDWur,83926.003,46683.423
Wardandi,12155.822,12400.564
Wargamay,3279.436,2226.311
Warluwarra,142220.133,108665.749
Warrnambool,14001.208,8445.001
Warumungu,105604.547,105994.107
Warungu,29432.974,23663.662
Wathawurrung,10764.384,9638.97
Wathiwathi,7212.151,4919.575
Watjuk,51229.666,44226.658
WembaWemba,7747.675,3008.814
Wiradjuri,10238.33,7224.219
Wirangu,209878.789,197513.629
Woiwurrung,13484.888,9650.427
Wulguru,40149.894,33102.345
YabulaYabula,8575.954,7102.133
Yadhaykenu,21833.504,13283.421
Yagara,2654.257,1779.846
Yanyuwa,18802.008,11918.164
Yardliyawarra,49069.049,40765.966
Yaygirr,2709.872,1932.762
Yidiny,4748.252,3976.655
Yindjilandji,49574.718,44181.499
Yingkarta,68972.43,59437.217
Yiningay,25448.34,16491.026
Yinwum,13267.018,12302.091
YirYoront,27258.495,10245.802
Yirandali,46783.502,26309.91
YithaYitha,12683.021,9718.2
YortaYorta,5017.953,3883.457
Yuwaalaraay,29599.258,22762.697
Zorc,7991.217,4981.578
