lang,mean_distance,median_distance
Adnyamathanha,49549.918,48991.855
AghuTharrnggala,3166.365,2061.817
Alngith,976.662,475.203
Alyawarr,35681.927,34902.028
Aminungo,21404.847,19377.959
Antekerrepenhe,34811.031,35233.471
Arabana,24841.475,22912.13
Awabakal,1891.753,1639.321
Ayapathu,10283.675,9410.305
Badimaya,59962.598,36707.282
Badjiri,7530.963,5373.188
Balkurra,12664.66,7546.877
Bandjalang,8420.825,8110.211
Barna,12344.052,10650.325
BarrowPoint,2195.616,1198.64
Batyala,2929.383,1875.694
Bayali,7074.168,5605.705
Belyando,21404.847,19377.959
Bibbulman,6716.002,5586.542
BidyaraGungabula,30206.175,27941.967
Bigambal,15666.486,15493.552
Bilinarra,24388.965,15079.244
Bindal,11869.722,8828.758
Bindjali,11869.722,8828.758
Biri,21404.847,19377.959
Birrpayi,3519.722,1929.911
Bularnu,16876.945,13921.968
Bunganditj,6375.017,4466.843
CentralAnmatyerr,50898.474,54933.37
ChampionBay,27267.329,19923.788
Coonambella,50517.858,49564.783
Dalla,13881.202,13122.354
Darkinyung,9879.562,7661.608
DawsonRiver,13881.202,13122.354
Dhangu,4523.584,3987.184
Dharawal,1938.087,1401.22
Dharawala,20353.438,17553.838
Dharuk,10950.879,7916.346
Dharumbal,7280.805,5315.855
Dhayyi,1607.89,972.485
Dhudhuroa,11013.542,10922.274
Dhurga,4178.308,3614.609
Dhuwal,3470.971,3209.769
Dhuwala,3913.818,2022.44
Diyari,16677.934,14813.47
Djabugay,10404.613,10642.503
Djinang,2055.309,595.374
Duungidjawu,3872.098,3035.064
Dyirbal,24619.879,24815.103
FlindersIsland,15024.297,15971.93
Gamilaraay,11860.878,6565.394
Gangulu,15914.97,14224.013
Garlali,21455.381,14966.716
Githabul,18030.523,14928.365
GlenInnes,10256.289,9256.051
Golpa,31318.567,30244.471
GoorengGooreng,18266.971,14369.34
Gudang,1342.936,899.407
Gudjal,29289.592,23805.457
GuguBadhun,20609.987,15937.448
Gugumini,20849.127,20867.453
Gumbaynggir,3239.409,2273.73
Gundungurra,6559.497,4090.797
Gunggari,19593.487,18894.608
Gunya,21066.344,18446.429
Gurindji,27509.549,16552.234
GuuguYimidhirr,9584.082,8854.912
Guwa,23975.1,23439.759
Guwamu,16450.492,13748.045
Guwar,4519.964,3339.489
Guyani,21245.454,18836.079
