lang,mean_distance,median_distance
Adnyamathanha,46658.01,40058.339
AghuTharrnggala,2455.344,1447.209
Alngith,803.657,589.486
Alyawarr,19221.048,16253.573
Aminungo,22079.832,16819.567
Antekerrepenhe,27181.792,24401.011
Arabana,18686.321,18416.11
Awabakal,3199.283,2092.598
Ayapathu,7620.531,7593.473
Badimaya,51734.967,31440.42
Badjiri,9956.338,8276.244
Balkurra,17870.878,6752.557
Bandjalang,8269.043,6112.826
Barna,16612.253,17994.922
BarrowPoint,1911.144,1491.338
Batyala,3323.025,2205.104
Bayali,7698.743,6059.104
Belyando,22079.832,16819.567
Bibbulman,8564.935,6391.951
BidyaraGungabula,38278.212,32080.923
Bigambal,15418.819,11697.534
Bilinarra,18157.393,8390.879
Bindal,9503.262,6206.854
Bindjali,9503.262,6206.854
Biri,22079.832,16819.567
Birrpayi,4484.523,3360.489
Bularnu,14350.254,13075.659
Bunganditj,6296.14,3137.22
CentralAnmatyerr,35475.431,33287.382
ChampionBay,16830.988,13542.635
Coonambella,57124.676,53147.589
Dalla,16530.737,15496.846
Darkinyung,13098.125,12091.924
DawsonRiver,16530.737,15496.846
Dhangu,2179.391,1900.138
Dharawal,3039.224,2220.117
Dharawala,18355.595,14813.51
Dharuk,8889.453,6172.084
Dharumbal,7709.802,5815.939
Dhayyi,989.353,766.738
Dhudhuroa,13813.242,13618.983
Dhurga,4515.598,3625.316
Dhuwal,1871.2,1436.77
Dhuwala,2156.843,1503.075
Diyari,12198.114,12967.729
Djabugay,7792.816,8124.543
Djinang,1443.134,720.293
Duungidjawu,3265.699,2257.536
Dyirbal,23364.217,25574.894
FlindersIsland,13994.399,13685.839
Gamilaraay,16433.845,10290.247
Gangulu,14229.177,12138.157
Garlali,22142.954,18945.202
Githabul,24367.744,17418.394
GlenInnes,11594.7,10000.423
Golpa,28746.136,28795.608
GoorengGooreng,25589.881,25653.698
Gudang,1210.036,866.03
Gudjal,26317.912,22472.463
GuguBadhun,20367.022,17302.24
Gugumini,12629.044,12089.522
Gumbaynggir,4368.137,3234.094
Gundungurra,7710.142,6943.076
Gunggari,22692.631,20707.497
Gunya,21871.731,19626.438
Gurindji,21669.746,12170.306
GuuguYimidhirr,9113.719,8662.51
Guwa,23734.521,19997.341
Guwamu,17773.68,12290.368
Guwar,4547.316,4337.748
Guyani,22477.163,21053.588
HOPKINSRIVER,3908.251,2875.533
Ikarranggal,12629.044,12089.522
Injinoo,2042.391,1339.816
IrwinMurchison,51734.967,31440.42
Iyora,2242.173,1583.073
Janday,2372.132,1617.189
Jaru,12238.263,7128.234
JaruMcC,12238.263,7128.234
Jiwarli,54168.345,43985.693
Jiwarliny,175971.824,192226.433
KKY,6850.817,5430.041
KLY,6850.817,5430.041
Kaanju,10620.376,9033.792
Kalaamaya,104697.744,95114.474
Kalkatungu,25206.195,21183.063
Kaniyang,8711.742,7260.416
Karajarri,77508.523,72995.904
KarajarriNW,77508.523,72995.904
Kariyarra,14851.495,14745.833
Karree,3199.283,2092.598
Kartujarra,52978.184,51685.898
Karuwali,18726.587,14944.509
Katthang,5385.29,3526.39
Kaurna,14059.106,12373.582
Kayardild,3208.936,2196.237
Kaytetye,33716.183,28868.805
Keerraywoorroong,3908.251,2875.533
Keramin,6898.825,4294.256
KingsCreekandtheGeorginaRiver,20205.811,14370.831
KokNar,1994.675,1442.848
KuguNganhcara,1196.464,240.275
Kukatj,6284.835,3974.138
Kukatja,134106.413,122480.614
KukuYalanji,22644.168,15545.314
Kungkari,15435.727,13728.048
Kurnu,13008.776,9774.837
Kurrama,57099.98,56151.595
Kurtjar,2166.425,2003.575
KuukThaayorre,302.05,61.2
KuukuYau,9835.853,9484.476
LakeHindmarsh,32362.941,27317.607
Lardil,2375.509,1588.52
Linngithigh,4863.118,4183.414
Malgana,27175.22,18662.678
Malngin,37989.59,34785.561
Malyangapa,32204.21,25936.986
Manjiljarra,161757.007,165599.211
Margany,23300.9,19161.658
MartuWangka,161757.007,165599.211
Martuthunira,27508.607,23957.641
MathiMathi,43550.585,40032.043
MayiThakurti,15429.721,14254.026
MayiYapi,10582.346,8325.673
Mbabaram,14978.153,13784.987
Mbakwithi,4063.033,1998.804
Minjungbal,5148.882,3379.055
Minkin,5142.586,2901.018
Mirniny,233210.771,171442.352
Mithaka,17367.947,14341.666
Mpalityan,6996.197,4586.598
Mudburra,57692.667,43958.486
MudburraMcC,57692.667,43958.486
MuliarraTribe,21437.928,14475.074
Muruwari,14550.746,11039.824
Narrungga,13990.461,12564.967
NatalDowns,22079.832,16819.567
NewNorciaandLeschenaultBay,17514.644,5756.116
Ngaanyatjarra,172049.055,129836.377
Ngadjuri,25268.198,19484.694
Ngaiawang,14059.279,12088.046
Ngamini,8140.326,4557.498
Ngarigu,7626.616,6479.438
Ngarinyman,42584.764,31162.826
Ngarla,12101.987,8243.694
Ngarluma,9449.672,5274.087
Ngarrindjeri,12616.621,9355.289
Ngawun,10315.755,8992.604
NggoiMwoi,8269.043,6112.826
Ngiyambaa,26545.684,23879.073
Ngunawal,10793.906,7513.098
Nhanta,16830.988,13542.635
Nhirrpi,80500.149,82984.62
NorthernNyangumarta,84214.284,71424.583
Nukunu,19127.398,16461.533
Nyamal,19828.845,16413.902
Nyangumarta,84214.284,71424.583
Nyawaygi,31908.627,26054.772
Nyungar,17514.644,5756.116
Olkola,2839.852,1514.792
Paakantyi,23003.601,17159.357
Pakanh,1082.364,643.945
Panyjima,32367.345,27706.923
Parnkala,48730.6,38978.695
Payungu,16024.571,13882.872
Pinjarra,17514.644,5756.116
Pirriya,9764.261,7690.541
PittaPitta,20205.811,14370.831
Punthamara,19265.147,16040.449
Ritharrngu,2973.181,2427.56
RoxburghDowns_LowerGeorgina,20205.811,14370.831
SteeleGDG,3526.005,3133.134
Tambo,24011.143,21815.623
Tenterfield,11594.7,10000.423
Thalanyji,44678.25,52271.452
Thanggatti,4669.35,3732.658
Tharrgari,58256.006,53421.134
Thaynakwith,803.657,589.486
Tjapwurrung,5619.0,4466.682
TweedRiverandPointDangar,11594.7,10000.423
Umpila,13364.772,14695.174
Umpithamu,6770.54,5599.868
UpperBrisbaneRiver,16530.737,15496.846
UpperParoo,24011.143,21815.623
Uradhi,11997.311,7748.001
UwOykangand,2581.011,1348.172
Wadikali,24739.489,23306.647
Wadjabangayi,36293.434,21443.065
Wailwan,16889.24,11586.829
Wajarri,21437.928,14475.074
WakaWaka,16530.737,15496.846
Wakaya,30459.897,14755.431
Walangama,7903.407,7883.676
WalmajarriHR,118476.17,93806.459
WalmajarriNW,118476.17,93806.459
Wanamara,28611.933,27223.782
Wangkangurru,137202.323,110691.092
Wangkayutyuru,37545.241,18557.286
Wangkumara,17261.476,8583.148
WangkumaraMcDWur,17261.476,8583.148
Wardandi,13289.654,10486.021
Wargamay,35121.652,30021.597
Warlmanpa,56478.573,48829.018
Warlpiri,56825.751,53142.843
Warluwarra,20910.784,19295.445
Warnman,78002.278,64963.785
Warriyangga,29377.182,16341.259
Warrnambool,3908.251,2875.533
Warumungu,52146.883,37450.839
Warungu,13484.902,11606.054
Wathawurrung,6613.193,4662.096
Wathiwathi,5329.166,3107.511
Watjuk,10692.225,6887.624
WembaWemba,7719.536,7914.111
WesternArrarnta,132565.511,146495.429
WikMungkan,3747.964,2714.47
Wiradjuri,14645.022,11908.844
Wirangu,82209.221,70251.139
Woiwurrung,9941.961,8182.731
Wulguru,57124.676,53147.589
YabulaYabula,5823.322,5238.044
Yadhaykenu,11706.305,5755.918
Yagara,12066.681,10810.102
Yalarnnga,25389.973,19012.28
Yambina,16361.068,14894.122
Yanda,33961.076,30576.838
Yandruwandha,27533.819,20729.91
Yanyuwa,2936.386,2128.035
Yardliyawarra,85022.586,70067.726
Yarluyandi,3581.439,2079.203
Yawarrawarrka,17026.565,13800.254
Yaygirr,2598.124,1427.577
Yidiny,14095.787,14060.713
Yindjibarndi,28346.799,26768.636
Yindjilandji,16163.181,15769.978
Yingkarta,26260.479,26535.977
Yinhawangka,84105.746,77264.13
