lang,mean_distance,median_distance
Aztec_Zacapoaxtla_31,6464.719,3042.277
Cahuilla_12,5128.113,2027.681
Chemehuevi_7,18878.544,14283.31
Comanche_5,8408.541,6687.428
Cora_27,4785.972,4038.197
Cupeno_13,1126.653,654.223
Eudeve_21,6271.524,4893.674
Gabrielino_15,756.985,490.607
Guarijio_22,3461.979,2242.668
Hopi_16,2424.053,1643.943
Huichol_28,10515.49,8309.129
Kawaiisu_6,9510.49,3341.203
Kiowa_35,4674.949,3015.425
Kitanemuk_34,1325.865,368.728
Mayo_25,2701.912,1703.107
Mono_1,9070.351,1058.59
Northern_Paiute_2,6148.224,3455.466
Northern_Tepehuan_19,3962.831,2733.495
Opata_20,5803.579,4260.664
Pannamint_3,8641.509,6993.297
Papago_Pima_17,7235.485,4198.375
Pima_de_Onavas_18,8939.819,5967.832
Pipil_32,1621.67,1438.369
San_Juan_Pueblo_Tewa_36,2149.085,557.547
Serrano_11,8856.74,6252.657
Shoshoni_Gosiute_Dialect_4,20769.398,22724.176
Southern_Paiute_8,5952.331,2057.84
Southern_Ute_9,1734.297,531.916
Tarahumara_23,1216.39,940.65
Tubar_24,1372.659,1076.575
Tubatulabel_10,1517.915,338.579
Yaqui_26,6538.387,4916.365
