lang,mean_distance,median_distance
Aztec_Zacapoaxtla_31,6471.149,3042.277
Cahuilla_12,5242.114,2027.681
Chemehuevi_7,30382.555,25951.009
Comanche_5,13646.551,8853.82
Cora_27,5735.59,4731.451
Cupeno_13,1420.947,718.316
Eudeve_21,12481.103,9235.058
Gabrielino_15,913.323,575.606
Guarijio_22,3577.827,2360.516
Hopi_16,11827.649,10431.027
Huichol_28,10515.49,8309.129
Kawaiisu_6,9510.49,3341.203
Kiowa_35,6757.623,4912.178
Kitanemuk_34,1459.054,408.262
Mayo_25,3354.919,3149.269
Mono_1,11359.977,1058.59
Northern_Paiute_2,7364.802,5385.107
Northern_Tepehuan_19,4015.503,2733.495
Opata_20,6680.936,5082.073
Pannamint_3,11513.684,8777.606
Papago_Pima_17,9726.327,5089.286
Pima_de_Onavas_18,9163.208,5967.832
Pipil_32,1709.634,1522.038
San_Juan_Pueblo_Tewa_36,2690.238,557.547
Serrano_11,11741.984,8424.24
Shoshoni_Gosiute_Dialect_4,24315.433,28030.966
Southern_Paiute_8,7550.658,2057.84
Southern_Ute_9,1839.444,531.916
Tarahumara_23,1228.985,940.65
Tubar_24,1381.704,1076.575
Tubatulabel_10,2325.074,378.647
Yaqui_26,7656.355,5226.947
