lang,mean_distance,median_distance
Aztec_Zacapoaxtla_31,20512.627,18191.146
Cahuilla_12,14380.39,13812.474
Chemehuevi_7,25378.133,22551.886
Comanche_5,10635.751,8517.185
Cora_27,19985.272,21002.823
Cupeno_13,3798.353,3448.922
Eudeve_21,9382.577,8097.175
Gabrielino_15,2353.161,1936.317
Guarijio_22,28762.582,26762.039
Hopi_16,4101.932,1991.433
Kawaiisu_6,18090.758,13709.116
Kiowa_35,6502.979,4500.562
Kitanemuk_34,4496.262,3559.853
Mayo_25,9018.032,6668.084
Mono_1,11735.519,6140.197
Northern_Paiute_2,11963.458,11494.069
Northern_Tepehuan_19,36327.125,35141.175
Opata_20,12109.57,11599.867
Pannamint_3,21360.445,20173.587
Papago_Pima_17,14575.862,8828.075
Pima_de_Onavas_18,19989.788,16781.354
Pipil_32,6117.333,5640.738
San_Juan_Pueblo_Tewa_36,3033.971,2237.688
Serrano_11,17619.002,13110.762
Shoshoni_Gosiute_Dialect_4,31335.324,31864.759
Southern_Paiute_8,12677.054,7537.318
Southern_Ute_9,3270.213,2282.824
Tarahumara_23,8975.776,7627.016
Tubar_24,8186.661,8038.466
Tubatulabel_10,4645.411,3656.614
Yaqui_26,10664.57,8682.034
