lang,mean_distance,median_distance
Aztec_Zacapoaxtla_31,17816.27,12667.856
Cahuilla_12,14380.39,13812.474
Chemehuevi_7,22645.918,21981.305
Comanche_5,10547.819,8202.681
Cora_27,14563.372,14368.045
Cupeno_13,3556.777,3240.416
Eudeve_21,8892.513,7467.697
Gabrielino_15,2167.401,1743.493
Guarijio_22,28762.582,26762.039
Hopi_16,3645.872,1991.433
Kawaiisu_6,18090.758,13709.116
Kiowa_35,6501.756,4500.562
Kitanemuk_34,4496.262,3559.853
Mayo_25,8663.688,5834.075
Mono_1,11735.519,6140.197
Northern_Paiute_2,11654.183,11494.069
Northern_Tepehuan_19,26933.999,24908.096
Opata_20,11991.951,10460.014
Pannamint_3,21360.445,20173.587
Papago_Pima_17,12605.878,8828.075
Pima_de_Onavas_18,17802.125,14968.091
Pipil_32,5498.608,5405.259
San_Juan_Pueblo_Tewa_36,3033.971,2237.688
Serrano_11,17561.483,13110.762
Shoshoni_Gosiute_Dialect_4,29677.459,27792.518
Southern_Paiute_8,12527.51,7537.318
Southern_Ute_9,3118.055,2010.04
Tarahumara_23,8483.78,7627.016
Tubar_24,8185.222,8038.466
Tubatulabel_10,4645.411,3656.614
Yaqui_26,10236.106,8442.726
