label,name,glottocode,rate,rate_median
AghuTharrnggala,AghuTharrnggala,aghu1254,4.60836383832513e-06,4.46833410569468e-06
Gugumini,Gugumini,ikar1243,2.98161559748637e-06,2.86485018082217e-06
Kunjen,Kunjen,kunj1245,2.61129075544655e-06,2.52513006268546e-06
Tagalag,Tagalag,taga1279,3.8590823555696e-06,3.57713392215841e-06
Ikarranggal,Ikarranggal,gurd1238,1.77437368238662e-06,1.69803916640705e-06
Walangama,Walangama,wala1263,7.26444915514283e-06,7.20993926723149e-06
Olkola,Olkola,oyka1239,2.29689960458677e-06,2.05700474146174e-06
UwOykangand,UwOykangand,oyka1239,1.89940093941836e-06,1.70688327408923e-06
Umpithamu,Umpithamu,umbi1243,1.47807059373419e-06,1.36031033713479e-06
BarrowPoint,BarrowPoint,barr1247,3.11554004049676e-06,3.01089206836357e-06
KukuWura,KukuWura,gugu1256,3.92113581541698e-06,3.76412099614834e-06
FlindersIsland,FlindersIsland,flin1247,1.63533749079238e-06,1.58120645588247e-06
Alngith,Alngith,alng1239,9.4656809175319e-07,8.71624288518782e-07
Linngithigh,Linngithigh,leni1238,3.23297741575032e-06,2.9259292332764e-06
Mbakwithi,Mbakwithi,angu1242,7.29667806232461e-06,7.30268978634393e-06
Thaynakwith,Thaynakwith,alng1239,1.87857013942804e-06,1.78337092627677e-06
Ntrangith,Ntrangith,tyan1235,1.36395050682968e-06,1.3081865002802e-06
Mbiywom,Mbiywom,mbiy1238,1.70790312804469e-06,1.58748475213857e-06
Yinwum,Yinwum,yinw1236,2.23262154993015e-06,2.0832564215291e-06
Nggoth,Nggoth,ngko1236,1.74385495450763e-06,1.64092277621884e-06
Gudang,Gudang,guda1244,4.31570510416355e-06,4.14612633557195e-06
Injinoo,Injinoo,angg1238,1.82096532122289e-06,1.71780125370607e-06
Yadhaykenu,Yadhaykenu,yadh1237,3.79839279722104e-06,3.61913980001786e-06
Uradhi,Uradhi,wuth1237,3.1010203119708e-06,2.95390320553437e-06
Mpalityan,Mpalityan,mpal1237,1.040403503758e-06,9.99759705966458e-07
Ayapathu,Ayapathu,ayab1239,1.65639394110039e-06,1.57011667701172e-06
KuguNganhcara,KuguNganhcara,wikn1246,3.08049871880836e-06,2.9084537202113e-06
WikMuminh,WikMuminh,kuku1283,1.41634827874954e-06,1.33199580146758e-06
Pakanh,Pakanh,paka1251,2.18829060203354e-06,2.1127294115989e-06
WikMungkan,WikMungkan,wikm1247,4.52428242652056e-06,4.38840760921243e-06
WikNgatharr,WikNgatharr,wika1238,1.74426379967179e-06,1.57487094893752e-06
Kaanju,Kaanju,kanj1260,1.39018097586886e-06,1.32502441105841e-06
KuukuYau,KuukuYau,kuuk1238,3.74778598955322e-06,3.57283879758785e-06
Umpila,Umpila,umpi1239,1.60865890445066e-06,1.51649082440336e-06
KuukThaayorre,KuukThaayorre,thay1249,1.26762689544689e-06,1.19704327608903e-06
YirYoront,YirYoront,yiry1245,3.33376421365566e-06,3.13135443949696e-06
KokNar,KokNar,kokn1236,1.97164675328372e-06,1.87226093370398e-06
KokoBera,KokoBera,gugu1254,2.33258201843711e-06,2.21903099198164e-06
Kurtjar,Kurtjar,gurd1238,3.79509021940457e-06,3.62939065555935e-06
Djabugay,Djabugay,dyaa1242,2.62059308241501e-06,2.46195227220504e-06
Yidiny,Yidiny,yidi1250,1.97838978226054e-06,1.86714027949105e-06
GraniteRange,GraniteRange,wami1239,2.13348931552847e-06,2.04040493546834e-06
GuuguYimidhirr,GuuguYimidhirr,gugu1255,2.8752016604483e-06,2.72469478565933e-06
KukuYalanji,KukuYalanji,kuku1273,1.81637062819034e-06,1.72613029597445e-06
