label,name,glottocode,rate,rate_median
Adnyamathanha,Adnyamathanha,adny1235,2.31538690716978e-06,2.2377050268888188e-06
Parnkala,Parnkala,bang1339,2.3206329098775343e-06,2.2182720032705154e-06
Guyani,Guyani,guya1249,1.666249231200509e-06,1.6003542694696975e-06
Kaurna,Kaurna,kaur1267,3.738748227476322e-06,3.578725836404069e-06
Narrungga,Narrungga,naru1238,3.00454866637018e-06,2.871047635251581e-06
Nukunu,Nukunu,nugu1241,1.8117209885839852e-06,1.7587904957223265e-06
Ngadjuri,Ngadjuri,ngad1257,1.7406501399765347e-06,1.6676926399954012e-06
Wirangu,Wirangu,wira1265,1.7677018337449145e-06,1.7339747094464303e-06
Alyawarr,Alyawarr,alya1239,1.5912085677231277e-06,1.4771300764823646e-06
Antekerrepenhe,Antekerrepenhe,east2379,1.3723059102621527e-06,1.2843705087147384e-06
CentralAnmatyerr,CentralAnmatyerr,anma1239,2.467640975919035e-06,2.34097769083721e-06
WesternArrarnta,WesternArrarnta,west2441,3.4886383260214836e-06,3.3484353718892644e-06
Kaytetye,Kaytetye,kayt1238,2.5849758595590155e-06,2.5048224398577326e-06
Badimaya,Badimaya,badi1246,1.9341536226815305e-06,1.8692418263168887e-06
MuliarraTribe,MuliarraTribe,waja1257,2.6126830309320963e-06,2.4449063103353237e-06
Wajarri,Wajarri,waja1257,2.08251205968543e-06,1.988742738640186e-06
Kalaamaya,Kalaamaya,kala1401,2.0140958504707215e-06,1.9312829910743054e-06
IrwinMurchison,IrwinMurchison,badi1246,1.6405137978590991e-06,1.5711826553620822e-06
ChampionBay,ChampionBay,nhan1238,3.8909989985021885e-06,3.696802333882751e-06
Nhanta,Nhanta,nhan1238,2.147625748537371e-06,2.044443251769945e-06
Malgana,Malgana,malg1242,2.1413475473539903e-06,2.0767337674558318e-06
Bibbulman,Bibbulman,bibb1234,4.370403496770389e-06,4.148709570511738e-06
Pinjarra,Pinjarra,nyun1247,2.176229488680313e-06,2.0961196634246752e-06
Kaniyang,Kaniyang,kani1276,1.7155281425069225e-06,1.6498185823949174e-06
Wardandi,Wardandi,nyun1247,2.310464141994082e-06,2.2452881643451606e-06
NewNorciaandLeschenaultBay,NewNorciaandLeschenaultBay,nyun1247,1.9539579498749127e-06,1.8687491981208843e-06
Watjuk,Watjuk,nyun1247,2.422498848805584e-06,2.2903168344500623e-06
Nyungar,Nyungar,nyun1247,1.4126117493789668e-06,1.3724486368634146e-06
Eucla,Eucla,kala1379,3.495996221220297e-06,3.2724145206852907e-06
Mirniny,Mirniny,mirn1245,1.9167553719917773e-06,1.8015100213076136e-06
Ngadjumaya,Ngadjumaya,ngad1258,2.0365877035271244e-06,1.987765778087374e-06
Jiwarli,Jiwarli,djiw1241,2.087506948051663e-06,1.978965548586283e-06
Warriyangga,Warriyangga,wari1262,2.263850605229385e-06,2.1416067926705274e-06
Tharrgari,Tharrgari,dhar1247,2.0324573324127823e-06,1.952447801216574e-06
Payungu,Payungu,bayu1240,2.0119121585401034e-06,1.9473375801152332e-06
Purduna,Purduna,burd1238,2.9281184950236265e-06,2.7768360729891115e-06
Thalanyji,Thalanyji,dhal1245,1.8293481289650275e-06,1.7418654195922414e-06
Yingkarta,Yingkarta,ying1247,2.0912647967839336e-06,2.051228196502649e-06
Kariyarra,Kariyarra,kari1304,2.0101100691033283e-06,1.904092704009061e-06
Ngarluma,Ngarluma,ngar1287,2.0989725910996652e-06,1.983998323878257e-06
Kurrama,Kurrama,kurr1243,2.6927494105865745e-06,2.603336485793282e-06
Yindjibarndi,Yindjibarndi,yind1247,2.1199927444550773e-06,2.037081856955994e-06
Panyjima,Panyjima,pany1241,2.158500614440274e-06,2.0530007441734777e-06
Yinhawangka,Yinhawangka,pany1241,2.5087542405232826e-06,2.400805631388384e-06
Ngarla,Ngarla,ngar1296,2.8434024766156446e-06,2.692842910799945e-06
Nyamal,Nyamal,nyam1271,2.637165635391433e-06,2.5027131444348252e-06
Martuthunira,Martuthunira,mart1255,1.2520421269906738e-06,1.220349334276942e-06
Bilinarra,Bilinarra,ngar1235,1.7077293149269954e-06,1.665067525969454e-06
Mudburra,Mudburra,mudb1240,4.080333035979906e-06,3.985501427931593e-06
MudburraMcC,MudburraMcC,mudb1240,2.9724212021409037e-06,2.890820799389199e-06
Gurindji,Gurindji,guri1247,1.610814939870947e-06,1.5802487287397497e-06
Ngarinyman,Ngarinyman,ngar1235,2.1808861168065526e-06,2.1305357208735063e-06
Malngin,Malngin,maln1239,1.4309480113263395e-06,1.4037107002957027e-06
Jaru,Jaru,jaru1254,3.710039885627173e-06,3.4494729064398197e-06
JaruMcC,JaruMcC,jaru1254,1.2342142728356087e-06,1.1706678657851473e-06
Ngardily,Ngardily,nort2753,1.8483492267958345e-06,1.7906537078448126e-06
Warlmanpa,Warlmanpa,warl1255,1.809650595648054e-06,1.7594565656656692e-06
Warlpiri,Warlpiri,warl1254,2.47388208584553e-06,2.369438747082113e-06
Warumungu,Warumungu,waru1265,4.643343903647391e-06,4.4565785596703254e-06
Jiwarliny,Jiwarliny,walm1241,2.231536075705761e-06,2.148813500898855e-06
WalmajarriNW,WalmajarriNW,walm1241,3.0164930246660986e-06,2.8901661744588617e-06
WalmajarriHR,WalmajarriHR,walm1241,1.6828364598406777e-06,1.6204158531454078e-06
SouthernWalmajarri,SouthernWalmajarri,walm1241,1.9921488682768004e-06,1.9006787307979419e-06
WalmajarriBilliluna,WalmajarriBilliluna,walm1241,1.5043523053248744e-06,1.4551782547554638e-06
Karajarri,Karajarri,kara1476,1.5946228007032826e-06,1.5025382903093642e-06
KarajarriNW,KarajarriNW,kara1476,2.9345585063408574e-06,2.726964574295384e-06
NorthernNyangumarta,NorthernNyangumarta,nyan1301,2.924620797142428e-06,2.732169546370402e-06
Nyangumarta,Nyangumarta,nyan1301,1.7861436429694663e-06,1.6712388847908893e-06
MangalaMcK,MangalaMcK,mang1383,2.5196883502213023e-06,2.390150135793105e-06
NorthernMangarla,NorthernMangarla,mang1383,2.0187902346957126e-06,1.9159201412674734e-06
MangalaNW,MangalaNW,mang1383,1.6349479745325643e-06,1.5580978991343952e-06
Kartujarra,Kartujarra,kart1247,1.7441480056210212e-06,1.684702985449353e-06
Warnman,Warnman,wanm1242,3.6297683890127995e-06,3.511203473011593e-06
MartuWangka,MartuWangka,many1256,2.0095740974618042e-06,1.9528903051825443e-06
Yulparija,Yulparija,yulp1238,1.6215191255091798e-06,1.5881526811644685e-06
Manjiljarra,Manjiljarra,mart1256,1.2222958996705468e-06,1.1922170544671861e-06
Ngaanyatjarra,Ngaanyatjarra,ngaa1240,1.6019018549492008e-06,1.5354398067773847e-06
Pitjantjatjara,Pitjantjatjara,pitj1243,1.8977083182045766e-06,1.8211253543683493e-06
Wangkajunga,Wangkajunga,wang1288,1.1692447081688147e-06,1.08764282770154e-06
Wangkatja,Wangkatja,pint1251,2.0677582609236523e-06,1.8960225200577868e-06
PintupiLuritja,PintupiLuritja,pint1250,2.268237144439251e-06,2.2005335039256287e-06
Kukatja,Kukatja,kuka1246,1.5247135126162161e-06,1.4917277594711344e-06
Arabana,Arabana,arab1267,1.8714019783877793e-06,1.7759191072558598e-06
Wangkangurru,Wangkangurru,wang1290,2.1301873398244712e-06,2.0328387351386193e-06
KingsCreekandtheGeorginaRiver,KingsCreekandtheGeorginaRiver,pitt1247,2.39095354539457e-06,2.300748781478944e-06
