label,name,glottocode,rate,rate_median
BodicTshangla,Tshangla,tsha1245,0.002697126606061514,0.0026302108865965787
DengDarangTaraon,Darang Taraon,diga1241,0.002519756880368297,0.002372771561117677
DengYidu,Yidu,idum1241,0.0032312417986838306,0.0030080261034327893
TaniBokar,Bokar,boka1249,0.002619719822534905,0.002528256345586047
KirantiBahing,Bahing,bahi1252,0.003231060302994412,0.0030435574424435806
KirantiThulung,Thulung,thul1246,0.0026252154952573,0.0024660593773581326
KirantiKhaling,Khaling,khal1275,0.0014797417066284653,0.0014126566622368665
KirantiKulung,Kulung,kulu1253,0.002251489106831261,0.002112123638016155
KirantiBantawa,Bantawa,bant1281,0.0025455843586504267,0.0024168294249577392
KirantiLimbu,Limbu,limb1266,0.0026415863976840255,0.0024972575509334283
KirantiHayu,Hayu,wayu1241,0.0046527666169444756,0.0038168345404563896
ChepangChepang,Chepang,chep1245,0.002019872921723902,0.0019675997994008793
BurmishAchang,Achang,acha1249,0.00282743372114425,0.002617666185264555
BurmishXiandao,Xiandao,xian1249,0.0021769126643815134,0.0020297467161618276
BurmishAtsi,Atsi,zaiw1241,0.002878585115642755,0.0027352625938873425
BurmishBola,Bola,pela1242,0.0024609706365217,0.0022879860588022344
BurmishMaru,Maru,maru1249,0.0023457638198574916,0.0021732089844862072
BurmishLashi,Lashi,lash1243,0.0019286398223866536,0.0017972954578832664
BurmishOldBurmese,Old Burmese,oldb1235,0.0024231481272076892,0.0022065613042559404
BurmishRangoon,Rangoon Burmese,nucl1310,0.0010672195149979316,0.0010445736109955062
LoloishLisu,Lisu,lisu1250,0.002504148372464264,0.002423072522355724
KhroskyabsWobzi,Wobzi Khroskyabs,eree1240,0.0025281211518294643,0.0024375136604328287
rGyalrongDaofu,Daofu,horp1240,0.0035815216955297664,0.0034354089788555665
Tangut,Tangut,tang1334,0.004326161992224334,0.004046772917212136
rGyalrongJaphug,Japhug,japh1234,0.0018375859310237317,0.0017232427518331804
rGyalrongMaerkang,Maerkang rGyalrong,situ1238,0.0025813304955368314,0.002413600428910935
QiangicZhaba,Zhaba,zhab1238,0.0028844254374007314,0.0028212723415555834
TibetanAlike,Alike Tibetan,amdo1237,0.0020969215763838437,0.001958740700656124
TibetanXiahe,Xiahe Tibetan,amdo1237,0.0025824260438448436,0.0024040304162158926
TibetanBatang,Batang Tibetan,kham1282,0.0034813361225917677,0.0033123930317492385
TibetanLhasa,Lhasa Tibetan,utsa1239,0.0018064049519501049,0.0017122046590036097
TibetanOldTibetan,Old Tibetan,clas1254,0.002622693071549656,0.0023297278396993415
NungicDulong,Dulong,drun1238,0.0017097844360811753,0.001670141216799405
TibetoKinauriBunan,Bunan,gahr1239,0.002462293043472042,0.00236135003065219
TibetoKinauriByangsi,Byangsi,byan1241,0.0020905575231923022,0.0020005232573428277
TibetoKinauriRongpo,Rongpo,rong1264,0.006290707029595824,0.0060459462488339855
ChinHakha,Hakha,haka1240,0.0016995281601753815,0.001575312960166785
MizoLushai,Mizo (Lushai),lush1249,0.0034531932133490904,0.0032053490873346392
NagaUkhrul,Ukhrul,ukhr1238,0.003510119691952285,0.003340904844126025
Karbi,Karbi (Mikir),karb1241,0.0025768735529440247,0.0025145575024556653
GaroGaro,Garo,garo1247,0.003193258199783087,0.002997034213357024
Rabha,Rabha,rabh1238,0.002883101461255863,0.0027098680372189318
JingphoJingpho,Jingpho,jing1260,0.001419034951621282,0.0013785901443145075
SiniticBeijing,Beijing Chinese,beij1235,0.001094865096447441,0.0010707142382151429
SiniticChaozhou,Chaozhou Chinese,chao1238,0.002323922416735636,0.002130998405596118
SiniticJieyang,Jieyang Chinese,chao1239,0.0024719284705409777,0.0022665890543330336
SiniticGuangzhou,Guangzhou Chinese,guan1279,0.0015180481292114368,0.0014732368555771332
SiniticLonggang,Longgang Chinese,hakk1236,0.0030528367626608596,0.002895440893189185
SiniticXingning,Xingning Chinese,hakk1236,0.0027015868453107114,0.0025601248905438266
SiniticOldChinese,Old Chinese,oldc1244,0.002594713642164485,0.002295312467746481
