label,name,glottocode,rate,rate_median
Aztec_Tetelcingo_30,Aztec_Tetelcingo-30,tete1251,4.4717599681851205e-06,4.104666999465312e-06
Aztec_Zacapoaxtla_31,Aztec_Zacapoaxtla-31,high1278,9.63646054679997e-06,9.399360462736267e-06
Classical_Aztec_29,Classical_Aztec-29,clas1250,1.2841994337167762e-05,1.0691050319230067e-05
Pipil_32,Pipil-32,pipi1250,5.751846507125354e-06,4.744772479228717e-06
Cora_27,Cora-27,elna1235,1.7602189262936204e-05,1.604292653889182e-05
Huichol_28,Huichol-28,huic1243,1.526173106237584e-05,1.3932515519536666e-05
Eudeve_21,Eudeve-21,eude1234,1.2383414988482707e-05,1.1296445143860168e-05
Opata_20,Opata-20,opat1246,2.2276225806874587e-05,2.0228835079801072e-05
Mayo_25,Mayo-25,mayo1264,1.4976573139705875e-05,1.3011955865170994e-05
Yaqui_26,Yaqui-26,yaqu1251,1.063236046818482e-05,9.388424309202973e-06
Guarijio_22,Guarijio-22,huar1255,9.506490174344712e-06,8.508711861710863e-06
Tarahumara_23,Tarahumara-23,cent2131,1.986808106197952e-05,1.768627342843819e-05
Tubar_24,Tubar-24,tuba1279,1.2499776054508382e-05,1.2095545672088822e-05
Northern_Tepehuan_19,Northern_Tepehuan-19,nort2959,9.272503544357478e-06,8.5811297635433e-06
Papago_Pima_17,Papago-Pima-17,toho1245,1.2347109603530828e-05,1.1239380740758928e-05
Pima_de_Onavas_18,Pima_de_Onavas-18,pima1248,1.634664717568517e-05,1.4839026587685065e-05
Southeastern_Tepehuan_33,Southeastern_Tepehuan-33,sout2976,1.9729358099716655e-05,1.8393807746065857e-05
Cahuilla_12,Cahuilla-12,cahu1264,1.131525920779786e-05,1.0231482127842318e-05
Cupeno_13,Cupeno-13,cupe1243,1.987203056693718e-05,1.79076088936924e-05
Luiseno_14,Luiseno-14,luis1253,1.6934262882544032e-05,1.58663516718866e-05
Gabrielino_15,Gabrielino-15,tong1329,1.4907154381307857e-05,1.414699966403663e-05
Kitanemuk_34,Kitanemuk-34,kita1252,1.798233399599029e-05,1.614164474943737e-05
Serrano_11,Serrano-11,serr1255,1.0491330066213785e-05,9.375033314659598e-06
Chemehuevi_7,Chemehuevi-7,chem1251,1.7933258167588757e-05,1.6211432587440523e-05
Southern_Paiute_8,Southern_Paiute-8,sout2969,1.0717033272752643e-05,9.794237858918261e-06
Kawaiisu_6,Kawaiisu-6,kawa1283,2.0709870291729512e-05,1.9179497162451517e-05
Southern_Ute_9,Southern_Ute-9,utee1244,1.4678197176501562e-05,1.3443384566575753e-05
Comanche_5,Comanche-5,coma1245,2.4804419094432987e-05,2.1619073539592175e-05
Shoshoni_Gosiute_Dialect_4,Shoshoni_Gosiute_Dialect-4,gosi1242,8.086779071521127e-06,7.254623467976674e-06
Pannamint_3,Pannamint-3,pana1305,1.1471846572395208e-05,1.0608498468321638e-05
Mono_1,Mono-1,mono1275,1.4386722788887469e-05,1.28579051919724e-05
Northern_Paiute_2,Northern_Paiute-2,nort2954,1.2441289387830647e-05,1.1154888177758325e-05
Hopi_16,Hopi-16,hopi1249,1.783894431325114e-05,1.7461946334547106e-05
Tubatulabel_10,Tubatulabel-10,tuba1278,1.535856377102434e-05,1.5117916702728027e-05
Kiowa_35,Kiowa-35,kiow1266,2.5040769795175992e-05,2.2286507162272644e-05
San_Juan_Pueblo_Tewa_36,San_Juan_Pueblo_Tewa-36,sanj1276,2.113179117928614e-05,1.8931940345401784e-05
